X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,year,month,country,stateProvince,county,decimalLongitude,decimalLatitude,coordinatePrecision,occurrenceRemarks,geoFlag,recordNumber,day,continentOcean,locality,barcode,imagecode,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-50.5400009155273,-20.2600002288818,"8",2021-03-15 18:24:30-03,USP,SPF,"13918",PreservedSpecimen,Plantae,Apocynaceae,Asclepias,langsdorffii,Asclepias langsdorffii,E.Fourn.,"Fontella Pereira, J","2000","02","13","Hoehne, W","1951","10",Brasil,São Paulo,Jales,-50.5400009155273,-20.2600002288818,"16486",Herbáceo no brejo ao sol. Flores alvas e perfumadas.,auto,s.n.,"29",NA,Pastos do Pontal.,SPF00013918,SPF00013918,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.883333,-23.183333,"9",2017-09-11 16:26:19-03,UnB,HBVIRTFLBRAS,NA,O,Plantae,Apocynaceae,Asclepias,langsdorffii,Asclepias langsdorffii,E.Fourn.,NA,NA,NA,NA,"Langsdorff, GH (Baron)",NA,NA,Brazil,São Paulo,Jundiaí,-46.883333,-23.183333,NA,NA,NA,"s.n.Herb,",NA,Southern America,"IBB/Jundiaí, SP, In pratis humidis prope Jundiahy.",NA,NA,"-46.883333","-23.183333",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
