X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,coordinatePrecision,preparationType,occurrenceRemarks,barcode,imagecode,geoFlag,yearIdentified,monthIdentified,dayIdentified,minimumElevationInMeters,maximumElevationInMeters,verbatimLongitude,verbatimLatitude,fieldNumber,class,typeStatus,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.509444,-23.625833,"7",2021-03-01 16:32:40-03,UNICAMP,UEC,"161057",S,Plantae,Magnoliopsida,NA,Lauraceae,Ocotea,estrellensis,Ocotea estrellensis,Mez,"Barbosa, TDM","Stefani, EJF; Belinello, R; Galvão, JC","61","2010","05","29",NA,Brazil,São Paulo,Caraguatatuba,Parque Estadual da Serra do Mar.,-45.509444,-23.625833,NA,NA,"Árvore com 17 m; com flores imatura, creme, esverdeada.; Mata atlântica.",UEC003908,UEC003908,NA,"2010","12",NA,"50","90","-45.509444","-23.625833",NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5,-22.55,"28",2019-11-21 10:07:18-03,IBt,SP,"266219",S,Plantae,NA,NA,Lauraceae,Cinnamomum,estrellense,Cinnamomum estrellense,(Meisn.) Kosterm.,NA,"Nadruz, M; et al.","723","1991","12","16",NA,Brasil,Rio de Janeiro,Nova Friburgo,Reserva Ecológica de Macaé de Cima,-47.5,-22.55,NA,NA,NA,SP054396,SP054396,NA,NA,NA,NA,NA,NA,"-47.5","-22.55",NA,NA,NA,"35",São Paulo,SP,Sudeste
