X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,year,month,day,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,identifiedBy,recordNumber,stateProvince,locality,imagecode,county,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,typeStatus,infraspecificEpithet,coordinatePrecision,geoFlag,yearIdentified,verbatimLongitude,verbatimLatitude,monthIdentified,dayIdentified,class,relatedCatalogItem,fieldNumber,individualCount,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.4194,-20.1972,"56",2021-03-15 16:37:00-03,NY,NYBG,"1018361",PreservedSpecimen,Plantae,Fabaceae,Plathymenia,reticulata,Plathymenia reticulata,D. Sasaki,"2003","04","18",South America,Brazil,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1258822' target='other'> <mi>dwc_moreinfo</mi></a>,NY01018361,Magnoliophyta,Fabales,Benth.,J. Y. Tamashiro,"438",São Paulo,Parque Estadual das Furnas do Bom Jesus. Cerrado em encosta próxima ao encontro dos córregos Pedregulho e Bom Jesus.,NY01018361_01,Pedregulho,-47.4194,-20.1972,"900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.4194,-20.1972,"135",2021-03-15 16:37:00-03,NY,NYBG,"1018377",PreservedSpecimen,Plantae,Fabaceae,Plathymenia,reticulata,Plathymenia reticulata,D. Sasaki,"2004","10","18",South America,Brazil,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1258875' target='other'> <mi>dwc_moreinfo</mi></a>,NY01018377,Magnoliophyta,Fabales,Benth.,D. Sasaki,"1059",São Paulo,Parque Estadual das Furnas do Bom Jesus. Cerrado em encosta próxima ao encontro dos corregos Pedregulhos e Bom Jesus.,NY01018377_01,Pedregulho,-47.4194,-20.1972,"900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.13,-22.25,"184",2021-03-15 16:37:00-03,NY,NYBG,"459413",PreservedSpecimen,Plantae,Fabaceae,Plathymenia,reticulata,Plathymenia reticulata,G. Eiten,NA,NA,NA,South America,Brazil,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409200' target='other'> <mi>dwc_moreinfo</mi></a>,NY00459413,Magnoliophyta,Fabales,Benth.,NA,"2642",São Paulo,"Campos das Sete Lagoas. Fazenda Campininha, just north of Rio Moji-Guaçu. About 10km north of river and village of Padua Sales. (About 30km NW of city of Moji-Mirim)",NY00459413_01,Moji-Guaçu,-47.13,-22.25,"625","625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.416667,-22.75,"186",2021-02-18 09:29:48-03,UNESP-IBB,BOTU,"11043",PreservedSpecimen,Plantae,Fabaceae,Plathymenia,reticulata,Plathymenia reticulata,"Gottsberger, I.S.","1970","11","13",NA,Brasil,NA,NA,"Alt. ca 550m . Cerrado vegetation, xeromorphic tree & scrub woodland form, on gentle slope. Flores verdes, filetes brancos, anteras creme, árvore de 5m de altura e 50 cm de circunferência.; Coleção: Cerrado Estação 13 de Maio",BOTU011043,NA,NA,Benth.,"Burkart, A.","817",São Paulo,"18km north of Botucatu (14 km east of São Manuel). Along the São Manuel- Piracicaba highway. Near ex-RR station, 13 de Maio",NA,Botucatu,-48.416667,-22.75,NA,NA,NA,NA,NA,NA,"1973",48°25'w,22°45's,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.013333,-22.347222,"187",2021-02-18 09:29:48-03,UNESP-IBB,BOTU,"27093",PreservedSpecimen,Plantae,Fabaceae,Plathymenia,reticulata,Plathymenia reticulata,"Pinheiro, M.H.O.","1997","05","18",NA,Brasil,NA,NA,"Árvore de 7,0 m de altura, frutos imaturos (verde) e maduros (marrons)",BOTU027093,NA,NA,Benth.,NA,"295",São Paulo,NA,NA,Bauru,-49.013333,-22.347222,NA,NA,NA,NA,NA,NA,NA,49° 00' 48w,22° 20' 50s,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-50.086667,-20.514444,"188",2021-02-18 09:29:48-03,UNESP-IBB,BOTU,"25910",PreservedSpecimen,Plantae,Fabaceae,Plathymenia,reticulata,Plathymenia reticulata,"Martins, M.V.","2007","07","11",NA,Brasil,NA,NA,"1,5m; coletada fora das parcelas do Projeto.",BOTU025910,NA,NA,Benth.,"Martins, M.V.","31",São Paulo,NA,NA,Votuporanga,-50.086667,-20.514444,NA,NA,NA,NA,NA,NA,NA,50°05'12w,20°30'52s,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.05,-22.3,"289",2021-02-08 21:32:17-03,UFBA,ALCB,"68744",PreservedSpecimen,Plantae,Fabaceae,Plathymenia,reticulata,Plathymenia reticulata,"Pinheiro, MHO","1997","08","21",Southern America,Brasil,NA,NA,"ca. 7,0 m alt. Frutos maduros.",ALCB024673,Dicotyledon,NA,Benth.,"Tamashiro, JY","409",São Paulo,Jardim Botânico de Bauru,ALCB024673,Bauru,-49.05,-22.3,NA,NA,NA,NA,NA,NA,"1998","-49.05","-22.3","02",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.416667,-22.75,"338",2020-02-08 09:10:54-03,NBC,NL-BOTANY,WAG.1709371,PreservedSpecimen,Plantae,Leguminosae-Mim.,Plathymenia,reticulata,Plathymenia reticulata,Gottsberger IS,"1970","11","13",Southern America,Brazil,NA,NA,<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1709371 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-WAG1709371,NA,Fabales,Benth.,NA,NA,NA,State of Sao Paulo. Municipio de Botucatu: 18 km north of Botucatu. (14 km east of Sao Manuel). Along the Sao Manuel.,NL-WAG1709371,NA,-48.416667,-22.75,NA,NA,NA,NA,NA,NA,NA,"-48.416667","-22.75",NA,NA,Magnoliopsidae,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-50.4099998474121,-22.6599998474121,"348",2020-11-04 11:10:13-03,ESALQ,ESA,"104007",PreservedSpecimen,Plantae,Fabaceae,Plathymenia,reticulata,Plathymenia reticulata,"Medeiros, D.A.","2004","02","12",NA,Brasil,NA,NA,NA,ESA104007,Magnoliophyta,NA,NA,"Savassi-Coutinho, A.P.","14339.0",São Paulo,NA,ESA104007,Assis,-50.4099998474121,-22.6599998474121,NA,NA,NA,NA,"23972",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8199996948242,-22.25,"349",2020-11-04 11:10:13-03,ESALQ,ESA,"18542",PreservedSpecimen,Plantae,Fabaceae,Plathymenia,reticulata,Plathymenia reticulata,"Barreto, K.D. et al.","1994","04","12",NA,Brasil,NA,NA,NA,ESA018542,Magnoliophyta,NA,Benth.,NA,"2260.0",São Paulo,NA,ESA018542,Itirapina,-47.8199996948242,-22.25,NA,NA,NA,NA,"22843",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
