X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,county,typeStatus,class,coordinatePrecision,geoFlag,yearIdentified,verbatimLongitude,verbatimLatitude,relatedCatalogItem,monthIdentified,dayIdentified,fieldNumber,individualCount,infraspecificEpithet,previousCatalogNumber,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-44.616639,-22.733889,"78",2021-03-16 17:56:20-03,UCS,HUCS,"49218",PreservedSpecimen,Plantae,Pteridophyta,Hymenophyllales,Hymenophyllaceae,Hymenophyllum,crispum,Hymenophyllum crispum,Kunth,"Gonzatti, F.","Gonzatti, F.","4398","2018","04","01",NA,Brasil,São Paulo,"Serra da Bocaina, trilha para o rio (banheiros do PN) e trilha para o arroio",-44.616639,-22.733889,"1513","1513",NA,"Erva rastejante em troncos de árvores de Dicksonia, interior de vale com regato",HUCS001752,HUCS001752,São José do Barreiro,NA,NA,NA,NA,"2019","-44.616639","-22.733889",NA,"02",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.1883,-23.5228,"210",2013-02-07 10:18:43-02,UMC,HUMC,"4733",S,Plantae,NA,NA,Hymenophyllaceae,Hymenophyllum,crispum,Hymenophyllum crispum,HBK,"Lauri, L.S.","Lauri, L.S.","045",NA,NA,NA,Southern America,Brazil,São Paulo,"Serra do Itapety Barranco; Trilha de paralelepipido.",-46.1883,-23.5228,NA,NA,NA,NA,NA,NA,Mogi das Cruzes,NA,NA,"28666",auto,"2007",NA,NA,NA,"08","27",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
