X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,barcode,imagecode,recordNumber,yearIdentified,monthIdentified,dayIdentified,phylum,order,typeStatus,continentOcean,preparationType,coordinatePrecision,geoFlag,class,relatedCatalogItem,previousCatalogNumber,individualCount,fieldNumber,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-44.77,-22.5303,"10",2021-03-15 16:37:00-03,NY,NYBG,"331002",PreservedSpecimen,Plantae,Rutaceae,Balfourodendron,riedelianum,Balfourodendron riedelianum,(Engl.) Engl.,K. Krause,A. Löfgren,"1899","06","22",Brazil,São Paulo,Queluz,Queluz,-44.77,-22.5303,NA,NA,NA,NA,On label Linha Sorocabana.Ex.Herv.Comm.Geogr.e Geol.de S.Paulo no. 5973. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443649' target='other'> <mi>dwc_moreinfo</mi></a>,NY00331002,NY00331002_01,"9146",NA,NA,NA,Magnoliophyta,Sapindales,NA,South America,sheet,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-50.0697,-21.4203,"23",2021-03-15 16:37:00-03,NY,NYBG,"331005",PreservedSpecimen,Plantae,Rutaceae,Balfourodendron,riedelianum,Balfourodendron riedelianum,(Engl.) Engl.,J. R. Pirani,J. R. Pirani,"1980","07","31",Brazil,São Paulo,Penápolis,"Município de Penápolis. Fazenda Sao Sebastiao, Bairro bonito.",-50.0697,-21.4203,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443647' target='other'> <mi>dwc_moreinfo</mi></a>,NY00331005,NY00331005_01,"680",NA,NA,NA,Magnoliophyta,Sapindales,NA,South America,sheet,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.52,-22.5903,"24",2021-03-15 16:37:00-03,NY,NYBG,"778706",PreservedSpecimen,Plantae,Rutaceae,Balfourodendron,riedelianum,Balfourodendron riedelianum,(Engl.) Engl.,"M. Groppo, Jr.","M. Groppo, Jr.","2000","10","13",Brazil,São Paulo,Socorro,"Sítio Beija-flor, bairro dos Domingues.",-46.52,-22.5903,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797364' target='other'> <mi>dwc_moreinfo</mi></a>,NY00778706,NY00778706_01,"444",NA,NA,NA,Magnoliophyta,Sapindales,NA,South America,sheet,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.833333,-23.016667,"41",2021-02-18 09:30:39-03,UNESP-IBB,BOTU,"34001",PreservedSpecimen,Plantae,Rutaceae,Balfourodendron,riedelianum,Balfourodendron riedelianum,(Engl.) Engl.,NA,"Castro Matheus, L.","2019","03","22",Brasil,São Paulo,Botucatu,Jardim Botânico do IBB,-48.833333,-23.016667,48°49'60w,22°60'60s,NA,NA,NA,BOTU034001,NA,"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.9000015258789,-21.1800003051758,"72",2021-03-30 12:48:25-03,EAO,IAN,"55245",PreservedSpecimen,Plantae,Rutaceae,Balfourodendron,riedelianum,Balfourodendron riedelianum,(Engl.) Engl.,"Gehrt, A","Almeida, JC de","1938","11","09",Brasil,São Paulo,Pindorama,"Fazenda O. Sampaio, Tajoby.",-48.9000015258789,-21.1800003051758,NA,NA,NA,NA,Árvore.,IAN055245,NA,"3400","1940","04","15",Dicotiledônea,NA,NA,Southern America,NA,"14884",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.2200012207031,-21.4599990844727,"128",2020-11-04 11:19:04-03,ESALQ,ESA,"16014",PreservedSpecimen,Plantae,Rutaceae,Balfourodendron,riedelianum,Balfourodendron riedelianum,(Engl.) Engl.,"Rodrigues, R.R.","Rodrigues, R.R. et al.","1994","07","20",Brasil,São Paulo,Novo Horizonte,NA,-49.2200012207031,-21.4599990844727,NA,NA,NA,NA,NA,ESA016014,ESA016014,"19.0",NA,NA,NA,Magnoliophyta,NA,NA,NA,NA,"32394",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"129",2020-11-04 11:19:04-03,ESALQ,ESA,"12860",PreservedSpecimen,Plantae,Rutaceae,Balfourodendron,riedelianum,Balfourodendron riedelianum,(Engl.) Engl.,"Rodrigues, R.R.","Kämpf, E.","1987","01","01",Brasil,São Paulo,Piracicaba,NA,-47.6399993896484,-22.7199993133545,NA,NA,NA,NA,NA,ESA012860,ESA012860,NA,NA,NA,NA,Magnoliophyta,NA,NA,NA,NA,"44778",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"130",2020-11-04 11:19:04-03,ESALQ,ESA,"123784",PreservedSpecimen,Plantae,Rutaceae,Balfourodendron,riedelianum,Balfourodendron riedelianum,NA,"Colletta, G.D.","Colletta, G.D.","2013","03","10",Brasil,São Paulo,Piracicaba,Estrada Piracicaba/Tupi.,-47.6399993896484,-22.7199993133545,NA,NA,NA,NA,"Árvore, 8m, frutos verdes",ESA123784,NA,"840.0","2013","05","14",Magnoliophyta,NA,NA,NA,NA,"44778",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.66292,-22.9241,"131",2020-11-04 11:19:04-03,ESALQ,ESA,"134522",PreservedSpecimen,Plantae,Rutaceae,Balfourodendron,riedelianum,Balfourodendron riedelianum,(Engl.) Engl.,"Rodrigues, S. S.","Scatigna, A.V.; Correa, L. S.; Cota, M. M. T.; Gissi, D. S.; Silva, D. M.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.; Ivanauskas, N.M.","2015","07","04",Brasil,São Paulo,Mombuca,Mata do Pinheirinho. Floresta Estacional Semidecidual em área agrílcola da COSAN.,-47.66292,-22.9241,"-47.66292","-22.9241","585","585","Arvoreta, ca. 1,7m.",ESA134522,NA,"918.0","2015","07","06",Magnoliophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.82393,-22.7782,"132",2020-11-04 12:16:08-03,ESALQ,ESA,"133118",PreservedSpecimen,Plantae,Rutaceae,Balfourodendron,riedelianum,Balfourodendron riedelianum,(Engl.) Engl.,"Souza, V. C.; Rodrigues, R. R.; Ivanauskas, N. M. & Tamashiro, J. Y.","Orlandini, P.; Volet; Lima, K.; Mansur, A.L.; Santini-Jr., L.; Gios, B.R.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.; Ivanauskas, N.M.","2015","07","08",Brasil,São Paulo,Piracicaba,"Estação Ecológica de Ibicatu. Floresta Estacional Semidecidual, próxima à área de agropecuária.",-47.82393,-22.7782,"-47.82393","-22.7782","553","553",Árvore.,ESA133118,NA,"235.0","2015","07","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
