X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,class,yearIdentified,monthIdentified,dayIdentified,relatedCatalogItem,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,relationshipType,minimumElevationInMeters,maximumElevationInMeters,fieldNumber,individualCount,typeStatus,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.8699989318848,-23.9799995422363,"8",2020-11-04 11:12:13-03,ESALQ,ESA,"21312",PreservedSpecimen,Plantae,Magnoliophyta,NA,Loganiaceae,Spigelia,reitzii,Spigelia reitzii,L.B. Sm.,"Zappi, D.C.","Souza, V.C. et al.","7021.0","1994","11","12",NA,Brasil,São Paulo,Itapeva,NA,-48.8699989318848,-23.9799995422363,NA,NA,ESA021312,ESA021312,NA,NA,NA,NA,NA,NA,NA,"42926",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.0525,-24.073611,"34",2019-10-07 09:13:57-03,UEFS,HUEFS,"127668",PreservedSpecimen,Plantae,Angiospermae,Gentianales,Loganiaceae,Spigelia,reitzii,Spigelia reitzii,L.B.Sm.,NA,"Souza, V.C.","7021","1994","11","12",NA,Brasil,São Paulo,Itapeva,Estação Ecológica de Itapeva.,-49.0525,-24.073611,NA,NA,HUEFS0127668,HUEFS0127668,Asteranae,NA,NA,NA,NA,49W3'9'',24S4'25'',NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.0525,-21.073611,"40",2020-12-03 09:40:45-03,IBt,SP,"287242",S,Plantae,NA,NA,Loganiaceae,Spigelia,rojasiana,Spigelia rojasiana,Kraenzl.,"Fernandez Casas, FJ","Souza, VC; Miyagi, PH; Souza, JP; Nakagomi, MY","7021","1994","11","12",NA,Brasil,São Paulo,Itapeva,Estação Ecológica de Itapeva,-49.0525,-21.073611,NA,NA,NA,NA,NA,"2012","04","27",NA,"-49.0525","-21.073611",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
