X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,typeStatus,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,identifiedBy,county,decimalLongitude,decimalLatitude,imagecode,minimumElevationInMeters,maximumElevationInMeters,verbatimLongitude,verbatimLatitude,yearIdentified,monthIdentified,dayIdentified,coordinatePrecision,geoFlag,class,relatedCatalogItem,infraspecificEpithet,fieldNumber,individualCount,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.63,-23.5403,"13",2021-03-15 16:37:00-03,NY,NYBG,"1843634",PreservedSpecimen,Plantae,Fabaceae,Vigna,peduncularis,Vigna peduncularis,NA,A. Gehrt,s.n.,"1935","02","06",South America,Brazil,São Paulo,"Sao Paulo, Jabaquara",sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2078550' target='other'> <mi>dwc_moreinfo</mi></a>,NY01843634,Magnoliophyta,Fabales,(Kunth) Fawc. & Rendle,NA,Sao Paulo,-46.63,-23.5403,NY01843634_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.06,-22.9,"17",2021-03-15 16:37:00-03,NY,NYBG,"1843622",PreservedSpecimen,Plantae,Fabaceae,Vigna,peduncularis,Vigna peduncularis,NA,D. O. Norris,"121","1964","04","11",South America,Brazil,São Paulo,"Novas Campinas, a suburb of Campinas.",sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2078427' target='other'> <mi>dwc_moreinfo</mi></a>,NY01843622,Magnoliophyta,Fabales,(Kunth) Fawc. & Rendle,NA,Campinas,-47.06,-22.9,NY01843622_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.63,-23.5403,"22",2021-03-15 16:37:00-03,NY,NYBG,"1843635",PreservedSpecimen,Plantae,Fabaceae,Vigna,peduncularis,Vigna peduncularis,NA,O. Handro,s.n.,"1939","03","08",South America,Brazil,São Paulo,Vila Moares,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2078551' target='other'> <mi>dwc_moreinfo</mi></a>,NY01843635,Magnoliophyta,Fabales,(Kunth) Fawc. & Rendle,NA,Sao Paulo,-46.63,-23.5403,NY01843635_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.733333,-22.8,"26",2021-02-08 11:08:59-03,UNESP-IBB,BOTU,"27533",PreservedSpecimen,Plantae,Fabaceae,Vigna,peduncularis,Vigna peduncularis,NA,"Ishara, K.L.","88","2008","03","25",NA,Brasil,São Paulo,Fazenda Palmeira da Serra,NA,NA,"Trepadeira, flores amareladas",BOTU027533,NA,NA,(Kunth) Fawc. & Rendle,"Ishara, K.L.",Pratânia,-48.733333,-22.8,NA,NA,NA,48°44'w,22°48's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.738611,-22.9,"28",2021-02-08 11:08:59-03,UNESP-IBB,BOTU,"14343",PreservedSpecimen,Plantae,Fabaceae,Vigna,peduncularis,Vigna peduncularis,NA,"Bicudo, L.R.H.","636","1986","02","25",NA,Brasil,São Paulo,NA,NA,NA,"Trepadeira, flores com sépalas verdes, corola lilás bem claro, sem odor",BOTU014343,NA,NA,(Kunth) Fawc. & Rendle,NA,Botucatu,-48.738611,-22.9,NA,NA,NA,48°44'19w,22°54's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.738611,-22.566667,"29",2021-02-08 11:08:59-03,UNESP-IBB,BOTU,"14344",PreservedSpecimen,Plantae,Fabaceae,Vigna,peduncularis,Vigna peduncularis,NA,NA,"810","1986","03","25",NA,Brasil,São Paulo,NA,NA,NA,NA,BOTU014344,NA,NA,(Kunth) Fawc. & Rendle,NA,Botucatu,-48.738611,-22.566667,NA,NA,NA,48°44'19w,22°34's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.439998626709,-22.8799991607666,"145",2020-11-04 11:08:12-03,ESALQ,ESA,"125921",PreservedSpecimen,Plantae,Fabaceae,Ancistrotropis,peduncularis,Ancistrotropis peduncularis,NA,"Santos, L.B.","540.0","1905","07","02",NA,Brasil,São Paulo,NA,NA,NA,NA,ESA125921,Magnoliophyta,NA,NA,"Biral, L.",Botucatu,-48.439998626709,-22.8799991607666,NA,NA,NA,NA,NA,"1905","07","04","40412",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.1399993896484,-24.3099994659424,"146",2020-11-04 11:08:12-03,ESALQ,ESA,"25213",PreservedSpecimen,Plantae,Fabaceae,Ancistrotropis,peduncularis,Ancistrotropis peduncularis,NA,"Souza, V.C.; Sakuragui, C.M.; Souza, J.P.; Sanches, C.D.; Wongtschowski, M.; Scalon, V.R.; Farah, F.T.","8832.0","1995","08","19",NA,Brasil,São Paulo,Estrada Itararé - Bom Sucesso de Itararé. Descida da serra entre a Pedreira Cobastalco e Bom Sucesso de Itararé. Mata perturbada.,NA,NA,"Escandente, flores roxas.",ESA025213,Magnoliophyta,NA,NA,"Siniscalchi, C.M.",Bom Sucesso de Itararé,-49.1399993896484,-24.3099994659424,NA,NA,NA,NA,NA,NA,NA,NA,"14955",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.1399993896484,-24.3099994659424,"169",2020-11-04 11:11:07-03,ESALQ,ESA,"15533",PreservedSpecimen,Plantae,Fabaceae,Vigna,peduncularis,Vigna peduncularis,NA,"Souza, V.C.","6088.0","1994","06","03",NA,Brasil,São Paulo,NA,NA,NA,NA,ESA015533,Magnoliophyta,NA,NA,"Moreira, J.A.",Bom Sucesso de Itararé,-49.1399993896484,-24.3099994659424,ESA015533,NA,NA,NA,NA,NA,NA,NA,"14955",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.2900009155273,-22.7700004577637,"284",2019-11-21 14:37:17-03,UFJF,CESJ,"28156",PreservedSpecimen,Plantae,Fabaceae,Vigna,peduncularis,Vigna peduncularis,NA,s.col.,CESJ28156,NA,NA,NA,América do Sul,Brasil,São Paulo,NA,NA,NA,N.A.P. sob n° 417 (NO 533). Cultivada.,CESJ028156,Angiosperma,NA,(Kunth) Fawc. & Rendle,NA,Nova Odessa,-47.2900009155273,-22.7700004577637,NA,NA,NA,NA,NA,"2012","12",NA,"8440",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.993056,-23.385833,"320",2021-03-01 16:29:54-03,UNICAMP,UEC,"199810",S,Plantae,Fabaceae,Ancistrotropis,peduncularis,Ancistrotropis peduncularis,NA,"Reis, TR; Silva, ED; Galvão, JC; Escobar, NAG;","118","2012","03","25",NA,Brazil,São Paulo,Estrada Cajamar - Pirapora.,NA,NA,"Erva volúvel. Flores rosas, quilha enrolada, frutos verdes (imaturos).",UEC160751,Magnoliopsida,NA,(Fawc. & Rendle) A.Delgado,"Reis, TR",Cajamar,-46.993056,-23.385833,UEC160751,"765","765","-46.993056","-23.385833","2013","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.277222,-20.157778,"334",2021-03-01 16:31:29-03,UNICAMP,UEC,"184460",S,Plantae,Fabaceae,Vigna,firmula,Vigna firmula,NA,"Sasaki, D; Junqueira, AB","530","2003","05","24",NA,Brazil,São Paulo,"estreito. usina de estreito (acampamento de esteito). encosta à margem da represa, próxima a barragem.",NA,NA,"subarbusto até 1m alt. folhas discolores, mais claras na face adaxial. Frutos imaturosverdes. flores passando amareladas, arroxeadas e castanhas; campo sujo pedregoso com afloramentos rochosos",UEC104732,Magnoliopsida,NA,"(Hassl.) Maréchal, Mascherpa & Stainer",NA,Pedregulho,-47.277222,-20.157778,UEC104732,"720","720","-47.277222","-20.157778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.516667,-19.916667,"356",2021-03-01 16:31:33-03,UNICAMP,UEC,"82900",S,Plantae,Fabaceae,Vigna,peduncularis,Vigna peduncularis,NA,"Stranghetti, V","124","1993","06","29",NA,Brazil,São Paulo,Estação Ecológica de Paulo de Faria,NA,NA,"Entre 19.55 - 19.58 S e 49.31 - 49.32 W.; Trepadeira. Flor amarelada.; Beira da mata, lado direito. Estação de Coleta 1.",NA,Magnoliopsida,NA,(Kunth) Fawc. & Rendle,NA,Paulo de Faria,-49.516667,-19.916667,NA,NA,NA,"-49.516667","-19.916667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.5900001525879,-23.7900009155273,"368",2019-08-20 10:15:23-03,UNICAMP,UEC,"069376",S,Plantae,Fabaceae,Vigna,peduncularis,Vigna peduncularis,NA,"Gomes, F",s.n.,"1918","03","21",NA,Brazil,São Paulo,Campo seco.,NA,NA,Ex. Instituto do Butantan - Horto Oswaldo Cruz.,NA,Magnoliopsida,NA,(Kunth) Fawc. & Rendle,PCAF,Buri,-48.5900001525879,-23.7900009155273,NA,NA,NA,NA,NA,"1981",NA,NA,"28249",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"369",2019-08-20 10:15:23-03,UNICAMP,UEC,"30143",S,Plantae,Fabaceae,Vigna,peduncularis,Vigna peduncularis,NA,"Martins, FR","11161","1980","02","15",NA,Brazil,São Paulo,Barão de Geraldo,NA,NA,"Trepadeira, flores lilazes",NA,Magnoliopsida,NA,(Kunth) Fawc. & Rendle,"Martins, FR",Campinas,-47.060001373291,-22.8999996185303,NA,NA,NA,NA,NA,"1989","07","12","23900",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"370",2019-08-20 10:15:23-03,UNICAMP,UEC,"64309",S,Plantae,Fabaceae,Vigna,peduncularis,Vigna peduncularis,NA,"Forni-Martins, ER","24201","1991","04","16",NA,Brazil,São Paulo,Barão de Geraldo - Cidade Universitária,NA,NA,"Trepadeira, flores lilázes; planta invasora de gramado.",NA,Magnoliopsida,NA,(Kunth) Fawc. & Rendle,NA,Campinas,-47.060001373291,-22.8999996185303,NA,NA,NA,NA,NA,NA,NA,NA,"23900",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"371",2021-03-01 16:31:33-03,UNICAMP,UEC,"32763",S,Plantae,Fabaceae,Vigna,peduncularis,Vigna peduncularis,NA,"Martins, ERF","14357","1981","04","06",NA,Brazil,São Paulo,Instituto Agronomico de Campinas,NA,NA,"Trepadeira, flores marelas; planta cultivada.",NA,Magnoliopsida,NA,(Kunth) Fawc. & Rendle,NA,Campinas,-47.060001373291,-22.8999996185303,NA,NA,NA,NA,NA,NA,NA,NA,"23900",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"372",2021-03-01 16:31:33-03,UNICAMP,UEC,"66583",S,Plantae,Fabaceae,Vigna,peduncularis,Vigna peduncularis,NA,"Catharino, ELM","302","1985","05","04",NA,Brazil,São Paulo,Mata da Pedreira - ESALQ/USP,NA,NA,"Planta volúvel, flores amarelas; beira do Ribeirão Piracicamirim, acima da Cachoeira",UEC080041,Magnoliopsida,NA,(Kunth) Fawc. & Rendle,"Silva, ED",Piracicaba,-47.6399993896484,-22.7199993133545,UEC080041,NA,NA,NA,NA,"2011","06","14","44778",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
