X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,country,stateProvince,county,decimalLongitude,decimalLatitude,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,phylum,year,month,day,continentOcean,locality,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,barcode,fieldNumber,preparationType,imagecode,class,order,yearIdentified,monthIdentified,dayIdentified,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.4099998474121,-23.7600002288818,"18",2019-11-21 10:13:02-03,IBt,SP,"340064",S,Plantae,Orchidaceae,Cirrhaea,fuscolutea,Cirrhaea fuscolutea,Lindl.,"Mamede, MCH","Gil, VL; Neto, G; Silva, MB",s.n.,Brasil,São Paulo,São Sebastião,-45.4099998474121,-23.7600002288818,"41977",auto,NA,NA,NA,NA,NA,NA,NA,Fazenda da Juréia,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011","03",NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"19",2019-11-21 10:13:02-03,IBt,SP,"9473",S,Plantae,Orchidaceae,Cirrhaea,saccata,Cirrhaea saccata,Lindl.,NA,"Hoehne, FC",s.n.,Brasil,São Paulo,Santo André,-46.5299987792969,-23.6599998474121,"27258",auto,NA,NA,NA,"1924","01","01",NA,"E.B. do Alto da Serra de Paranapiacaba, Alto da Serra Cultivada em São Paulo (Butantan), nas estufas do Horto Oswaldo Cruz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
