X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,county,minimumElevationInMeters,maximumElevationInMeters,coordinatePrecision,geoFlag,yearIdentified,verbatimLongitude,verbatimLatitude,monthIdentified,dayIdentified,class,relatedCatalogItem,fieldNumber,individualCount,typeStatus,infraspecificEpithet,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-44.3199996948242,-22.6800003051758,"105",2021-03-01 16:36:52-03,UNICAMP,UEC,"85558",S,Plantae,Magnoliopsida,NA,Myrtaceae,Myrcia,vittoriana,Myrcia vittoriana,Kiaersk.,"Amorim, BS","Catharino, ELM; Esteves, GL; Rodrigues, EA; Shirasuna, RT","2054","1994","09","29",NA,Brazil,São Paulo,Serra de Bocaina. Alto Vale do Rio Paca(Bracuí).,-44.3199996948242,-22.6800003051758,NA,"Arvoreta, cerca de 6m de altura; frutos amarelados, quando maduros.",UEC078454,UEC078454,Bananal,NA,NA,"26795",auto,"2014",NA,NA,"02",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5499992370605,-24.7000007629395,"428",2019-11-01 15:05:52-03,UnB,UB,"131203",PreservedSpecimen,Plantae,Dicotyledoneae,NA,Myrtaceae,Gomidesia,martiana,Gomidesia martiana,O. Berg,"Proença, CEB","Rodrigues, RR","14694","1983","05","13",Southern America,Brasil,São Paulo,Estação Ecológica de Juréia,-47.5499992370605,-24.7000007629395,NA,"Frutos amarelos.; Árvore 3m.; Mata",NA,NA,Iguapé,NA,NA,"55628",auto,"1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
