X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,day,minimumElevationInMeters,maximumElevationInMeters,coordinatePrecision,geoFlag,class,relatedCatalogItem,yearIdentified,monthIdentified,dayIdentified,typeStatus,verbatimLongitude,verbatimLatitude,fieldNumber,individualCount,infraspecificEpithet,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.936667,-23.115,"17",2021-03-01 16:21:26-03,UNICAMP,UEC,"84100",S,Plantae,Magnoliopsida,NA,Annonaceae,Rollinia,parviflora,Rollinia parviflora,A.St.-Hil.,"Tamashiro, JY","Siqueira, CAT","6","2010",NA,NA,Brazil,São Paulo,Jundiaí,Instituto Agronômico de Jundíai (IAC),-46.936667,-23.115,NA,Árvore de 4m de Altura.,UEC093099,UEC093099,NA,NA,NA,NA,NA,NA,NA,"2011","01",NA,NA,"-46.936667","-23.115",NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0711,-23.4339,"48",2019-01-25 15:33:34-02,IAC,IAC,"19579",S,Plantae,NA,NA,Annonaceae,Rollinia,parviflora,Rollinia parviflora,A.St.-Hil.,H.F. Leitão Filho,H.M. Souza,s/nº,"1967","10",NA,Brasil,São Paulo,Ubatuba,Alto da Serra,-45.0711,-23.4339,NA,folhas pilosas no bordo inferior,NA,NA,"20",NA,NA,NA,NA,NA,NA,"1967","11","01",NA,"-45.0711","-23.4339",NA,NA,NA,"35",São Paulo,SP,Sudeste
