X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,preparationType,occurrenceRemarks,barcode,imagecode,county,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,identifiedBy,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,class,relatedCatalogItem,yearIdentified,monthIdentified,dayIdentified,fieldNumber,individualCount,typeStatus,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.5499992370605,-23.6200008392334,"11",2021-03-30 12:54:03-03,EAO,IAN,"63017",PreservedSpecimen,Plantae,Monocotiledônea,NA,Poaceae,Paspalum,flaccidum,Paspalum flaccidum,Nees,"Kuhlmann, JG",s.n.,"1922","05","07",Southern America,Brasil,São Paulo,Antigo município de São Caetano.,NA,NA,IAN063017,NA,São Caetano do Sul,-46.5499992370605,-23.6200008392334,NA,NA,NA,NA,NA,"4028",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"15",2020-11-04 12:18:51-03,ESALQ,ESA,"101974",PreservedSpecimen,Plantae,Magnoliophyta,NA,Poaceae,Paspalum,flaccidum,Paspalum flaccidum,NA,"Scaramuzza, C.A.M.","899.0","1993","06","24",NA,Brasil,São Paulo,NA,NA,NA,ESA101974,ESA101974,Itararé,-49.3400001525879,-24.1100006103516,NA,NA,"Oliveira, R.C.",NA,NA,"27729",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"16",2019-02-15 11:48:15-02,IPA,IPA,"8967",S,Plantae,Plantae,NA,Poaceae,Paspalum,flaccidum,Paspalum flaccidum,Nees,"Pickel, B.","5819","1943","09","07",Southern America,Brasil,São Paulo,"Santo Amaro, No chão úmido da bacia da represa.",NA,Raro.,IPA0008967,NA,São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,Chase,NA,NA,"53584",auto,NA,NA,"1946","07",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8199996948242,-22.25,"67",2020-09-02 16:37:19-03,Cenargen,CEN,"65462",PreservedSpecimen,Plantae,NA,NA,Poaceae,Paspalum,flaccidum,Paspalum flaccidum,Nees,João Luís Sanches Tannus,"644","2002","07","31",NA,Brasil,SP,Estação Ecológica de Itirapina (IF).,Exsicatas,"Cerrado. Campo úmido. Espiguilhas verdes, estames negros. Doação do Herbario Rioclarense - HRCB - Rio Claro, São Paulo.",CEN00065462,CEN00065462,ITIRAPINA,-47.8199996948242,-22.25,NA,NA,G. H. Rua,NA,NA,"22843",auto,NA,NA,"2006","12",NA,NA,"1",NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"68",2020-09-02 16:37:16-03,Cenargen,CEN,"25986",PreservedSpecimen,Plantae,NA,NA,Poaceae,Paspalum,flaccidum,Paspalum flaccidum,Nees,Wilson Hoehne,"2860","1948","11","16",NA,Brasil,SP,Av. Indianópolis.,Exsicatas,Doação Herbário SPF 11.904,CEN00025986,CEN00025986,SAO PAULO,-46.6300010681152,-23.5400009155273,NA,NA,W. Hoehne,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,"1",NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"70",2019-11-13 11:28:58-03,USP,SPF,"11904",PreservedSpecimen,Plantae,NA,NA,Poaceae,Paspalum,flaccidum,Paspalum flaccidum,Nees,"Hoehne, W","2860","1948","11","16",NA,Brasil,São Paulo,Av. Indianópolis.,NA,NA,SPF00011904,SPF00011904,São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,"Hoehne, W",NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.55,-23.02,"77",2017-09-11 17:13:00-03,UnB,HBVIRTFLBRAS,NA,O,Plantae,NA,NA,Poaceae,Paspalum,flaccidum,Paspalum flaccidum,Nees,"Riedel, L",s.n.,NA,NA,NA,Southern America,Brazil,São Paulo,et Taubaté prov. S. Pauli,NA,NA,NA,NA,Taubaté,-45.55,-23.02,NA,NA,NA,NA,NA,"25704",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.55,-23.02,"85",2017-09-11 17:13:00-03,UnB,HBVIRTFLBRAS,NA,O,Plantae,NA,NA,Poaceae,Paspalum,flaccidum,Paspalum flaccidum,Nees,"Riedel, L",s.n.,NA,NA,NA,Southern America,Brazil,São Paulo,et Taubaté prov. S. Pauli,NA,NA,NA,NA,Taubaté,-45.55,-23.02,NA,NA,NA,NA,NA,"25704",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.55,-23.02,"86",2017-09-11 17:13:00-03,UnB,HBVIRTFLBRAS,NA,O,Plantae,NA,NA,Poaceae,Paspalum,flaccidum,Paspalum flaccidum,Nees,"Riedel, L",s.n.,NA,NA,NA,Southern America,Brazil,São Paulo,In humidis et paludosis prope Mugi et Taubaté prov. S. Pauli,NA,NA,NA,NA,Taubaté,-45.55,-23.02,NA,NA,NA,NA,NA,"25704",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"96",2019-11-21 10:16:25-03,IBt,SP,"9776",S,Plantae,NA,NA,Poaceae,Paspalum,flaccidum,Paspalum flaccidum,Nees,"Usteri, A",s.n.,"1906","09","21",NA,Brasil,São Paulo,Av. Paulista.,NA,NA,SP036532,SP036532,São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,"Valls, JF",NA,NA,"53584",auto,NA,NA,"2001",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
