X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,recordNumber,year,month,day,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,stateProvince,county,decimalLongitude,decimalLatitude,coordinatePrecision,imagecode,geoFlag,locality,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,class,order,typeStatus,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-49.3400001525879,-24.1100006103516,"2",2020-11-04 11:14:27-03,ESALQ,ESA,"16734",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,arenosa,Eugenia arenosa,"Sakuragui, C.M.; Souza, V.C.; Capellari Jr. , L.; Bérgamo, P.",NA,"1993","10","01",NA,Brasil,NA,NA,NA,ESA016734,Magnoliophyta,Mattos.,"Sobral, M.","2013","01","24",São Paulo,Itararé,-49.3400001525879,-24.1100006103516,"27729",ESA016734,auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"3",2020-11-04 11:14:27-03,ESALQ,ESA,"26481",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,arenosa,Eugenia arenosa,"Souza, V.C. et al.",NA,NA,NA,NA,NA,Brasil,NA,NA,NA,ESA026481,Magnoliophyta,Mattos.,"Sobral, M.","2013","01","24",São Paulo,Itararé,-49.3400001525879,-24.1100006103516,"27729",ESA026481,auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.238899230957,-22.8805999755859,"4",2020-11-04 10:56:23-03,ESALQ,ESA,"140308",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,arenosa,Eugenia arenosa,A. Ferraro,"191.0",NA,NA,NA,NA,Brasil,NA,NA,NA,ESA140308,NA,Mattos,N. Pilon,"2017",NA,NA,São Paulo,Águas de Santa Bárbara,-49.238899230957,-22.8805999755859,"18363",NA,auto,Estação Ecológica de Águas de Santa Bárbara,49º13'09.1,22º48'01.3,"645","645",NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"16",2020-12-21 16:36:24-03,MBM,MBM,"297301",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,arenosa,Eugenia arenosa,"Mazine, F.F.; et al.; et al.","1043","2003","11","14",Southern America,Brazil,NA,NA,NA,MBM297301,NA,Mattos,"Sobral, M.",NA,NA,NA,São Paulo,Itararé,-49.3400001525879,-24.1100006103516,"27729",MBM297301,auto,Itararé,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"17",2020-12-11 11:39:06-03,UFMG,BHCB,"197869",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,arenosa,Eugenia arenosa,"Mazine, FF; Lucas, E; Souza, VC de; Romão, GO; Paula-Souza, J","1021","2003","11","13",Southern America,Brasil,NA,NA,NA,BHCB197869,Dicotyledon,Mattos,NA,"2003","11",NA,São Paulo,Itararé,-49.3400001525879,-24.1100006103516,"27729",NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.5,-21.40472222,"23",2020-06-22 14:18:52-03,UNESP-IBILCE,SJRP,"32714",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,arenosa,Eugenia arenosa,"Stranghetti, V.; Ranga, N. T. & Rezende A. A.","2590.0","2007","09","15",América do Sul,Brasil,NA,NA,"Arbusto, 3m botão esverdeado, flor branca. Biota",NA,Tracheophyta,Mattos,NA,NA,NA,NA,São Paulo,Sales (G2),-49.5,-21.40472222,NA,NA,NA,Fazenda Águas Claras,"-49.50000000","-21.40472222",NA,NA,Magnoliopsida,Myrtales,NA,"35",São Paulo,SP,Sudeste
-49.5,-21.40472222,"24",2020-06-22 14:18:52-03,UNESP-IBILCE,SJRP,"32715",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,arenosa,Eugenia arenosa,"Stranghetti, V.; Ranga, N. T. & Rezende A. A.","2589.0","2007","09","15",América do Sul,Brasil,NA,NA,"Árvore, 3m botão esverdeado, flor branca. Biota",NA,Tracheophyta,Mattos,NA,NA,NA,NA,São Paulo,Sales (G2),-49.5,-21.40472222,NA,NA,NA,Fazenda Águas Claras,"-49.50000000","-21.40472222",NA,NA,Magnoliopsida,Myrtales,NA,"35",São Paulo,SP,Sudeste
-49.200556,-24.296389,"41",2021-03-04 15:45:21-03,IF,SPSF,"53346",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,arenosa,Eugenia arenosa,O.T. Aguiar et al.,"1390","2014","11","05",América do Sul,Brasil,NA,NA,"COLETA: Arbusto de 30cm de altura. Frutos imaturos.; GEOGRAFIA: Vegetação de afloramento rochoso.;",NA,Magnoliophyta,Mattos,O.T. Aguiar,NA,NA,NA,SP,Itararé,-49.200556,-24.296389,NA,NA,NA,Estação Experimental de Itararé,NA,NA,"1120","1120",Magnoliopsida,Myrtales,NA,"35",São Paulo,SP,Sudeste
-49.171389,-24.284444,"42",2021-03-04 15:45:21-03,IF,SPSF,"53347",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,arenosa,Eugenia arenosa,O.T. Aguiar et al.,"1391","2014","11","06",América do Sul,Brasil,NA,NA,"COLETA: Arbusto de 20cm de altura. Frutos imaturos.; GEOGRAFIA: Vegetação de Campo.;",NA,Magnoliophyta,Mattos,O.T. Aguiar,NA,NA,NA,SP,Itararé,-49.171389,-24.284444,NA,NA,NA,Estação Experimental de Itararé,NA,NA,"1170","1170",Magnoliopsida,Myrtales,NA,"35",São Paulo,SP,Sudeste
-46.7200012207031,-23.3199996948242,"43",2021-03-04 15:45:21-03,IF,SPSF,"32682",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,arenosa,Eugenia arenosa,J.B.Baitello,"1628","2003","10","24",América do Sul,Brasil,NA,NA,"COLETA: XLS: SPSFAntigo&nf;Arbusto de 1m de altura com frutos piriformes amarelos; GEOGRAFIA: campo cerrado, solo pedregoso;",NA,Magnoliophyta,Mattos,J.B.Baitello,"2016","05","11",SP,Franco da Rocha,-46.7200012207031,-23.3199996948242,"12135",NA,auto,P.E. do Juqueri,NA,NA,NA,NA,Magnoliopsida,Myrtales,NA,"35",São Paulo,SP,Sudeste
