X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,county,phylum,order,scientificNameAuthorship,typeStatus,imagecode,minimumElevationInMeters,maximumElevationInMeters,identifiedBy,coordinatePrecision,geoFlag,class,yearIdentified,monthIdentified,relatedCatalogItem,dayIdentified,eventTime,fieldNumber,individualCount,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.3600006103516,-21.6000003814697,"75",2020-11-04 11:19:43-03,ESALQ,ESA,"61784",PreservedSpecimen,Plantae,Sapotaceae,Pouteria,gardneri,Pouteria gardneri,"Rozza, A.F.","140.0","1995","10","19",NA,Brasil,São Paulo,NA,NA,NA,NA,ESA061784,-48.3600006103516,-21.6000003814697,NA,NA,Matão,Magnoliophyta,NA,(Mart. & Miq.) Baehni,NA,ESA061784,NA,NA,"Alves-Araújo, A.","26922",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"81",2020-11-04 11:19:43-03,ESALQ,ESA,"2804",PreservedSpecimen,Plantae,Sapotaceae,Pouteria,gardneri,Pouteria gardneri,"Mendes, O.T.","4647.0","1938","11","07",NA,Brasil,São Paulo,NA,NA,NA,NA,ESA002804,-47.060001373291,-22.8999996185303,NA,NA,Campinas,Magnoliophyta,NA,(Mart. & Miq.) Baehni,NA,ESA002804,NA,NA,"Carneiro, C.E.","23900",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3800010681152,-20.0300006866455,"82",2020-11-04 11:19:43-03,ESALQ,ESA,"33702",PreservedSpecimen,Plantae,Sapotaceae,Pouteria,gardneri,Pouteria gardneri,"Souza, V.C. et al.","12298.0","1994","10","01",NA,Brasil,São Paulo,NA,NA,NA,NA,ESA033702,-49.3800010681152,-20.0300006866455,NA,NA,Paulo de Faria,Magnoliophyta,NA,(Mart. & Miq.) Baehni,NA,ESA033702,NA,NA,"Carneiro, C.E.","29574",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-51.1,-20.63,"88",2015-07-02 14:04:17-03,JBP,HPL,"10261",S,Plantae,Sapotaceae,Pouteria,gardneri,Pouteria gardneri,R. Tsuji,"2373","2007","12","12",NA,Brasil,SP,"Coletado nas proximidades do município de Pereira Barreto; sentido Três Lagoas-MS.",NA,NA,NA,NA,-51.1,-20.63,NA,NA,Pereira Barreto,NA,NA,(Mart. & Miq.) Baehni,NA,NA,NA,NA,R. Tsuji,"36734",auto,NA,"2007","12",NA,"11",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.12,-22.78,"90",2015-07-02 14:04:17-03,JBP,HPL,"10299",S,Plantae,Sapotaceae,Pouteria,gardneri,Pouteria gardneri,R. Tsuji & H. Lorenzi,"2100","2007","09","04",NA,Brasil,SP,"Coletado no Km 227, sentido trevo para Botucatu-SP.",NA,NA,NA,NA,-48.12,-22.78,NA,NA,Anhembi,NA,NA,NA,NA,NA,NA,NA,R. Tsuji,"25656",auto,NA,"2007","09",NA,"04",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.9700012207031,-20.4200000762939,"118",2021-03-01 16:41:05-03,UNICAMP,UEC,"072476",S,Plantae,Sapotaceae,Chrysophyllum,gardneri,Chrysophyllum gardneri,"Bernacci, LC; Belinello, R; Andrade, PRP; Camargo, O","803","1994","11","29",NA,Brazil,São Paulo,Estação experimental do IAC.,NA,NA,"Arvoreta ca. 6m altura, frutos, quando manduros, roxo-avermelhados com látex leitoso.; Mata mesófila semidecidua com elementos de cerrado (ex: pau-terra, qualea grandi-flora)",UEC074975,-49.9700012207031,-20.4200000762939,NA,NA,Votuporanga,Magnoliopsida,NA,Mart. & Miq.,NA,UEC074975,NA,NA,NA,"20562",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.833333,-23.335833,"121",2021-03-01 16:41:10-03,UNICAMP,UEC,"186121",S,Plantae,Sapotaceae,Pouteria,gardneri,Pouteria gardneri,"Prata, EMB; Assis, MA",s.n.,"2007","05","02",NA,Brazil,São Paulo,"Parque Estadual da Serra do Mar, Núcleo Picinguaba, ao longo da Trilha do Corisco, no Sertão da Casa da Farinha",NA,NA,"indivíduo nº D 802; Floresta Ombrófila Densa de Terras Baixas",UEC110293,-44.833333,-23.335833,"-44.833333","-23.335833",Ubatuba,Magnoliopsida,NA,(Mart. & Miq.) Baehni,NA,UEC110293,"43","69","Prata, EMB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.945278,-23.330333,"122",2021-03-01 16:41:10-03,UNICAMP,UEC,"160445",S,Plantae,Sapotaceae,Pouteria,gardneri,Pouteria gardneri,"Marchiori, NM; Toledo, W; Munhoz, I; Cano, GB; Santos, FC","524","2011","01","05",NA,Brazil,São Paulo,Parque Estadual da Serra do Mar,NA,NA,"Material vegetativo. Cerca de 6 m de altura e 2 indivíduos distribuídos em 1 ha.; Floresta Ombrófila Densa Montana.",UEC039437,-45.945278,-23.330333,"-45.945278","-23.330333",São Luiz do Paraitinga,Magnoliopsida,NA,(Mart. & Miq.) Baehni,NA,UEC039437,"999","999","Tamashiro, JY; Marchiori, NM",NA,NA,NA,"2011","05",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.183333,-23.4,"123",2021-03-01 16:41:10-03,UNICAMP,UEC,"200468",S,Plantae,Sapotaceae,Pouteria,gardneri,Pouteria gardneri,"Pereira, LS; Tamashiro, JY; Belinello, R; Padgurschi, MCG",N730,"2007","05",NA,NA,Brazil,São Paulo,Parque Estadual da Serra do Mar,NA,NA,"Parcela N - Projeto Biota-FAPESP. Árvore com 16 metros de altura. Frequência da espécie na parcela: n=3; Mata Atlântica",UEC158039,-45.183333,-23.4,"-45.183333","-23.4",São Luiz do Paraitinga,Magnoliopsida,NA,(Mart. & Miq.) Baehni,NA,UEC158039,"990","1045",NA,NA,NA,NA,"2008",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.5099983215332,-22.1299991607666,"126",2021-03-01 16:41:10-03,UNICAMP,UEC,"84154",S,Plantae,Sapotaceae,Pouteria,gardneri,Pouteria gardneri,"Bernacci, LC; Metzger, JP; Goldenberg, R","35000","1993","07","06",NA,Brazil,São Paulo,Mata do Poço do Jatobé. Margem do Rio Jacaré-Pepíra.,NA,NA,"Árvore, material estério.; Floresta ripária.",UEC031184,-48.5099983215332,-22.1299991607666,NA,NA,Bocaina,Magnoliopsida,NA,(Mart. & Miq.) Baehni,NA,UEC031184,NA,NA,NA,"18396",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
