X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,recordedBy,recordNumber,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,coordinatePrecision,occurrenceRemarks,barcode,imagecode,geoFlag,class,order,monthIdentified,dayIdentified,fieldNumber,year,month,day,continentOcean,verbatimLongitude,verbatimLatitude,individualCount,minimumElevationInMeters,maximumElevationInMeters,previousCatalogNumber,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.8800010681152,-23.1800003051758,"1",2019-08-20 10:00:46-03,UNICAMP,UEC,"137627",S,Plantae,Liliopsida,Orchidaceae,Gomesa,pectoralis,Gomesa pectoralis,(Lindl.) M.W.Chase & N.H.Williams,"Meneguzzo, TEC","2015","Koehler, S",s.n.,Brazil,São Paulo,Jundiaí,Orquidário do Vico,-46.8800010681152,-23.1800003051758,"17840",Data de floração: X.2004. Material coletado para extração de DNA.,UEC027359,UEC027359,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.601,-23.514,"7",2016-08-23 10:23:09-03,NHMLondon,NHM-LONDON-BOT,BM000534467,S,Plantae,NA,Orchidaceae,Gomesa,pectoralis,Gomesa pectoralis,(Lindl.) M.W.Chase & N.H.Williams,"Thiago Erir Cadete Meneguzzo; Jardim Botanico do Rio de Janeiro; b.1987; Meneguzzo","2014","Collaboration; J. Bowie & A. Cunningham","1",Brasil,São Paulo,NA,NA,-46.601,-23.514,NA,Habitat: Parasite,NA,NA,NA,NA,Asparagales,NA,NA,NA,"1815","05","02",NA,"-46.601","-23.514",NA,NA,NA,NHMUK:ecatalogue:4651900,"35",São Paulo,SP,Sudeste
