X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,typeStatus,recordedBy,recordNumber,year,month,continentOcean,country,locality,preparationType,occurrenceRemarks,barcode,imagecode,scientificNameAuthorship,identifiedBy,day,stateProvince,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,county,yearIdentified,monthIdentified,dayIdentified,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,class,minimumDepthInMeters,maximumDepthInMeters,individualCount,fieldNumber,infraspecificEpithet,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.925278,-23.466667,"46",2019-10-09 11:21:37-03,UFBA,ALCB,"35207",PreservedSpecimen,Plantae,Dicotyledon,NA,Myrtaceae,Myrciaria,cuspidata,Myrciaria cuspidata,NA,"Souza, VC; Sakuragi, CM; Scaramuzza, CAM de; Rolim, FS; Shimabukuro, MT","2493","1993","02",Southern America,Brasil,"Fazenda Santa Maria do Espinho, Córrego do Peão",NA,"Ca. 20 cm de altura, flores creme.",ALCB0060411,NA,O.Berg,"Kawasaki, ML","15",São Paulo,-47.925278,-23.466667,NA,NA,Itararé,"1993","11",NA,NA,NA,"-47.925278","-23.466667",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-52.1599998474121,-22.5300006866455,"56",2020-11-04 11:15:04-03,ESALQ,ESA,"41659",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Myrciaria,cuspidata,Myrciaria cuspidata,NA,"Pastore, J.A.","560.0","1994","12",NA,Brasil,NA,NA,NA,ESA041659,ESA041659,O.Berg,"Kawasaki, M.L.","06",São Paulo,-52.1599998474121,-22.5300006866455,NA,NA,Teodoro Sampaio,NA,NA,NA,"54606",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"59",2020-11-04 11:15:04-03,ESALQ,ESA,"21065",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Myrciaria,cuspidata,Myrciaria cuspidata,NA,"Souza, V.C. et al.","7381.0","1994","11",NA,Brasil,NA,NA,NA,ESA021065,ESA021065,O.Berg,"Kawasaki, M.L.","14",São Paulo,-49.3400001525879,-24.1100006103516,NA,NA,Itararé,NA,NA,NA,"27729",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-52.1599998474121,-22.5300006866455,"62",2020-11-04 11:15:04-03,ESALQ,ESA,"16440",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Myrciaria,cuspidata,Myrciaria cuspidata,NA,"Tamashiro, J.Y.","18827.0","1986","12",NA,Brasil,NA,NA,NA,ESA016440,ESA016440,O.Berg,"Kawasaki, M.L.","02",São Paulo,-52.1599998474121,-22.5300006866455,NA,NA,Teodoro Sampaio,NA,NA,NA,"54606",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"65",2020-11-04 11:15:04-03,ESALQ,ESA,"9526",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Myrciaria,cuspidata,Myrciaria cuspidata,NA,"Souza, V.C. et al.","2493.0","1993","02",NA,Brasil,NA,NA,NA,ESA009526,ESA009526,O.Berg,"Kawasaki, M.L.","15",São Paulo,-49.3400001525879,-24.1100006103516,NA,NA,Itararé,NA,NA,NA,"27729",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"66",2020-11-04 11:15:04-03,ESALQ,ESA,"83231",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Myrciaria,cuspidata,Myrciaria cuspidata,NA,"Chaddad Jr., J.","114.0","2002","12",NA,Brasil,NA,NA,NA,ESA083231,ESA083231,NA,"Sobral, M.","20",São Paulo,-47.6399993896484,-22.7199993133545,NA,NA,Piracicaba,NA,NA,NA,"44778",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"140",2021-03-01 16:36:56-03,UNICAMP,UEC,"12232",S,Plantae,Magnoliopsida,NA,Myrtaceae,Myrciaria,cuspidata,Myrciaria cuspidata,NA,"Leitão Filho, HF; Stubblebine, WH; Gabrielli, AC; Taroda, N; Ratter, JA; et al.","8641","1978","11",NA,Brazil,Souzas,NA,"Árvore de 4m; flores creme.",UEC111402,NA,O.Berg,"Sobral, M","14",São Paulo,-47.060001373291,-22.8999996185303,NA,NA,Campinas,"1990",NA,NA,"23900",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-52.1599998474121,-22.5300006866455,"141",2021-03-01 16:36:56-03,UNICAMP,UEC,"45001",S,Plantae,Magnoliopsida,NA,Myrtaceae,Myrciaria,cuspidata,Myrciaria cuspidata,NA,"Tamashiro, JY; Gabrielli, AC; Santos, FAM; Rodrigues, RR","18827","1986","12",NA,Brazil,Reserva do Morro do Diabo.,NA,"Arvoreta de 3m, botões jovens verdes.",UEC111394,NA,O.Berg,"Souza, MC","02",São Paulo,-52.1599998474121,-22.5300006866455,NA,NA,Teodoro Sampaio,"2005","07",NA,"54606",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-52.1599998474121,-22.5300006866455,"142",2021-03-01 16:36:56-03,UNICAMP,UEC,"86976",S,Plantae,Magnoliopsida,NA,Myrtaceae,Myrciaria,cuspidata,Myrciaria cuspidata,NA,"Pastore, JA","560","1994","12",NA,Brazil,"Reserva do Morro do Diabo. Estrada do Caldeirão, na margem do caminho.",NA,"Arvoreta 2-3m altura, botões florais jovens.",UEC111396,NA,O.Berg,"Souza, MC","06",São Paulo,-52.1599998474121,-22.5300006866455,NA,NA,Teodoro Sampaio,"2005","07",NA,"54606",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"145",2021-03-26 10:43:32-03,UDESC,LUSC,"7064",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Myrciaria,cuspidata,Myrciaria cuspidata,NA,J.Chaddad Jr,"114","2002","12",NA,Brasil,"Bairro de Godinhos, Quadra de mata dentro do canavial.",NA,NA,LUSC008874,LUSC008874,O.Berg,"Sobral, M.","20",São Paulo,-47.6399993896484,-22.7199993133545,NA,NA,Piracicaba,NA,NA,NA,"44778",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
