X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,coordinatePrecision,occurrenceRemarks,barcode,imagecode,geoFlag,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.8400001525879,-24.5,"1",2020-11-04 11:17:42-03,ESALQ,ESA,"37511",PreservedSpecimen,Plantae,Magnoliophyta,Primulaceae,Anagallis,barbata,Anagallis barbata,(P. Taylor) Kupicha,"Garcia, R.J.F.","2003","01","01","Chung, F.; Matos, J.; Schmidt, M.; Gandara, F.; Ivanauskas, N.M.; Vanini, A.; Souza, J.P.; Souza, V.C.; Tamashiro, J.Y.; Rodrigues, R.R.","117.0","1997","12","13",Brasil,São Paulo,Apiaí,Estrada do Pinhalzinho/11 Km de Bom Sucesso. Floresta Ombrófila Mista/Floresta de Araucária,-48.8400001525879,-24.5,"-49,077,222","-24,335,278","37738","Ervas com 40 cm, flores brancas com listras marrons",ESA037511,ESA037511,auto,"35",São Paulo,SP,Sudeste
-49.0666667,-24.3333333,"2",2019-01-25 15:45:13-02,IAC,IAC,"36533",S,Plantae,NA,Primulaceae-4.Myrsinoideae,Anagallis,barbata,Anagallis barbata,(P.Taylor) Kupicha,C.M. Izumizawa & R.J.F. Garcia,"2003","06","13",F. Chung et al.,"117","1997","12","13",Brasil,São Paulo,Apiaí,estrada Pinhalzinho/ 11 km de Bom Sucesso de Itararé,-49.0666667,-24.3333333,"-49.0666667","-24.3333333",NA,Coordenadas geográficas: 24°20#?#S 49°04#?#W,NA,NA,NA,"35",São Paulo,SP,Sudeste
