X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,coordinatePrecision,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,barcode,imagecode,geoFlag,yearIdentified,monthIdentified,verbatimLongitude,verbatimLatitude,class,order,typeStatus,dayIdentified,continentOcean,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.6300010681152,-23.5400009155273,"1",2020-11-04 11:15:04-03,ESALQ,ESA,"75377",PreservedSpecimen,Plantae,Magnoliophyta,Myrtaceae,Neomitranthes,gracilis,Neomitranthes gracilis,(Burret) N. Silveira,"Mazine, F.F.","Farah, F.T.; Aguiar, S.; Breier, T.B.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","2158.0","2001","04","12",Brasil,São Paulo,São Paulo,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Rio Branco. 23o59'S, 46o42'W. Ca. 700-800m.s.m. Floresta Altomontana sobre o divisor de água. Transição Floresta Altomontana-Floresta de encosta com campos adjacentes.",-46.6300010681152,-23.5400009155273,"53584","700","700","Árvore, 7m alt. Flores alvas. Interior de mata de encosta.",ESA075377,ESA075377,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.15,-20.666667,"2",2021-03-01 16:36:56-03,UNICAMP,UEC,"36653",S,Plantae,Magnoliopsida,Myrtaceae,Neomitranthes,gracilis,Neomitranthes gracilis,(Burret) N.Silveira,"Souza, MC","Cesar, O",S.N.,"1982","07","15",Brazil,São Paulo,Anhembi,Fazenda Barreiro Rico.,-48.15,-20.666667,NA,NA,NA,"Árvore até 5 m, de altura. DAP = 5 cm.; Mata.",UEC020097,UEC020097,NA,"2009","01","-48.15","-20.666667",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.15,-20.666667,"3",2021-03-01 16:36:56-03,UNICAMP,UEC,"91007",S,Plantae,Magnoliopsida,Myrtaceae,Neomitranthes,gracilis,Neomitranthes gracilis,(Burret) N.Silveira,"Souza, MC","Yamamoto, K; Marcondes-Ferreira, W","28748","1993","08","20",Brazil,São Paulo,Anhembi,Fazenda Barreiro Rico.,-48.15,-20.666667,NA,NA,NA,"Arvoreta ca. 5 m altura, flores com abertura em caliptra, estames brancos.; Mata beira de picada.",UEC020096,UEC020096,NA,"2009","01","-48.15","-20.666667",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.7099990844727,-21.9300003051758,"5",2021-03-01 16:36:56-03,UNICAMP,UEC,"58115",S,Plantae,Magnoliopsida,Myrtaceae,Neomitranthes,gracilis,Neomitranthes gracilis,(Burret) N.Silveira,"Souza, MC","Toledo Filho, DV; Bertoni, JEA","26081","1990","07","26",Brazil,São Paulo,Águas da Prata,Reserva Estadual de Águas da Prata.,-46.7099990844727,-21.9300003051758,"13435",NA,NA,"Árvore até 8 metros; em botão.; Mata mesófila semidecídua.",UEC020099,UEC020099,auto,"2009","01",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.310001373291,-22.1000003814697,"6",2021-03-01 16:36:56-03,UNICAMP,UEC,"83171",S,Plantae,Magnoliopsida,Myrtaceae,Neomitranthes,gracilis,Neomitranthes gracilis,(Burret) N.Silveira,"Souza, MC","Durigan, G; Metzger, JP","35088","1993","06","07",Brazil,São Paulo,Dourado,"Fazenda São Carlos e Faz. Santa Gertrudes, Margem do Rio Jacaré-Pepira.",-48.310001373291,-22.1000003814697,"13775",NA,NA,"Árvore, material vegetativo, caule acinzentado.; Floresta ripária.",UEC020100,UEC020100,auto,"2009","01",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"7",2019-10-07 09:35:29-03,UEFS,HUEFS,"87216",PreservedSpecimen,Plantae,Angiospermae,Myrtaceae,Mitranthes,gracilis,Mitranthes gracilis,Burret,NA,"Pacifico, V.","264","1928","08",NA,Brasil,São Paulo,São Paulo,Araras: Mata da fazenda Campo Alto.,-46.6300010681152,-23.5400009155273,"53584",NA,NA,Mata.,HUEFS0087216,NA,auto,NA,NA,NA,NA,Rosanae,Myrtales,Tipo,NA,NA,"35",São Paulo,SP,Sudeste
-47.5614,-22.4114,"8",2020-11-23 11:39:25-03,IAC,IAC,"55572",S,Plantae,NA,Myrtaceae-2.Myrtoideae,Neomitranthes,gracilis,Neomitranthes gracilis,(Burret) N.Silveira,M.E.G. Sobral,A.P. Teixeira,s/nº,"2004","09","12",Brasil,São Paulo,Rio Claro,Fazenda São José,-47.5614,-22.4114,NA,NA,NA,"coordenadas do material: 22°22#?#S, 47°28#?#W",NA,NA,NA,"2012","06","-47.5614","-22.4114",NA,NA,NA,"12",NA,"35",São Paulo,SP,Sudeste
-47.560001373291,-22.4099998474121,"10",2019-02-27 14:03:20-03,UFSJ,HUFSJ,"3652",S,Plantae,NA,Myrtaceae,Neomitranthes,gracilis,Neomitranthes gracilis,(Burret) N.Silveira,"Sobral, M","Teixeira, AP",s.n.,"2004","09","12",Brasil,São Paulo,Rio Claro,Fazenda São José.,-47.560001373291,-22.4099998474121,"21773",NA,NA,"Árvore puco fruquente em solos hidromórficos, 4,5m, pétalas avermelhadas e muitos estames creme.",HUFSJ003652,NA,auto,"2012",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.7,-23.983333,"12",2019-11-01 15:06:43-03,UnB,UB,"193169",PreservedSpecimen,Plantae,Dicotyledoneae,Myrtaceae,Neomitranthes,gracilis,Neomitranthes gracilis,(Burret) N. Silveira,"Mazine-Capelo, FF","Farah, FT; et al.","2158","2001","04","12",Brasil,São Paulo,São Paulo,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha Rio Branco",-46.7,-23.983333,NA,"700","800","Árvore 7m. Flores alvas; Transição floresta altomontana - floresta de encosta com campos adjacentes. Interior da mata",NA,NA,NA,"2007","03","-46.7","-23.983333",NA,NA,NA,NA,Southern America,"35",São Paulo,SP,Sudeste
-46.7,-23.983333,"15",2019-10-03 10:04:22-03,UFSCar,SORO,"2645",PreservedSpecimen,Plantae,NA,Myrtaceae,Neomitranthes,gracilis,Neomitranthes gracilis,(Burret) N. Silveira,NA,"Farah, F.T.; Aguiar, S.; Breier, T.B.; Rodrigues. R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","2158","2001","04","12",Brasil,São Paulo,São Paulo,Parque Estadual da Serra do Mar - Núcleo Curucutu,-46.7,-23.983333,NA,NA,NA,NA,NA,NA,NA,NA,NA,46°42'W,23°59'S,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
