X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,barcode,imagecode,phylum,order,infraspecificEpithet,typeStatus,recordNumber,continentOcean,preparationType,occurrenceRemarks,minimumElevationInMeters,maximumElevationInMeters,coordinatePrecision,geoFlag,class,relatedCatalogItem,relationshipType,individualCount,eventTime,fieldNumber,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-44.678829,-22.840477,"10",2021-03-15 16:37:00-03,NY,NYBG,"616788",PreservedSpecimen,Plantae,Myrtaceae,Myrciaria,tenella,Myrciaria tenella,(DC.) O.Berg,M. Sobral,NA,NA,NA,A. C. Brade,"1951","05","20",Brazil,São Paulo,NA,Serra da Bocaina,-44.678829,-22.840477,NA,NA,NY00616788,NY00616788_01,Magnoliophyta,Myrtales,NA,NA,"20648",South America,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532101' target='other'> <mi>dwc_moreinfo</mi></a>,"1650","1650",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.33,-24.13,"30",2021-03-15 16:37:00-03,NY,NYBG,"616775",PreservedSpecimen,Plantae,Myrtaceae,Myrciaria,tenella,Myrciaria tenella,(DC.) O.Berg,C. M. D. E. Legrand,NA,NA,NA,L. B. Smith,"1965","01","17",Brazil,Paraná,Jaguariaíva,Road to Arapoti near boundary,-49.33,-24.13,NA,NA,NY00616775,NY00616775_01,Magnoliophyta,Myrtales,NA,NA,"14648",South America,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532094' target='other'> <mi>dwc_moreinfo</mi></a>,"850","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.15,-23.2003,"31",2021-03-15 16:37:00-03,NY,NYBG,"616780",PreservedSpecimen,Plantae,Myrtaceae,Myrciaria,tenella,Myrciaria tenella,(DC.) O.Berg,M. Sobral,NA,NA,NA,J. Mattos,"1964","12","13",Brazil,São Paulo,Igaratá,Perto do Km 71 da Rodovia Santa Izabel - Igaratá,-46.15,-23.2003,NA,NA,NY00616780,NY00616780_01,Magnoliophyta,Myrtales,NA,NA,"12164",South America,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532086' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.724373,-23.565521,"34",2021-03-15 16:37:00-03,NY,NYBG,"616791",PreservedSpecimen,Plantae,Myrtaceae,Myrciaria,tenella,Myrciaria tenella,(DC.) O.Berg,M. Sobral,NA,NA,NA,O. Handro,"1933","02","07",Brazil,São Paulo,Sao Paulo,Butantan,-46.724373,-23.565521,NA,NA,NY00616791,NY00616791_01,Magnoliophyta,Myrtales,NA,NA,s.n.,South America,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532088' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.7097,-23.1003,"37",2021-03-15 16:37:00-03,NY,NYBG,"616785",PreservedSpecimen,Plantae,Myrtaceae,Myrciaria,tenella,Myrciaria tenella,(DC.) O.Berg,NA,NA,NA,NA,L. Riedel,"1834","01","18",Brazil,São Paulo,Tietê,Tieté,-47.7097,-23.1003,NA,NA,NY00616785,NY00616785_01,Magnoliophyta,Myrtales,NA,NA,"1833",South America,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532099' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.9799995422363,-22.4599990844727,"132",2020-11-04 11:15:04-03,ESALQ,ESA,"118818",PreservedSpecimen,Plantae,Myrtaceae,Myrciaria,tenella,Myrciaria tenella,NA,"Mazine, F.F.",NA,NA,NA,"Colletta, G.D.","2011","11","01",Brasil,São Paulo,Agudos,"Fazenda São João do Barreiro, Mata ao lado do confinamento",-48.9799995422363,-22.4599990844727,NA,NA,ESA118818,NA,Magnoliophyta,NA,NA,NA,"603.0",NA,NA,"Árvore, 6m, frutos imaturos verdes e maduros vermelho-escuro.",NA,NA,"52219",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9700012207031,-23.0300006866455,"136",2020-11-04 11:15:04-03,ESALQ,ESA,"87429",PreservedSpecimen,Plantae,Myrtaceae,Myrciaria,tenella,Myrciaria tenella,(DC.) Berg,"Aguiar, O.T.",NA,NA,NA,"Guillaumon, J.R.","2002","01","25",Brasil,São Paulo,Vinhedo,NA,-46.9700012207031,-23.0300006866455,NA,NA,ESA087429,ESA087429,Magnoliophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9595",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.1883010864258,-23.5228004455566,"145",2021-03-31 13:40:33-03,MN,R,"9145",PreservedSpecimen,Plantae,Myrtaceae,Myrciaria,tenella,Myrciaria tenella,(DC.) O. Berg,"Sobral, M.","1986","04",NA,"Glaziou, A.F.M.","1889","04","20",Brasil,São Paulo,Mogi das Cruzes,NA,-46.1883010864258,-23.5228004455566,NA,NA,R000009145,R000009145_001,NA,NA,NA,NA,"17667",NA,NA,Plantas do Brasil Central,NA,NA,"28666",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.56,-22.41,"148",2015-07-02 14:03:23-03,JBP,HPL,"9903",S,Plantae,Myrtaceae,Myrciaria,tenella,Myrciaria tenella,NA,H. Lorenzi,"1996","03","11",A.G. Ribeiro,"1996","03","11",Brasil,SP,Rio Claro,Coletado no arboreto da FEPASA.,-47.56,-22.41,NA,NA,NA,NA,NA,NA,NA,NA,"118",NA,NA,NA,NA,NA,"21773",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.8,-23.366667,"212",2021-03-01 16:36:56-03,UNICAMP,UEC,"146479",S,Plantae,Myrtaceae,Myrciaria,tenella,Myrciaria tenella,(A.DC.) O.Berg,NA,NA,NA,NA,"Sanchez, M; et al.","1997","04","16",Brazil,São Paulo,Ubatuba,Picinguaba. Morro do Corisco.,-44.8,-23.366667,"-44.8","-23.366667",UEC033009,UEC033009,Magnoliopsida,NA,NA,NA,"1396",NA,NA,"árvore 452, com 11m de altura, casca lisa de cor ferrugem-avermelhada, com botões e flores.; Mata atlântica de Encosta.","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"217",2021-03-01 16:36:56-03,UNICAMP,UEC,"173585",S,Plantae,Myrtaceae,Myrciaria,tenella,Myrciaria tenella,(A.DC.) O.Berg,"Sanchez, M",NA,NA,NA,"Sanchez, M; Pedroni, F; Laps, RR; Belinello, R","1997","05","29",Brazil,São Paulo,Ubatuba,"Picinguaba, 23º 18' 09''s , 44º 48' 61''w.",-45.0699996948242,-23.4300003051758,NA,NA,UEC089664,UEC089664,Magnoliopsida,NA,NA,NA,"1327",NA,NA,"árvore 813 com 15m de altura, vegetativo.; Mata Atlântica de encosta, Morro do Corisco, altitude 600m.",NA,NA,"34265",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.9799995422363,-22.4599990844727,"230",2021-03-26 10:43:32-03,UDESC,LUSC,"7184",PreservedSpecimen,Plantae,Myrtaceae,Myrciaria,tenella,Myrciaria tenella,(DC.) O.Berg,F.F.Mazine,"2011","04","19","Colletta, G.D.","2011","11","17",Brasil,São Paulo,Agudos,"Fazenda São João do Barreiro, Mata ao lado do confinamento. Floresta Ombrófila Estacional Semidecidual.",-48.9799995422363,-22.4599990844727,NA,NA,LUSC008868,LUSC008868,NA,NA,NA,NA,"603",NA,NA,NA,NA,NA,"52219",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.9599990844727,-23.0699996948242,"231",2021-03-26 10:43:32-03,UDESC,LUSC,"7890",PreservedSpecimen,Plantae,Myrtaceae,Myrciaria,tenella,Myrciaria tenella,(DC.) O.Berg,"Mazine, F.F.","2007",NA,NA,"Lucas, E.J.; et al.","2006","11","17",Brasil,São Paulo,Cunha,Estrada entre Campos Novos e a localidade de Sete Cabeças.,-44.9599990844727,-23.0699996948242,NA,NA,LUSC008863,LUSC008863,NA,NA,NA,NA,"417",NA,NA,NA,NA,NA,"38855",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9421997070312,-22.372200012207,"299",2021-03-21 19:37:42-03,UFC,EAC,"53219",PreservedSpecimen,Plantae,Myrtaceae,Myrciaria,tenella,Myrciaria tenella,(DC.) O.Berg,NA,NA,NA,NA,"Costa, I.R.","2003","11","10",Brasil,São Paulo,Mogi Guaçu,"Estação ecológica e experimental de Mogi Guaçu, Ca",-46.9421997070312,-22.372200012207,NA,NA,EAC0053219,EAC0053219,Dicotyledon,NA,NA,NA,"494",Southern America,NA,NA,NA,NA,"39309",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.3199996948242,-22.6800003051758,"340",2020-12-21 16:37:33-03,MBM,MBM,"222072",PreservedSpecimen,Plantae,Myrtaceae,Myrciaria,tenella,Myrciaria tenella,(DC.) O.Berg,"Kawasaki, M.L.",NA,NA,NA,"Esteves, G.L.; et al.; et al.","1994","09","29",Brazil,São Paulo,Bananal,Serra da Bocaina,-44.3199996948242,-22.6800003051758,NA,NA,MBM222072,MBM222072,NA,NA,NA,NA,"2663",Southern America,NA,NA,NA,NA,"26795",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.33333,-24.13333,"409",2015-09-04 21:16:46-03,MNHN,RECOLNAT_MNHN_P,P05228975,PreservedSpecimen,NA,Myrtaceae,Myrciaria,tenella,Myrciaria tenella,(DC.) O.Berg,NA,NA,NA,NA,"Smith, L.B.|Klein, R.M.|Hatschbaach, G.","1965","1","17",Brasil,Paraná,Jaguariaíva,"Gallery forest, road to Arapoti near boundary;",-49.33333,-24.13333,NA,NA,P05228975,P05228975_01,NA,NA,NA,NA,NA,NA,hb,<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05228975' target='other'> <mi>dwc_moreinfo</mi></a>,"850","1000",NA,NA,NA,NA,NA,NA,NA,"14648",NA,"35",São Paulo,SP,Sudeste
