X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,continentOcean,country,locality,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,month,day,stateProvince,county,decimalLongitude,decimalLatitude,typeStatus,coordinatePrecision,geoFlag,class,relatedCatalogItem,yearIdentified,verbatimLongitude,verbatimLatitude,monthIdentified,dayIdentified,individualCount,previousCatalogNumber,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48,-25,"20",2020-12-20 21:19:07-03,UFV,VIC,"40073",PreservedSpecimen,Plantae,NA,NA,Polypodiaceae,Grammitis,fluminensis,Grammitis fluminensis,Fée,"Pereira, J.B.S.","Pereira, J.B.S.; et al.","29","2007",NA,Brasil,Parque Estadual Pico Paraná,"1300","1300",NA,"Interior da mata, rupícola, entre o início da cela e o acampamento 1, floresta ombrófila densa altomontana",VIC040073,VIC040073,"09","29",Paraná,Campina Grande do Sul,-48,-25,NA,NA,NA,NA,NA,"2008","-48","-25",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48,-25,"30",2020-12-21 16:41:36-03,MBM,MBM,"414955",PreservedSpecimen,Plantae,NA,NA,Polypodiaceae,Grammitis,fluminensis,Grammitis fluminensis,Fée,"Völtz, R.R.","Völtz, R.R.; Brotto, M.L.; Brotto, M.L.","1789","2018",Southern America,Brazil,Serra Gigante,"945","945",NA,"Erva rupícola no interior de floresta de encosta; soros marrons.; Floresta Ombrófila Densa Montana.",MBM414955,MBM414955,"08","11",Paraná,Guaraqueçaba,-48,-25,NA,NA,NA,NA,NA,"2018","-48","-25","10","02",NA,NA,"35",São Paulo,SP,Sudeste
