X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,typeStatus,recordedBy,recordNumber,year,month,continentOcean,country,stateProvince,locality,preparationType,occurrenceRemarks,barcode,imagecode,day,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,class,coordinatePrecision,geoFlag,relatedCatalogItem,yearIdentified,monthIdentified,dayIdentified,fieldNumber,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-44.9599990844727,-23.0699996948242,"4",2021-04-05 09:58:44-03,UNESP-IBILCE,SJRP-PTERIDOPHYTA,"01219",S,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,nuda,Huperzia nuda,(Nessel) B. Ollg. & Wind,B. Ollgaard,NA,B. Ollgaard et Windisch,"5005","1987","02",América do Sul,Brasil,São Paulo,sentido Paraty,NA,"GEOGRAFIA: região de mata pluvial de encosta;",NA,NA,"13",Cunha,-44.9599990844727,-23.0699996948242,NA,NA,NA,NA,Lycopodiopsida,"38855",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.610833,-22.781667,"23",2021-02-11 17:19:25-03,UFPR,UPCB,"75414",PreservedSpecimen,Plantae,NA,NA,Lycopodiaceae,Phlegmariurus,nudus,Phlegmariurus nudus,(Christ ex Nessel) B.Ollg.,"Pereira, J.B.S.",NA,"Pereira, J.B.S.","708","2013","02",NA,Brasil,São Paulo,Parque Nacional da Serra da Bocaina.,NA,Rupícola à beira da estrada. Planta mais de 5 vezes dicotomicamente dividida..,NA,NA,"07",São José do Barreiro,-44.610833,-22.781667,"-44.610833","-22.781667","1500","1600",NA,NA,NA,NA,"2013","03","02",NA,"35",São Paulo,SP,Sudeste
