X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,class,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,coordinatePrecision,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,geoFlag,recordNumber,continentOcean,preparationType,previousCatalogNumber,barcode,imagecode,fieldNumber,typeStatus,individualCount,infraspecificEpithet,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.014,-23.16,"23",2020-11-04 10:58:48-03,ESALQ,ESA,"19459",PreservedSpecimen,Plantae,Magnoliophyta,NA,NA,Alstroemeriaceae,Alstroemeria,plantaginea,Alstroemeria plantaginea,Mart. ex Schult. & Schult.f.,"Assis, M.C.",NA,NA,NA,"Barreto, K.D.; Fernandes, G.D.; Vitti, F.X.","1994","03","03",Brasil,São Paulo,Cabreúva,Jacaré. Cerrado.,-47.014,-23.16,"-47,014","-23.16",NA,NA,NA,"Erva; flores laranja.",NA,"2092.0",NA,NA,NA,ESA019459,ESA019459,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5499992370605,-23.1100006103516,"41",2019-08-20 09:58:55-03,UNICAMP,UEC,"62936",S,Plantae,Liliopsida,NA,NA,Alstroemeriaceae,Alstroemeria,plantaginea,Alstroemeria plantaginea,C.Mart.,"Assis, MC","2001","09",NA,"Bernacci, LC",NA,NA,NA,Brazil,São Paulo,Atibaia,Parque Estadual da Grota Funda,-46.5499992370605,-23.1100006103516,NA,NA,"21675","900","1400","flor e fruto, Erva rupícola, crescendo em lajeado exporsto, rodeado pela mata, sobre acúmulo de solo e matéria orgânica, ca. 0,3-0,5m altura. Flores alaranjadas, frutos imaturos, raízes tuberosas esbranquiçadas. Mata mesófila de altitu",auto,"28415",NA,NA,NA,UEC090478,UEC090478,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5499992370605,-23.1100006103516,"42",2019-08-20 09:58:55-03,UNICAMP,UEC,"15965",S,Plantae,Liliopsida,NA,NA,Alstroemeriaceae,Alstroemeria,plantaginea,Alstroemeria plantaginea,C.Mart.,"Assis, MC","2001","09",NA,"Taroda, N","1979","03","04",Brazil,São Paulo,Atibaia,Pedra Grande,-46.5499992370605,-23.1100006103516,NA,NA,"21675",NA,NA,"flor, Herbáceo até 50cm, flores alaranjadas.",auto,"9397",NA,NA,NA,UEC090471,UEC090471,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5499992370605,-23.1100006103516,"43",2019-08-20 09:58:55-03,UNICAMP,UEC,"100223",S,Plantae,Liliopsida,NA,NA,Alstroemeriaceae,Alstroemeria,plantaginea,Alstroemeria plantaginea,C.Mart.,"Assis, MC","2001","09",NA,"Pansarin, ER; Belinello, R; Singer, RB","1997","11","20",Brazil,São Paulo,Atibaia,Pedra Grande,-46.5499992370605,-23.1100006103516,NA,NA,"21675",NA,NA,flor,auto,97/85,NA,NA,NA,UEC090475,UEC090475,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.8800010681152,-23.1800003051758,"44",2019-08-20 09:58:55-03,UNICAMP,UEC,"15962",S,Plantae,Liliopsida,NA,NA,Alstroemeriaceae,Alstroemeria,plantaginea,Alstroemeria plantaginea,C.Mart.,"Assis, MC","2001","09",NA,"Tamashiro, JY","1977","05","06",Brazil,São Paulo,Jundiaí,Serra do Japi,-46.8800010681152,-23.1800003051758,NA,NA,"17840",NA,NA,"flor, Herbáceo até 50cm, flores alaranjadas.",auto,"21",NA,NA,NA,UEC090474,UEC090474,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.8800010681152,-23.1800003051758,"45",2019-08-20 09:58:55-03,UNICAMP,UEC,"73258",S,Plantae,Liliopsida,NA,NA,Alstroemeriaceae,Alstroemeria,plantaginea,Alstroemeria plantaginea,C.Mart.,"Assis, MC","2001","09",NA,"Stehmann, JR; Semir, J; Borba, EL","1995","04","21",Brazil,São Paulo,Jundiaí,Serra do Japi,-46.8800010681152,-23.1800003051758,NA,NA,"17840",NA,NA,"flor, Erva em afloramento rochoso, flor salmão.",auto,"1632",NA,NA,NA,UEC090476,UEC090476,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.8800010681152,-23.1800003051758,"46",2019-08-20 09:58:55-03,UNICAMP,UEC,"80396",S,Plantae,Liliopsida,NA,NA,Alstroemeriaceae,Alstroemeria,plantaginea,Alstroemeria plantaginea,C.Mart.,"Assis, MC","2001","09",NA,"Goldenberg, R","1995","03",NA,Brazil,São Paulo,Jundiaí,"Serra do Japi, Estrada do mirante",-46.8800010681152,-23.1800003051758,NA,NA,"17840","800","900","flor, Herbácea, 60cm. Flores vermelhas.",auto,"152",NA,NA,NA,UEC090473,UEC090473,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.8397,-22.9567,"163",2019-01-25 15:38:01-02,IAC,IAC,"31044",S,Plantae,NA,NA,NA,Alstroemeriaceae,Alstroemeria,plantaginea,Alstroemeria plantaginea,Mart. ex Schult. & Schult.f.,M.C. Assis,"2016","02","26","L.C. Bernacci; J.L.A. Moreira & P.R.P. Andrade et al.","1995","09","07",Brasil,São Paulo,Monteiro Lobato,estrada de Panorama ao Rio do PeixeMonteiro Lobato e Ouro Verde,-45.8397,-22.9567,"-45.8397","-22.9567",NA,NA,NA,NA,NA,"2155",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.7006,-22.6122,"166",2019-01-25 15:38:01-02,IAC,IAC,"32215",S,Plantae,NA,NA,NA,Alstroemeriaceae,Alstroemeria,plantaginea,Alstroemeria plantaginea,Mart. ex Schult. & Schult.f.,M.C. Assis,"2016","02","26",A.F.C. Tombolato,"1994","03","11",Brasil,São Paulo,Serra Negra,NA,-46.7006,-22.6122,"-46.7006","-22.6122",NA,NA,NA,Alto da Serra,NA,s/nº,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.7006,-22.6122,"167",2019-01-25 15:38:01-02,IAC,IAC,"44901",S,Plantae,NA,NA,NA,Alstroemeriaceae,Alstroemeria,plantaginea,Alstroemeria plantaginea,Mart. ex Schult. & Schult.f.,A.F.C. Tombolato,"2005","01","20",A.F.C. Tombolato,"2005","01","20",Brasil,São Paulo,Serra Negra,Alto da serra,-46.7006,-22.6122,"-46.7006","-22.6122",NA,NA,NA,NA,NA,s/nº,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
