X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,barcode,imagecode,coordinatePrecision,geoFlag,typeStatus,continentOcean,preparationType,previousCatalogNumber,phylum,order,infraspecificEpithet,class,relatedCatalogItem,relationshipType,fieldNumber,individualCount,eventTime,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-44.9597,-23.07,"54",2021-03-15 16:37:00-03,NY,NYBG,"539403",PreservedSpecimen,Plantae,Lauraceae,Ocotea,puberula,Ocotea puberula,(Rich.) Nees,J. B. Baitello,NA,NA,NA,K. Kubitzki,81-17,"1981","02","11",Brazil,São Paulo,Cunha,"Estrada para Cunha, Reserva Florestal Estadual de Cunha",-44.9597,-23.07,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118808' target='other'> <mi>dwc_moreinfo</mi></a>,NY00539403,NY00539403_01,NA,NA,NA,South America,sheet,NA,Magnoliophyta,Laurales,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.618358,-23.646109,"59",2021-03-15 16:37:00-03,NY,NYBG,"539420",PreservedSpecimen,Plantae,Lauraceae,Ocotea,puberula,Ocotea puberula,(Rich.) Nees,J. B. Baitello,NA,NA,NA,F. C. Hoehne,"28132","1931","08","10",Brazil,São Paulo,Sao Paulo,Jardim Botanico,-46.618358,-23.646109,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118798' target='other'> <mi>dwc_moreinfo</mi></a>,NY00539420,NY00539420_01,NA,NA,NA,South America,sheet,NA,Magnoliophyta,Laurales,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.9597,-23.07,"88",2021-03-15 16:37:00-03,NY,NYBG,"539413",PreservedSpecimen,Plantae,Lauraceae,Ocotea,puberula,Ocotea puberula,(Rich.) Nees,NA,NA,NA,NA,K. Kubitzki,81-17,"1981","02","11",Brazil,São Paulo,Cunha,Reserva Florestal Estadual de Cunha. Estrada para Cunha,-44.9597,-23.07,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118810' target='other'> <mi>dwc_moreinfo</mi></a>,NY00539413,NY00539413_01,NA,NA,NA,South America,sheet,NA,Magnoliophyta,Laurales,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.4232,-24.5124,"131",2020-11-24 17:10:47-03,UTFPR,DVPR,"3170",PreservedSpecimen,Plantae,Lauraceae,Ocotea,puberula,Ocotea puberula,(Rich.) Nees,"Brotto, ML","2014","09","09","Brotto, ML; Silva, JM; Mello, MCH","1777","2014","08","27",Brasil,Paraná,Adrianópolis,"Parque Estadual das Lauráceas, estrada",-48.4232,-24.5124,"-48.4232","-24.5124","880","880","Árvore 8 m, frutos imaturos verdes.; Floresta Ombrófila Densa Montana",DVPR003170,NA,NA,NA,NA,NA,NA,NA,Magnoliophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-50.4099998474121,-22.6599998474121,"149",2020-11-24 17:10:47-03,UTFPR,DVPR,"907",PreservedSpecimen,Plantae,Lauraceae,Ocotea,puberula,Ocotea puberula,(Rich.) Nees,"Dias, MC","2005",NA,NA,"Vessoni, F",s.n.,"2001","11","01",Brasil,São Paulo,Assis,Horto Florestal de Assis,-50.4099998474121,-22.6599998474121,NA,NA,NA,NA,"Arvoreta 3m, frutos marrom esverdeados.; Interior do campo. Cerrado.",DVPR000907,DVPR000907,"23972",auto,NA,NA,NA,NA,Magnoliophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"171",2020-01-20 14:40:31-03,UPM,MACK,"2831",PreservedSpecimen,Plantae,Lauraceae,Ocotea,puberula,Ocotea puberula,(Rich.) Nees.,J. B. Baitello,"2007",NA,NA,R. Costa,"169","2007","08","31",Brasil,SP,São Paulo,Parque Tizo,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.1399993896484,-24.3099994659424,"238",2019-10-09 11:18:16-03,UFBA,ALCB,"035104",PreservedSpecimen,Plantae,Lauraceae,Ocotea,puberula,Ocotea puberula,(L.C.Rich.) Nees,"Baitello, JB","1998","03",NA,"Souza, VC; et al.","8894","1995","08","19",Brasil,São Paulo,Bom Sucesso de Itararé,Estrada entre Bom Sucesso de Itararé e Lageadinho. Ca. de 5 Km de Bom Sucesso de Itararé,-49.1399993896484,-24.3099994659424,NA,NA,NA,NA,"10m alt. Flores cremes.; Beira de mata.",ALCB003464,ALCB003464,"14955",auto,NA,Southern America,NA,NA,Dicotyledon,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6800003051758,-23.3500003814697,"325",2020-11-04 11:12:04-03,ESALQ,ESA,"73098",PreservedSpecimen,Plantae,Lauraceae,Ocotea,puberula,Ocotea puberula,(Rich.) Nees,"Moraes, P.L.R.",NA,NA,NA,"Moraes, P.L.R.","2487.0","2001","09","24",Brasil,São Paulo,Iperó,NA,-47.6800003051758,-23.3500003814697,NA,NA,NA,NA,NA,ESA073098,ESA073098,"17831",auto,NA,NA,NA,NA,Magnoliophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"326",2020-11-04 11:12:04-03,ESALQ,ESA,"10363",PreservedSpecimen,Plantae,Lauraceae,Ocotea,puberula,Ocotea puberula,(Rich.) Nees,"Souza, V.C.; Rodrigues, R.R.; Capellari Jr., L.",NA,NA,NA,"Barreto, K.D. et al.","353.0","1993","04","27",Brasil,São Paulo,Piracicaba,NA,-47.6399993896484,-22.7199993133545,NA,NA,NA,NA,NA,ESA010363,NA,"44778",auto,NA,NA,NA,NA,Magnoliophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"327",2020-11-04 11:12:04-03,ESALQ,ESA,"10362",PreservedSpecimen,Plantae,Lauraceae,Ocotea,puberula,Ocotea puberula,(Rich.) Nees,"Baitello, J.B.",NA,NA,NA,"Barreto, K.D. et al.","343.0","1993","04","27",Brasil,São Paulo,Piracicaba,NA,-47.6399993896484,-22.7199993133545,NA,NA,NA,NA,NA,ESA010362,NA,"44778",auto,NA,NA,NA,NA,Magnoliophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
