X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,continentOcean,country,stateProvince,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,day,county,minimumElevationInMeters,maximumElevationInMeters,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,yearIdentified,monthIdentified,dayIdentified,class,relatedCatalogItem,fieldNumber,individualCount,typeStatus,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.9900016784668,-24.3199996948242,"19",2020-01-20 14:40:39-03,UPM,MACK,"893",PreservedSpecimen,Plantae,NA,NA,Moraceae,Ficus,pulchella,Ficus pulchella,Schott ex Spreng.,G. Pelissari,"V. C. Souza; J. P. Souza","9337","1995","10",NA,Brasil,SP,Arredores da foz do Rio Guaraú (margem esquerda). Mata de restinga.,-46.9900016784668,-24.3199996948242,NA,NA,NA,NA,"09",Peruíbe,NA,NA,"21922",auto,NA,NA,"2011","08","02",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.138599395752,-23.8544006347656,"32",2020-11-04 11:14:14-03,ESALQ,ESA,"104745",PreservedSpecimen,Plantae,Magnoliophyta,NA,Moraceae,Ficus,pulchella,Ficus pulchella,NA,NA,"Lima, R.A.F.","693.0","2008","03",NA,Brasil,São Paulo,NA,-46.138599395752,-23.8544006347656,NA,NA,ESA104745,ESA104745,"10",Bertioga,NA,NA,"37616",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-25.0100002288818,"33",2020-11-04 11:14:14-03,ESALQ,ESA,"109284",PreservedSpecimen,Plantae,Magnoliophyta,NA,Moraceae,Ficus,pulchella,Ficus pulchella,NA,"Lima, R.A.F.","Sampaio, D.","101.0",NA,NA,NA,Brasil,São Paulo,NA,-47.9199981689453,-25.0100002288818,NA,NA,ESA109284,ESA109284,NA,Cananéia,NA,NA,"37574",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9900016784668,-24.3199996948242,"34",2020-11-04 11:14:14-03,ESALQ,ESA,"24759",PreservedSpecimen,Plantae,Magnoliophyta,NA,Moraceae,Ficus,pulchella,Ficus pulchella,Schott,"Pelissari, G.","Souza, V.C.; Souza, J.P. et al.","9337.0","1995","10",NA,Brasil,São Paulo,Arredores da foz do Rio Guaraú (margem esquerda). Mata de restinga.,-46.9900016784668,-24.3199996948242,NA,"Árvore, ca. 8 m alt.; estípulas e sicônios verdes. Latescente.",ESA024759,ESA024759,"09",Peruíbe,NA,NA,"21922",auto,NA,NA,"2011","08","02",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.204722,-24.110555,"35",2020-11-04 11:14:14-03,ESALQ,ESA,"128304",PreservedSpecimen,Plantae,Magnoliophyta,NA,Moraceae,Ficus,pulchella,Ficus pulchella,NA,NA,"Virillo, C.B.","183.0","2013","04",NA,Brasil,São Paulo,"Reserva Particular da Votorantim (CBA). UHE - Trilha da Chaminé, Floresta Ombrófila Densa na beira do ribeirão do veado",-47.204722,-24.110555,NA,NA,ESA128304,NA,"01",Tapiraí,"269","269",NA,NA,"-47.204722","-24.110555",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.916667,-24.883333,"51",2021-03-01 16:35:54-03,UNICAMP,UEC,"133355",S,Plantae,Magnoliopsida,NA,Moraceae,Ficus,pulchella,Ficus pulchella,Schott,"Mendonça, LS; Romaniuc","Urbanetz, C; Mariuza; Domingos; Lelo","301","2004","01",NA,Brazil,São Paulo,"Fazenda Folha Larga, Trilha Kaá-pozanga",-47.916667,-24.883333,NA,"Árvore de 25m, frutos verdes, com látex.",NA,NA,"14",Cananéia,NA,NA,NA,NA,"-47.916667","-24.883333","2004","09",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.505278,-23.625833,"52",2021-03-01 16:35:54-03,UNICAMP,UEC,"166903",S,Plantae,Magnoliopsida,NA,Moraceae,Ficus,pulchella,Ficus pulchella,Schott,NA,"Stefani, EJF; Belinello, R; Galvão, JC","86","2010","05",NA,Brazil,São Paulo,Parque Estadual da Serra do Mar,-45.505278,-23.625833,NA,"Árvore com 9 m.; Mata Atlântica.",UEC098734,UEC098734,"30",Caraguatatuba,"50","90",NA,NA,"-45.505278","-23.625833",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.084167,-23.366667,"53",2021-03-01 16:35:54-03,UNICAMP,UEC,"170028",S,Plantae,Magnoliopsida,NA,Moraceae,Ficus,pulchella,Ficus pulchella,Schott,NA,"Rochelle, ALC",J963,NA,NA,NA,Brazil,São Paulo,"Fazenda Capricórnio - Bairro Taquaral, Floresta Ombrófila Densa Submontana.",-45.084167,-23.366667,NA,Indivíduo J963 da parcela J do Projeto Temático BIOTA-Gradiente Funcional.,UEC041805,UEC041805,NA,Ubatuba,"450","450",NA,NA,"-45.084167","-23.366667",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.916667,-24.883333,"54",2021-03-01 16:35:54-03,UNICAMP,UEC,NA,S,Plantae,Magnoliopsida,NA,Moraceae,Ficus,pulchella,Ficus pulchella,Schott,"Mendonça, LS; Romaniuc","Urbanetz, C; Mariuza; Domingos; Lelo","301","2004","01",NA,Brazil,São Paulo,"Fazenda Folha Larga, Trilha Kaá-pozanga",-47.916667,-24.883333,NA,"Árvore de 25m, frutos verdes, com látex.",NA,NA,"14",Cananéia,NA,NA,NA,NA,"-47.916667","-24.883333","2004","09",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-25.0100002288818,"56",2021-03-01 16:35:54-03,UNICAMP,UEC,"133373",S,Plantae,Magnoliopsida,NA,Moraceae,Ficus,pulchella,Ficus pulchella,Schott,Romaniuc,"Urbanetz, C","365","2004","03",NA,Brazil,São Paulo,"Fazenda Folha Larga, Trilha Kaá-pozanga",-47.9199981689453,-25.0100002288818,NA,"Árvore, 25m, conhecida como figueira gameleira, frutos imaturos verdes, látex leitoso.",NA,NA,"17",Cananéia,NA,NA,"37574",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
