X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,occurrenceRemarks,barcode,coordinatePrecision,geoFlag,continentOcean,preparationType,previousCatalogNumber,minimumElevationInMeters,maximumElevationInMeters,phylum,order,imagecode,class,relationshipType,relatedCatalogItem,typeStatus,fieldNumber,infraspecificEpithet,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48,-23.88,"361",2017-09-11 16:27:07-03,UnB,HBVIRTFLBRAS,NA,O,Plantae,Campanulaceae,Lobelia,xalapensis,Lobelia xalapensis,Kunth,NA,NA,NA,NA,"Pohl, JBE","3235",NA,NA,NA,Brazil,São Paulo,São Miguel Arcanjo,NA,-48,-23.88,"-48","-23.88",NA,NA,NA,NA,Southern America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.52,-23.21,"362",2017-09-11 17:09:09-03,UnB,HBVIRTFLBRAS,NA,O,Plantae,Campanulaceae,Lobelia,xalapensis,Lobelia xalapensis,Kunth,NA,NA,NA,NA,"Riedel, L","371",NA,NA,NA,Brazil,São Paulo,Porto Feliz,NA,-47.52,-23.21,NA,NA,NA,NA,"19715",auto,Southern America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"374",2021-02-18 08:30:14-03,IBt,SP,"11335",S,Plantae,Campanulaceae,Lobelia,xalapensis,Lobelia xalapensis,Kunth,NA,NA,NA,NA,"Toledo, JF",s.n.,"1924","11","18",Brasil,São Paulo,Piracicaba,NA,-47.6399993896484,-22.7199993133545,NA,NA,NA,NA,"44778",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
