X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,typeStatus,recordedBy,recordNumber,year,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,identifiedBy,yearIdentified,month,day,verbatimLongitude,verbatimLatitude,monthIdentified,coordinatePrecision,geoFlag,class,dayIdentified,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.3899993896484,-23.9599990844727,"6",2020-01-20 14:40:26-03,UPM,MACK,"237",PreservedSpecimen,Plantae,NA,NA,Erythroxylaceae,Erythroxylum,catharinense,Erythroxylum catharinense,Amaral,NA,"J. A. Pastore; C. Moura","1243","2003",NA,Brasil,SP,São Vicente,"Parque Estadual Xixivá-Japuí. Região de Paranapuã, trilha atrás do CECOF, mata.",-46.3899993896484,-23.9599990844727,NA,NA,NA,NA,NA,NA,"J. O. Mendonça; A. Amaral Jr.","2006","08","15",NA,NA,"08","25482",auto,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.411667,-23.976944,"36",2021-03-04 15:44:32-03,IF,SPSF,"32426",PreservedSpecimen,Plantae,Magnoliophyta,Malpighiales,Erythroxylaceae,Erythroxylum,catharinense,Erythroxylum catharinense,NA,NA,J.A.Pastore & C.Moura,"1257","2003",América do Sul,Brasil,SP,São Vicente,Parque Estadual Xixová-Japuí,-46.411667,-23.976944,NA,NA,NA,"COLETA: XLS: SPSFAntigo&nf;Mata de Restinga, alterada&nf;Arvoreta até 3m altura; flores alvas.;",NA,NA,J.O.Mendonça,"2006","09","19",NA,NA,"08",NA,NA,Magnoliopsida,"30",NA,"35",São Paulo,SP,Sudeste
