X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,typeStatus,recordedBy,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,year,month,day,phylum,order,scientificNameAuthorship,identifiedBy,recordNumber,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,imagecode,coordinatePrecision,geoFlag,infraspecificEpithet,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,class,relatedCatalogItem,fieldNumber,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-49.09,-24.61,"44",2020-11-04 11:06:27-03,ESALQ,ESA,"85471",PreservedSpecimen,Plantae,Ericaceae,Agarista,pulchra,Agarista pulchra,NA,"Paula-Souza, J.; Souza, V.C.; Mazine, F.F.; Lucas, E.; Romão, G.O.",NA,Brasil,NA,NA,"Arbusto, até 1,5m alt. Flores vermelhas",ESA085471,"2003","11","13",Magnoliophyta,NA,NA,"Romão, G.O.","3683.0",São Paulo,Bom Sucesso de Itararé,"36km de Itararé para Bom Sucesso de Itararé. Floresta estacional, descida da serra",-49.09,-24.61,"1060","1060",ESA085471,NA,NA,NA,NA,NA,NA,"-49.09","-24.61",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.205,-24.238889,"147",2021-03-04 15:42:53-03,IF,SPSF,"53435",PreservedSpecimen,Plantae,Ericaceae,Agarista,pulchra,Agarista pulchra,NA,F.A.R.D.P. Arzolla et al.,América do Sul,Brasil,NA,NA,"COLETA: Arbusto de 2 m de altura. Frutos Secos.; GEOGRAFIA: Vegetação de Campo.;",NA,"2015","03","10",Magnoliophyta,Ericales,((Cham. & Schltdl.)) G.Don,R.D.V. da Silva,"1801",SP,Itararé,Estação Experimental de Itararé,-49.205,-24.238889,"1040","1040",NA,NA,NA,NA,"2017","07","31",NA,NA,Magnoliopsida,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"150",2021-02-18 08:30:35-03,IBt,SP,"564",S,Plantae,Ericaceae,Agarista,pulchra,Agarista pulchra,NA,"Hoehne, FC",NA,Brasil,NA,NA,NA,NA,"1921","09",NA,NA,NA,(Cham. & Schltdl.) G.Don,NA,s.n.,São Paulo,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
