X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,month,day,coordinatePrecision,minimumElevationInMeters,maximumElevationInMeters,geoFlag,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,class,typeStatus,fieldNumber,individualCount,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.5,-23.9599990844727,"8",2020-11-04 11:04:59-03,ESALQ,ESA,"128759",PreservedSpecimen,Plantae,Magnoliophyta,NA,Combretaceae,Terminalia,januariensis,Terminalia januariensis,NA,"Franco, G.A.D.C.","Virillo, C.B.","207.0","2013",NA,Brasil,São Paulo,Tapiraí,Reserva Particular da Votorantim (CBA). UHE Serraria - Trilha da Igrejinha,-47.5,-23.9599990844727,NA,sem látex,ESA128759,NA,"04","02","41034","463","463",auto,"2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.2900009155273,-22.7700004577637,"9",2020-11-04 10:55:24-03,ESALQ,ESA,"132719",PreservedSpecimen,Plantae,NA,NA,Combretaceae,Terminalia,januariensis,Terminalia januariensis,NA,NA,"Souza, V.C.",NA,"2013",NA,Brasil,São Paulo,Nova Odessa,"Canteiro Central da Avenida Brasil, próximo ao Instituto Plantarum.",-47.2900009155273,-22.7700004577637,NA,"Árvore, ca. 8 m alt. Vegetativo.",ESA132719,NA,"07","02","8440",NA,NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.06,-22.9,"12",2015-07-02 14:01:28-03,JBP,HPL,"12109",S,Plantae,NA,NA,Combretaceae,Terminalia,januarensis,Terminalia januarensis,NA,E. Franco,E. Franco,"71","2009",NA,Brasil,SP,Campinas,"Coletado e cultivado no Instituto Agronômico de Campinas (IAC, Fazenda Santa Elisa).",-47.06,-22.9,NA,NA,NA,NA,"09","01","23900",NA,NA,auto,"2009","09","01",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.29,-22.77,"15",2015-07-02 14:01:28-03,JBP,HPL,"12113",S,Plantae,NA,NA,Combretaceae,Terminalia,januarensis,Terminalia januarensis,NA,E. Franco,E. Franco,"75","2009",NA,Brasil,SP,Nova Odessa,"Coletado e cultivado na arborização urbana; Avenida Brasil.",-47.29,-22.77,NA,NA,NA,NA,"09","10","8440",NA,NA,auto,"2009","09","10",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.39,-22.18,"16",2015-07-02 14:01:28-03,JBP,HPL,"2388",S,Plantae,NA,NA,Combretaceae,Terminalia,aff. januariensis,Terminalia aff. januariensis,DC.,Dra Marqueti,H. Lorenzi,"1749","1998",NA,Brasil,SP,Leme,Coletada na Usina Cresciumal.,-47.39,-22.18,NA,NA,NA,NA,"02","02","20942",NA,NA,auto,"1998","02","02",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.522222,-23.625833,"25",2021-03-01 16:28:29-03,UNICAMP,UEC,"161072",S,Plantae,Magnoliopsida,NA,Combretaceae,Terminalia,januarensis,Terminalia januarensis,A.DC.,"Stefani, EJF","Stefani, EJF; Belinello, R; Galvão, JC","110","2010",NA,Brazil,São Paulo,Caraguatatuba,"Parque Estadual da Sera do Mar, Mata atlântica, 50-90msm",-45.522222,-23.625833,NA,Árvore com 3m.,UEC001038,UEC001038,"06","01",NA,NA,NA,NA,NA,NA,NA,"-45.522222","-23.625833",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.084167,-23.366667,"26",2021-03-01 16:28:29-03,UNICAMP,UEC,"169975",S,Plantae,Magnoliopsida,NA,Combretaceae,Terminalia,januarensis,Terminalia januarensis,A.DC.,"Rochelle, ALC","Rochelle, ALC",J1530,NA,NA,Brazil,São Paulo,Ubatuba,"Fazenda Capricórnio, Bairro Taquaral, Floresta Ombrófila Densa Submontana, -450 msm",-45.084167,-23.366667,NA,Indivíduo J1530 da parcela J do Projeto Temático BIOTA-Gradiente funcional.,UEC041747,UEC041747,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-45.084167","-23.366667",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.945278,-23.330333,"28",2021-03-01 16:28:29-03,UNICAMP,UEC,"161506",S,Plantae,Magnoliopsida,NA,Combretaceae,Terminalia,januarensis,Terminalia januarensis,A.DC.,"Tamashiro, JY; Marchiori, NM","Marchiori, NM; Toledo, W; Munhoz, I; Cano, GB; Santos, FC","330","2011",NA,Brazil,São Paulo,São Luiz do Paraitinga,"Parque Estadual, Floresta Ombrófila Densa Montana, -999 msm",-45.945278,-23.330333,NA,Material vegetativo. Cerca de 10m de altura e 1 indivíduo distribuido em 1 ha.,UEC024909,UEC024909,"01","25",NA,NA,NA,NA,NA,NA,NA,"-45.945278","-23.330333",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"30",2020-02-10 17:51:52-03,UNICAMP,UEC,"202034",S,Plantae,Magnoliopsida,NA,Combretaceae,Terminalia,januarensis,Terminalia januarensis,A.DC.,Couolorcet,?,s.n.,NA,NA,Brazil,São Paulo,Campinas,IAC,-47.060001373291,-22.8999996185303,NA,NA,UEC079352,UEC079352,NA,NA,"23900",NA,NA,auto,"1991","07","11",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"31",2021-03-01 16:28:29-03,UNICAMP,UEC,"20889",S,Plantae,Magnoliopsida,NA,Combretaceae,Terminalia,januarensis,Terminalia januarensis,A.DC.,"Marquete, N","Tamashiro, JY; Silva, AF","10556","1979",NA,Brazil,São Paulo,Ubatuba,Estacção Experimental do IAC,-45.0699996948242,-23.4300003051758,NA,"árvore ca. 25m, com frutos",UEC127516,UEC127516,"10","16","34265",NA,NA,auto,"2001","10",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
