X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,barcode,imagecode,recordNumber,continentOcean,preparationType,previousCatalogNumber,occurrenceRemarks,phylum,order,infraspecificEpithet,typeStatus,coordinatePrecision,geoFlag,class,fieldNumber,individualCount,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-44.622423,-22.796043,"64",2021-03-15 16:37:00-03,NY,NYBG,"522551",PreservedSpecimen,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla latifolia,Cogn.,J. J. Wurdack,NA,NA,NA,Serra-I,"1953","03","03",Brazil,São Paulo,Sao José do Barreiro,Barreiro Co. Serra da Bocaina. Farm Lageado,-44.622423,-22.796043,NA,NA,NA,NA,NY00522551,NY00522551_01,"193",South America,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=389146' target='other'> <mi>dwc_moreinfo</mi></a>,Magnoliophyta,Myrtales,latifolia,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.622423,-22.796043,"74",2021-03-15 16:37:00-03,NY,NYBG,"522551",PreservedSpecimen,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla latifolia,Cogn.,J. J. Wurdack,NA,NA,NA,Serra-I,"1953","03","03",Brazil,São Paulo,Sao José do Barreiro,Barreiro Co. Serra da Bocaina. Farm Lageado,-44.622423,-22.796043,NA,NA,NA,NA,NY00522551,NY00522551_01,"193",South America,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=389146' target='other'> <mi>dwc_moreinfo</mi></a>,Magnoliophyta,Myrtales,latifolia,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.8699989318848,-23.9799995422363,"106",2020-01-20 14:40:39-03,UPM,MACK,"867",PreservedSpecimen,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,DC.,N. O. Costa,"2010","03","23","O. T. Aguiar; R. C. Filho; N. O. Costa","2010","02","23",Brasil,SP,Itapeva,Estação experimental. Estrada do plantio de araucárias.,-48.8699989318848,-23.9799995422363,NA,NA,NA,NA,NA,NA,"1318",NA,NA,NA,NA,NA,NA,NA,NA,"42926",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"107",2020-01-20 14:40:39-03,UPM,MACK,"2101",PreservedSpecimen,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,DC.,I. S. Yacar et al.,NA,NA,NA,"A. H. Ablino (nome correto = Albino); et al.","2013","03","21",Brasil,SP,Campos do Jordão,Bairro de Umuarama (área da UPM),-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"108",2020-01-20 14:40:39-03,UPM,MACK,"2100",PreservedSpecimen,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,DC.,I. S. Yacar et al.,NA,NA,NA,T. A. B. Mortale,"2013","02","16",Brasil,SP,Campos do Jordão,Trilha For Seasons,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,NA,NA,"70",NA,NA,NA,NA,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.678408,-23.342508,"109",2019-12-12 15:31:46-03,UFABC,HUFABC,"002097",PreservedSpecimen,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,DC.,NA,NA,NA,NA,Keller V.C.,"2018","03","06",Brasil,São Paulo,Franco da Rocha,"Parque Estadual do Juquery, Setor A, próximo à torre de observação",-46.678408,-23.342508,"-46.678408","-23.342508",NA,NA,HUFABC002097,NA,"253",NA,NA,NA,"Sub-arbusto, flores róseas/lila",Angiospermas,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"129",2020-11-04 11:13:45-03,ESALQ,ESA,"25699",PreservedSpecimen,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,DC.,"Romero, R.","1997","05","05","Barreto, K.D. et al.","1993","08","19",Brasil,São Paulo,Campos do Jordão,NA,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,ESA025699,ESA025699,"1059.0",NA,NA,NA,NA,Magnoliophyta,NA,NA,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"137",2020-11-04 11:13:45-03,ESALQ,ESA,"17895",PreservedSpecimen,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,DC.,"Romero, R.","1997","05","12","Cordeiro, I. et al.","1994","03","28",Brasil,São Paulo,Campos do Jordão,NA,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,ESA017895,NA,"1302.0",NA,NA,NA,NA,Magnoliophyta,NA,NA,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.7299995422363,-22.6800003051758,"140",2020-11-04 11:13:45-03,ESALQ,ESA,"21889",PreservedSpecimen,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,DC.,"Romero, R.",NA,NA,NA,"Tamashiro, J.Y. et al.","1995","04","13",Brasil,São Paulo,São Bento do Sapucaí,NA,-45.7299995422363,-22.6800003051758,NA,NA,NA,NA,ESA021889,NA,"872.0",NA,NA,NA,NA,Magnoliophyta,NA,NA,NA,"18089",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"158",2019-02-15 11:45:48-02,IPA,IPA,"9955",S,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla latifolia,Cogn.,Gehrt,"1942","11","28","Pickel, B.","1941","01","26",Brasil,São Paulo,Campos do Jordão,"Vila Santa Adelaide, no campo.",-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,IPA0009955,NA,"5274",Southern America,NA,NA,Flores roxas.,Plantae,NA,latifolia,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"159",2019-02-15 11:45:48-02,IPA,IPA,"9955",S,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla latifolia,Cogn.,Gehrt,"1942","11","28","Pickel, B.","1941","01","26",Brasil,São Paulo,Campos do Jordão,"Vila Santa Adelaide, no campo.",-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,IPA0009955,NA,"5274",Southern America,NA,NA,Flores roxas.,Plantae,NA,latifolia,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.2599983215332,-23.5300006866455,"302",2021-03-01 16:34:56-03,UNICAMP,UEC,"154946",S,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,A.DC.,"Versiane, AFA","2015","07","14","Amaral, MCE; Bittrich, V","2001","02","05",Brazil,São Paulo,Alumínio,"Chácara Sperancini. Antiga área da fazenda vale grande cerrado 9campo sujo), queimado durante o inverno.",-47.2599983215332,-23.5300006866455,NA,NA,NA,NA,UEC045446,UEC045446,"200108",NA,NA,NA,Subarbusto 30cm alt. Pétalas magenta escuras. 5 anteras arroxeadas de base amarela e 5 amarelas. Comum.,Magnoliopsida,NA,NA,NA,"9250",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
