X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,year,month,day,country,stateProvince,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,barcode,imagecode,recordNumber,continentOcean,locality,preparationType,previousCatalogNumber,occurrenceRemarks,phylum,order,typeStatus,infraspecificEpithet,minimumElevationInMeters,maximumElevationInMeters,coordinatePrecision,geoFlag,class,relatedCatalogItem,individualCount,fieldNumber,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.743056,-22.813889,"30",2021-02-08 11:09:38-03,UNESP-IBB,BOTU,"24253",PreservedSpecimen,Plantae,Myrtaceae,Psidium,incanum,Psidium incanum,(O. Berg.) Burr.,"Campos, C.J.",NA,NA,NA,"Ishino, M.N.","2004","10","27",Brasil,São Paulo,Pratânia,-48.743056,-22.813889,48°44'35w,22°48'50s,BOTU024253,NA,"82",NA,Reserva Particular Palmeira da Serra,NA,NA,"Cerrado s s. ; coletado no interior do fragmento; arbusto de 1,3m, início de frutificação, frutos verdes.; Coleção: Biota - Cerrado Pratânia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"74",2020-11-04 11:15:10-03,ESALQ,ESA,"85656",PreservedSpecimen,Plantae,Myrtaceae,Psidium,luridum,Psidium luridum,NA,"Sobral, M.",NA,NA,NA,"Mazine, F.F. Lucas, E.; Souza, V.C.; Romão, G.O.; Souza, J. P .","2003","11","13",Brasil,São Paulo,Itararé,-49.3400001525879,-24.1100006103516,NA,NA,ESA085656,NA,"1041.0",NA,NA,NA,NA,NA,Magnoliophyta,NA,NA,NA,NA,NA,"27729",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"75",2020-11-04 11:15:10-03,ESALQ,ESA,"11686",PreservedSpecimen,Plantae,Myrtaceae,Psidium,luridum,Psidium luridum,(Spreng.) Burret,"Kawasaki, M.L.",NA,NA,NA,"Souza, V.C. et al.","1993","04","22",Brasil,São Paulo,Itararé,-49.3400001525879,-24.1100006103516,NA,NA,ESA011686,NA,"3292.0",NA,NA,NA,NA,NA,Magnoliophyta,NA,NA,NA,NA,NA,"27729",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"76",2020-11-04 11:15:10-03,ESALQ,ESA,"52398",PreservedSpecimen,Plantae,Myrtaceae,Psidium,luridum,Psidium luridum,(Spreng.) Burret,"Scaramuzza, C.A.M.","1995","01","01","Scaramuzza, C.A.M. et al.","1993","04","23",Brasil,São Paulo,Itararé,-49.3400001525879,-24.1100006103516,NA,NA,ESA052398,NA,"1004.0",NA,NA,NA,NA,NA,Magnoliophyta,NA,NA,NA,NA,NA,"27729",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.7433,-23.9911,"145",2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0015608,PreservedSpecimen,Plantae,Myrtaceae,Psidium,ovale,Psidium ovale,(Spreng.) Burret,NA,NA,NA,NA,Ferreira et al.,"1996","3","28",Brazil,Sao Paulo,Sao Paulo,-46.7433,-23.9911,NA,NA,NA,NA,"62",NA,"Parque Estadual da Serra do Mar, Nucleo Curucutu. Dist. de Marsilac.",NA,NA,"robust-campo type; Arbusto, 0.5m alto; frutos verdes.",Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.616667,-23.533333,"146",2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0015607,PreservedSpecimen,Plantae,Myrtaceae,Psidium,ovale,Psidium ovale,(Spreng.) Burret,L. R. Landrum,NA,NA,NA,"R. Simao Bianchini; R. J. F. Garcia, S. A. P. Godoy, S. J. de Sordi","1996","1","18",Brazil,Sao Paulo,NA,-46.616667,-23.533333,NA,NA,NA,NA,"907",NA,"Mun. de Sao Paulo, Capital. Parque Estadual da Serra do Mar, Nucleo Curucutu.",NA,NA,Subarbusto 1.0 m alt. Flores creme.,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.34305,-24.105142,"153",2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0015541,PreservedSpecimen,Plantae,Myrtaceae,Psidium,salutare,Psidium salutare salutare,O. Berg,"L.R. Landrum, 2005.",NA,NA,NA,Mazine,"2003","11","13",Brazil,Sao Paulo,NA,-49.34305,-24.105142,NA,NA,NA,NA,"1041",NA,21km de Itarare para Bom Suceso de Itarare.,NA,NA,"Subarbusto 30cm; flores brancas; botoes verdes.",Magnoliophyta,Myrtales,NA,salutare,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.34305,-24.105142,"164",2018-03-05 15:00:37-03,ASU,ASU-PLANTS,ASU0015569,PreservedSpecimen,Plantae,Myrtaceae,Psidium,salutare,Psidium salutare salutare,O. Berg,"L.R. Landrum, 2005.",NA,NA,NA,Mazine,"2003","11","13",Brazil,Sao Paulo,NA,-49.34305,-24.105142,NA,NA,NA,NA,"1041",NA,21km de Itarare para Bom Suceso de Itarare.,NA,NA,"photo of specien at K; Subarbusto 30cm; flores brancas; botoes verdes.",Magnoliophyta,Myrtales,NA,salutare,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8167,-22.25,"191",2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0015550,PreservedSpecimen,Plantae,Myrtaceae,Psidium,salutare,Psidium salutare pohlianum,(O. Berg) Landrum,NA,NA,NA,NA,Fabio de Barros,"1993","2","2",Brazil,Sao Paulo,Itirapina,-47.8167,-22.25,NA,NA,NA,NA,"2515",NA,"Itirapina, Estrada de Grauna [Grau'na]",NA,NA,NA,Magnoliophyta,Myrtales,NA,pohlianum,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.305,-23.779444,"231",2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0015610,PreservedSpecimen,Plantae,Myrtaceae,Psidium,spathulatum,Psidium spathulatum,Mattos,L. R. Landrum,NA,NA,NA,Oswaldo Handro,"1970","5","10",Brazil,Sao Paulo,NA,-46.305,-23.779444,NA,NA,NA,NA,"2138",NA,"Paranapiacaba, Est. Biologica.",NA,NA,"photo specimen; Arbusto do campo, de ca. 1.20 m de altura. Frutos maduros pequenos amarelados.",Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
