X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,occurrenceRemarks,barcode,imagecode,minimumElevationInMeters,maximumElevationInMeters,phylum,order,continentOcean,preparationType,coordinatePrecision,geoFlag,class,typeStatus,relatedCatalogItem,fieldNumber,individualCount,eventTime,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.8811,-24.715,"104",2020-11-23 11:38:57-03,IAC,IAC,"47271",S,Plantae,Myrtaceae-2.Myrtoideae,Campomanesia,reitziana,Campomanesia reitziana,D.Legrand,M.E.G. Sobral,"2007","05","17","R.B. Torres; A.S. Oliveira; A.C. Lorandi & A.P. Mendonça","1744","2006","07","25",Brasil,São Paulo,Pariquera-Açu,"IAC, Estação Experimental",-47.8811,-24.715,"-47.8811","-24.7150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.1883010864258,-23.5228004455566,"139",2019-11-21 10:11:13-03,IBt,SP,"347409",S,Plantae,Myrtaceae,Campomanesia,reitziana,Campomanesia reitziana,D.Legrand,NA,NA,NA,NA,"Tomasulo, PLB","394","1993","01","29",Brasil,São Paulo,Mogi das Cruzes,Parque Municipal da Serra do Itapeti,-46.1883010864258,-23.5228004455566,NA,NA,NA,SP020599,SP020599,NA,NA,NA,NA,NA,NA,"28666",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
