X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,typeStatus,recordedBy,recordNumber,year,month,continentOcean,country,locality,preparationType,occurrenceRemarks,barcode,imagecode,class,identifiedBy,day,stateProvince,county,decimalLongitude,decimalLatitude,coordinatePrecision,geoFlag,fieldNumber,individualCount,yearIdentified,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,infraspecificEpithet,previousCatalogNumber,monthIdentified,dayIdentified,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.58,-20.89,"26",2017-09-11 17:10:22-03,UnB,HBVIRTFLBRAS,NA,O,Plantae,NA,NA,Lauraceae,Persea,punctata,Persea punctata,Meisn.,NA,"Lund, PW",s.n.,NA,NA,Southern America,Brazil,et circa Batataes,NA,"m. Jun.; Pl. Oreas.; HABITAT: Pl. Oreas.",NA,P05P2N0046,NA,NA,NA,São Paulo,Batatais,-47.58,-20.89,"22006",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.65972222,-22.40444444,"27",2014-09-23 11:01:44-03,G,G-DC,G00135196,S,Plantae,NA,NA,Lauraceae,Persea,punctata,Persea punctata,Meisn.,HOLOTYPUS of Persea punctata Meisn.,"Lund, P. W.",NA,"1839",NA,AMERIQUE DU SUD,Brazil,NA,NA,Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site,G00135196,NA,NA,CAT.HERB.PRODR.,"00",São Paulo,NA,-48.65972222,-22.40444444,NA,NA,NA,NA,"2008","-48.65972222","-22.40444444",NA,NA,NA,NA,"01","01","35",São Paulo,SP,Sudeste
-47.560001373291,-22.4099998474121,"28",2019-11-21 10:07:38-03,IBt,SP,"10601",S,Plantae,NA,NA,Lauraceae,Persea,punctata,Persea punctata,Meisn.,NA,"Loefgren, A",CGG847,"1888","08",NA,Brasil,"Feijão, linha Rio Claro, capão úmido.",NA,"Árvore pequena, fruto.",SP006402,SP006402,NA,"Kopp, LE","09",São Paulo,Rio Claro,-47.560001373291,-22.4099998474121,"21773",auto,NA,NA,"1973",NA,NA,NA,NA,NA,NA,"04",NA,"35",São Paulo,SP,Sudeste
