X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,typeStatus,recordedBy,recordNumber,year,month,continentOcean,country,locality,preparationType,occurrenceRemarks,barcode,imagecode,stateProvince,identifiedBy,day,county,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,yearIdentified,monthIdentified,class,coordinatePrecision,geoFlag,dayIdentified,verbatimLongitude,verbatimLatitude,fieldNumber,relationshipType,relatedCatalogItem,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-49.27,-24.13,"4",2021-03-15 16:37:00-03,NY,NYBG,"485364",PreservedSpecimen,Plantae,Magnoliophyta,Solanales,Convolvulaceae,Evolvulus,barbatus,NA,Evolvulus barbatus,Meisn.,NA,L. B. Smith,"14765","1965","01",South America,Brazil,Above Rio da Mortes on road to Senges,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21398' target='other'> <mi>dwc_moreinfo</mi></a>,NY00485364,NY00485364_01,Paraná,L. B. Smith,"18",Jaguariaíva,-49.27,-24.13,"810","810",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.0497,-23.5903,"6",2021-03-15 16:37:00-03,NY,NYBG,"485363",PreservedSpecimen,Plantae,Magnoliophyta,Solanales,Convolvulaceae,Evolvulus,barbatus,NA,Evolvulus barbatus,Meisn.,NA,S. Machado,"171","1960","01",South America,Brazil,Km 145 estrada S. Paulo-Itapetininga. 10 km NE da Vila Alambari,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21397' target='other'> <mi>dwc_moreinfo</mi></a>,NY00485363,NY00485363_01,São Paulo,J. J. Wurdack,"23",Itapetininga,-48.0497,-23.5903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.1,-24.2,"10",2021-03-15 16:37:00-03,NY,NYBG,"485368",PreservedSpecimen,Plantae,Magnoliophyta,Solanales,Convolvulaceae,Evolvulus,barbatus,NA,Evolvulus barbatus,Meisn.,NA,E. P. dos Santos,s.n.,"1996","11",South America,Brazil,"Rio das Mortes, Estrada Jaguariaíva-Sengés",sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451892' target='other'> <mi>dwc_moreinfo</mi></a>,NY00485368,NY00485368_01,Paraná,P. P. A. Ferreira,"07",NA,-49.1,-24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"17",2020-11-04 11:05:14-03,ESALQ,ESA,"11861",PreservedSpecimen,Plantae,Magnoliophyta,NA,Convolvulaceae,Evolvulus,barbatus,NA,Evolvulus barbatus,Meissn.,NA,"Souza, V.C. et al.","4169.0","1993","09",NA,Brasil,NA,NA,NA,ESA011861,ESA011861,São Paulo,"Simão-Bianchini, R.","07",Itararé,-49.3400001525879,-24.1100006103516,NA,NA,NA,NA,NA,"27729",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.416667,-23.45,"27",2021-03-01 16:28:37-03,UNICAMP,UEC,"33725",S,Plantae,Magnoliopsida,NA,Convolvulaceae,Evolvulus,barbatus,NA,Evolvulus barbatus,Meisn.,NA,"Macias, L","15029","1983","11",NA,Brazil,NA,NA,"Erva, cerca de 15 cm, pilosa, flores solitárias, axilar azul.&nf;; Cerrado aberto.",UEC094974,UEC094974,São Paulo,"Simão-Bianchini, R","15",Angatuba,-48.416667,-23.45,NA,NA,"1997","05",NA,NA,NA,"14","-48.416667","-23.45",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.602119,-23.698839,"28",2021-03-01 16:28:37-03,UNICAMP,UEC,"43086",S,Plantae,Magnoliopsida,NA,Convolvulaceae,Evolvulus,barbatus,NA,Evolvulus barbatus,Meisn.,NA,"Ratter, JA; Argent, GCG","4922","1983","11",NA,Brazil,Instituto Florestal de São Paulo.,NA,"Small, stoloniferous herb, to 8 cm tall. Corollas pale blue with white stamens.&nf;; In cerrado.",UEC094971,UEC094971,São Paulo,"Simão-Bianchini, R","19",Angatuba,-48.602119,-23.698839,NA,NA,"1997","05",NA,NA,NA,"14","-48.602119","-23.698839",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.0499992370605,-23.5900001525879,"47",2018-04-26 14:53:40-03,UFRPE,CONVOLVULACEAE_BR,NA,O,Plantae,NA,NA,Convolvulaceae,Evolvulus,barbatus,NA,Evolvulus barbatus,Meisn.,NA,"Campos, SM","171","1960","01",Southern America,Brazil,Km 145 estrada São Paulo - Itapetininga. 10 Km NE da vila Alambari.,NA,"Flores azuis.; Cerrado.",CONV014310,NA,São Paulo,"Wurdack, JJ","23",Itapetininga,-48.0499992370605,-23.5900001525879,NA,NA,NA,NA,NA,"40712",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.8800010681152,-23.1800003051758,"49",2018-04-26 14:53:40-03,UFRPE,CONVOLVULACEAE_BR,NA,O,Plantae,NA,NA,Convolvulaceae,Evolvulus,barbatus,NA,Evolvulus barbatus,Meisn.,NA,"Brade, AC",s.n.,"1915","04",Southern America,Brazil,NA,NA,NA,CONV014309,NA,São Paulo,"Simão-Bianchini, R","04",Jundiaí,-46.8800010681152,-23.1800003051758,NA,NA,"2006",NA,NA,"17840",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.27,-24.13,"61",2020-09-12 05:00:02-03,US,US,"2573440",PreservedSpecimen,Plantae,NA,Solanales,Convolvulaceae,Evolvulus,barbatus,NA,Evolvulus barbatus,Meisn.,NA,"L. Smith, R. M. Klein & G. Hatschbach","14765","1965","1",South America,Brazil,"Mun. Jaguariaiva: Campo and cerrado (scattered scrub), above Rio das Mortes on road to Senges.",NA,NA,US03171922,US03171922_01,Paraná,NA,"18",NA,-49.27,-24.13,"810",NA,NA,NA,Dicotyledonae,NA,NA,NA,NA,NA,NA,NA,NA,"1","35",São Paulo,SP,Sudeste
-48.0499992370605,-23.5900001525879,"62",2019-11-13 11:18:07-03,USP,SPF,"74147",PreservedSpecimen,Plantae,NA,NA,Convolvulaceae,Evolvulus,barbatus,NA,Evolvulus barbatus,Meisn.,NA,"Campos, SM","171","1960","01",NA,Brasil,NA,NA,NA,SPF00074147,SPF00074147,São Paulo,"Wurdack, JJ","23",Itapetininga,-48.0499992370605,-23.5900001525879,NA,NA,NA,NA,NA,"40712",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
