X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,scientificNameAuthorship,county,decimalLongitude,decimalLatitude,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,class,typeStatus,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.5900001525879,-22.7299995422363,"11",2019-11-01 15:28:33-03,PUC-RIO,FCAB,"1479",PreservedSpecimen,Plantae,NA,Angiospermae,Poaceae,Briza,brasiliensis,Briza brasiliensis,NA,P. Capell S.J.,s.n.,"1952","12","15",NA,Brasil,São Paulo,NA,NA,NA,NA,"Nome do determinador não legível.&nf;Sinônimo relevante: Chascolytrum brasiliense (Nees ex Steud.) Essi","001479",NA,(Nees ex Steud.) Ekman,Campos do Jordão,-45.5900001525879,-22.7299995422363,"21048",auto,"1997","04","19",NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"14",2019-11-21 10:14:56-03,IBt,SP,"105892",S,Plantae,NA,NA,Poaceae,Briza,brasiliensis,Briza brasiliensis,"Longhi Wagner, HM","Kuehn, E; Kuhlmann, M","2092","1949","11","23",NA,Brasil,São Paulo,Umuarama,"1750","1750",NA,NA,SP041561,SP041561,Ekman,Campos do Jordão,-45.5900001525879,-22.7299995422363,"21048",auto,"1997","10","31",NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"15",2019-11-21 10:14:56-03,IBt,SP,"7040",S,Plantae,NA,NA,Poaceae,Briza,brasiliensis,Briza brasiliensis,"Longhi Wagner, HM","Brade, AC","6162","1912","10","06",NA,Brasil,São Paulo,Móoca,NA,NA,NA,NA,SP041562,SP041562,Ekman,São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
