X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,year,month,day,country,stateProvince,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,barcode,imagecode,locality,identifiedBy,recordNumber,yearIdentified,monthIdentified,dayIdentified,occurrenceRemarks,coordinatePrecision,geoFlag,continentOcean,preparationType,previousCatalogNumber,phylum,order,class,relatedCatalogItem,infraspecificEpithet,individualCount,fieldNumber,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.63,-23.5403,"10",2021-03-15 16:37:00-03,NY,NYBG,"1017941",PreservedSpecimen,Plantae,Zingiberaceae,Hedychium,coronarium,Hedychium coronarium,J.Koenig,C. L. Abreu,"1978","06","12",Brazil,São Paulo,São Paulo,-46.63,-23.5403,NA,NA,NA,NA,NY01017941,NY01017941_01,"Reserva Biológica, Parque Estadual das Fontes do Ipiranga, Instituto de Botânica. Área 26, coletado no brejo natural perto do lago grande.",P. J. M. Maas,"323",NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1233448' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,South America,sheet,NA,Magnoliophyta,Zingiberales,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.88,-23.1703,"16",2021-03-15 16:37:00-03,NY,NYBG,"885215",PreservedSpecimen,Plantae,Zingiberaceae,Hedychium,coronarium,Hedychium coronarium,J.Koenig,I. Mimura,"1962","02","10",Brazil,São Paulo,Sao José dos Campos,-45.88,-23.1703,NA,NA,"585","585",NY00885215,NY00885215_01,"Uma área disjuntiva de cerrado de várias centenas de km², rodeada antigamente por mata. Ca. 9.6 km SSE em linha reta da praça principal de São José dos Campos.","L. B. Smith; S. F. Smith","277",NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982228' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,South America,sheet,NA,Magnoliophyta,Zingiberales,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.88,-23.1703,"22",2021-03-15 16:37:00-03,NY,NYBG,"885213",PreservedSpecimen,Plantae,Zingiberaceae,Hedychium,coronarium,Hedychium coronarium,J.Koenig,I. Mimura,"1962","02","10",Brazil,São Paulo,Sao José dos Campos,-45.88,-23.1703,NA,NA,"550","550",NY00885213,NY00885213_01,"Uma área disjuntiva de cerrado de várias centenas de km², rodeada antigamente por mata. Ca. 8.0 km SW em linha reta da praça principal de São José dos Campos. Próxima do corrego da Ressaca.","L. B. Smith; S. F. Smith","273",NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982226' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,South America,sheet,NA,Magnoliophyta,Zingiberales,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-50.57,-22.37,"26",2021-03-15 16:37:00-03,NY,NYBG,"1017940",PreservedSpecimen,Plantae,Zingiberaceae,Hedychium,coronarium,Hedychium coronarium,J.Koenig,G. Eiten,"1965","02","07",Brazil,São Paulo,Paraguaçú Paulista,-50.57,-22.37,NA,NA,"500","550",NY01017940,NY01017940_01,6 km N of city of Paraguaçu Paulista.,NA,"5876",NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1233444' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,South America,sheet,NA,Magnoliophyta,Zingiberales,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.63,-23.5403,"31",2021-03-15 16:37:00-03,NY,NYBG,"1017942",PreservedSpecimen,Plantae,Zingiberaceae,Hedychium,coronarium,Hedychium coronarium,J.Koenig,C. L. Abreu,"1978","06","12",Brazil,São Paulo,São Paulo,-46.63,-23.5403,NA,NA,NA,NA,NY01017942,NY01017942_01,"Reserva Biológica, Parque Estadual das Fontes do Ipiranga, Instituto de Botânica. Área 26, coletado no brejo natural perto do lago grande.",P. J. M. Maas,"323",NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1233450' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,South America,sheet,NA,Magnoliophyta,Zingiberales,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.88,-23.1703,"39",2021-03-15 16:37:00-03,NY,NYBG,"885212",PreservedSpecimen,Plantae,Zingiberaceae,Hedychium,coronarium,Hedychium coronarium,J.Koenig,I. Mimura,"1962","02","10",Brazil,São Paulo,Sao José dos Campos,-45.88,-23.1703,NA,NA,"550","550",NY00885212,NY00885212_01,"Uma área disjuntiva de cerrado de várias centenas de km², rodeada antigamente por mata. Ca. 8.0 km SW em linha reta da praça principal de São José dos Campos. Próxima do corrego da Ressaca.","L. B. Smith; S. F. Smith","273",NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982225' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,South America,sheet,NA,Magnoliophyta,Zingiberales,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.88,-23.1703,"41",2021-03-15 16:37:00-03,NY,NYBG,"885214",PreservedSpecimen,Plantae,Zingiberaceae,Hedychium,coronarium,Hedychium coronarium,J.Koenig,I. Mimura,"1962","02","10",Brazil,São Paulo,Sao José dos Campos,-45.88,-23.1703,NA,NA,"585","585",NY00885214,NY00885214_01,"Uma área disjuntiva de cerrado de várias centenas de km², rodeada antigamente por mata. Ca. 9.6 km SSE em linha reta da praça principal de São José dos Campos.","L. B. Smith; S. F. Smith","277",NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982227' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,South America,sheet,NA,Magnoliophyta,Zingiberales,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.433333,-22.866667,"44",2021-02-08 11:10:30-03,UNESP-IBB,BOTU,"29777",PreservedSpecimen,Plantae,Zingiberaceae,Hedychium,coronarium,Hedychium coronarium,J. Koenig,"Bignotto, R.B.","2004","01","20",Brasil,São Paulo,Botucatu,-48.433333,-22.866667,48°26'w,22°52's,NA,NA,BOTU029777,NA,NA,NA,"175",NA,NA,NA,"Erva, 0,5m, corolas brancas.; Coleção: Jardim Botânico UNESP Botucatu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.433333,-22.866667,"45",2021-02-08 11:10:30-03,UNESP-IBB,BOTU,"29778",PreservedSpecimen,Plantae,Zingiberaceae,Hedychium,coronarium,Hedychium coronarium,J. Koenig,"Bignotto, R.B.","2004","05","05",Brasil,São Paulo,Botucatu,-48.433333,-22.866667,48°26'w,22°52's,NA,NA,BOTU029778,NA,NA,NA,"286",NA,NA,NA,"Arbusto 1m, fruto laranja, sementes vermelhas.; Coleção: Jardim Botânico UNESP Botucatu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"72",2019-12-12 15:31:51-03,UFABC,HUFABC,"000071",PreservedSpecimen,Plantae,Zingiberaceae,Hedychium,coronarium,Hedychium coronarium,J. Koenig,"Vitorino, D A","2011","03","02",Brasil,São Paulo,Santo André,-46.5299987792969,-23.6599998474121,NA,NA,NA,NA,HUFABC000071,HUFABC000071,"Parque Regional da Criança, Entre a área de exercicios e o lago.","Vitorino, DA","36",NA,NA,NA,"Herbácea com caule grosso, verde com escapos cilíndricos. Folhas simples, alternas e verdes. Folhas Brancas e perfumadas.","27258",auto,NA,NA,NA,Angiospermas,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
