X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,yearIdentified,class,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,monthIdentified,typeStatus,fieldNumber,dayIdentified,individualCount,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.616667,-22.8,"89",2020-06-15 15:30:41-03,UNESP-RC,HRCB,"30221",PreservedSpecimen,Plantae,NA,NA,Fabaceae,Eriosema,glaziovii,Eriosema glaziovii,Harms,NA,"Junior, J.C.G.","1670","1964","03","18",NA,Brasil,São Paulo,Campos do Jordão,"Estrada do Areal, vale do rio coxim.",-45.616667,-22.8,NA,NA,NA,"Trepadeira, flor amarela, raro.",NA,NA,NA,NA,45º37'0W,22º48'0S,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.616667,-22.8,"167",2019-11-01 14:59:37-03,UnB,UB,"5782",PreservedSpecimen,Plantae,Dicotyledoneae,NA,Fabaceae,Eriosema,glaziovii,Eriosema glaziovii,Harms,"Cândido, E.S.","Gomes Júnior, JC","1670","1964","03","18",Southern America,Brasil,São Paulo,Campos do Jordão,"Estrada do areal, Vale do rio Coxim",-45.616667,-22.8,NA,NA,NA,"Trepadeira. Flor amarela; Com formação de cerrado. Topologia: Encosta.",NA,NA,"2016",NA,"-45.616667","-22.8",NA,NA,"08",NA,NA,"11",NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"218",2021-02-08 12:41:45-03,UFRGS,ICN,"135974",S,Plantae,Dicotyledon,NA,Fabaceae,Eriosema,glaziovii,Eriosema glaziovii,Harms,"Neubert, EE; Flores, AS","Gomes Jr.; J.C.",s.n.,"1964","03","18",América do Sul,Brasil,SP,Campos do Jordão,estrada do Areal vale do rio Coxim. Encosta. 22°48'0'' 45°37'0'',-45.5900001525879,-22.7299995422363,NA,NA,NA,"Trepadeira; flores amarelas; rara; Com formação de Cerrado",ICN00022002,ICN00022002 ICN00022002_1 ICN00022002_2,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"222",2021-02-25 09:38:40-03,IBt,SP,"77712",S,Plantae,NA,NA,Fabaceae,Eriosema,glaziovii,Eriosema glaziovii,Harms,NA,"Correa Gomes Jr, J","1670","1964","03","18",NA,Brasil,São Paulo,Campos do Jordão,NA,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
