X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,occurrenceRemarks,barcode,imagecode,identifiedBy,yearIdentified,minimumElevationInMeters,maximumElevationInMeters,phylum,order,continentOcean,preparationType,infraspecificEpithet,monthIdentified,dayIdentified,class,coordinatePrecision,geoFlag,fieldNumber,individualCount,typeStatus,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.9000015258789,-21.1800003051758,"25",2020-12-11 11:45:08-03,UFMG,BHCB,"73012",PreservedSpecimen,Plantae,Poaceae,Hymenachne,condensata,Hymenachne condensata,(Bertol) Chase,"Viegas, GP",s.n.,"1939","09","21",Brasil,São Paulo,Pindorama,Barranca do rio São Domingos,-48.9000015258789,-21.1800003051758,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monocotyledon,NA,Southern America,NA,NA,NA,NA,NA,"14884",auto,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.9072,-21.1858,"39",2019-01-25 15:44:41-02,IAC,IAC,"3377",S,Plantae,Poaceae,Panicum,condensatum,Panicum condensatum,Bertol.,G.P. Viégas,s/nº,"1939","03","20",Brasil,São Paulo,Pindorama,Barranca Rio São Domingos,-48.9072,-21.1858,"-48.9072","-21.1858",NA,NA,NA,F.O. Zuloaga,"1997",NA,NA,NA,NA,NA,NA,NA,"11","20",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.89,-22.01,"58",2017-09-11 17:12:53-03,UnB,HBVIRTFLBRAS,NA,O,Plantae,Poaceae,Panicum,pilosum,Panicum pilosum subverticillatum,Döll,"Riedel, L",s.n.,NA,NA,NA,Brazil,São Paulo,São Carlos,et in paludosis prope S. Carlos,-47.89,-22.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Southern America,NA,subverticillatum,NA,NA,NA,"45913",auto,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.89,-22.01,"67",2017-09-11 17:12:53-03,UnB,HBVIRTFLBRAS,NA,O,Plantae,Poaceae,Panicum,pilosum,Panicum pilosum subverticillatum,Döll,"Riedel, L",s.n.,NA,NA,NA,Brazil,São Paulo,São Carlos,ad fossas et in paludosis prope S. Carlos,-47.89,-22.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Southern America,NA,subverticillatum,NA,NA,NA,"45913",auto,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47,-21.4599990844727,"68",2021-02-08 12:53:57-03,UFRGS,ICN,"131618",S,Plantae,Poaceae,Panicum,condensatum,Panicum condensatum,Bertol.,"Pansarin, ER; et al.","21","1997","01","24",Brasil,SP,Mococa,SP 340,-47,-21.4599990844727,NA,NA,doação Campinas,NA,NA,"Guglieri, A","2000",NA,NA,Monocotyledon,NA,América do Sul,NA,NA,"08","07",NA,"24370",auto,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"71",2019-11-21 10:15:42-03,IBt,SP,"9795",S,Plantae,Poaceae,Hymenachne,condensata,Hymenachne condensata,(Bertol.) Chase,"Usteri, A",s.n.,"1907","01","06",Brasil,São Paulo,Santo André,Alto da Serra,-46.5299987792969,-23.6599998474121,NA,NA,NA,NA,NA,"Silva, TS","1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27258",auto,NA,NA,NA,"35",São Paulo,SP,Sudeste
