X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,minimumElevationInMeters,maximumElevationInMeters,yearIdentified,monthIdentified,verbatimLongitude,verbatimLatitude,dayIdentified,coordinatePrecision,geoFlag,class,relatedCatalogItem,fieldNumber,individualCount,typeStatus,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.0697,-23.4303,"1",2021-03-15 16:37:00-03,NY,NYBG,"402783",PreservedSpecimen,Plantae,Magnoliophyta,Lamiales,Bignoniaceae,Tabebuia,cassinoides,Tabebuia cassinoides,(Lam.) DC.,A. H. Gentry,P. E. Gibbs,"3459","1976","11","09",South America,Brazil,São Paulo,Ubatuba,"Ubatuba, ao redor do Hotel das Flores.",-45.0697,-23.4303,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=715281' target='other'> <mi>dwc_moreinfo</mi></a>,NY00402783,NY00402783_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.702004,-23.702324,"3",2021-03-15 16:37:00-03,NY,NYBG,"720642",PreservedSpecimen,Plantae,Magnoliophyta,Lamiales,Bignoniaceae,Tabebuia,cassinoides,Tabebuia cassinoides,(Lam.) DC.,NA,W. Hoehne,"2320","1946","11","13",South America,Brazil,São Paulo,São Paulo,Proximo a Interlagos.,-46.702004,-23.702324,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2519287' target='other'> <mi>dwc_moreinfo</mi></a>,NY00720642,NY00720642_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.08,-22.5,"4",2021-03-15 16:37:00-03,NY,NYBG,"402780",PreservedSpecimen,Plantae,Magnoliophyta,Lamiales,Bignoniaceae,Tabebuia,cassinoides,Tabebuia cassinoides,(Lam.) DC.,NA,A. H. Gentry,"49295","1985","01","08",South America,Brazil,São Paulo,Ubatuba,NA,-45.08,-22.5,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=715288' target='other'> <mi>dwc_moreinfo</mi></a>,NY00402780,NY00402780_01,"5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5497,-24.7003,"6",2021-03-15 16:37:00-03,NY,NYBG,"886428",PreservedSpecimen,Plantae,Magnoliophyta,Lamiales,Bignoniaceae,Tabebuia,cassinoides,Tabebuia cassinoides,(Lam.) DC.,A. H. Gentry,W. H. Stubblebine,"13228","1981","12","11",South America,Brazil,São Paulo,Iguape,Restinga de Grajáu.,-47.5497,-24.7003,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023883' target='other'> <mi>dwc_moreinfo</mi></a>,NY00886428,NY00886428_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0697,-23.4303,"13",2021-03-15 16:37:00-03,NY,NYBG,"402784",PreservedSpecimen,Plantae,Magnoliophyta,Lamiales,Bignoniaceae,Tabebuia,cassinoides,Tabebuia cassinoides,(Lam.) DC.,NA,C. A. Joly,"10381","1979","09","08",South America,Brazil,São Paulo,Ubatuba,Praia do Saco da Ribeira terreno Brejoso-Restinga.,-45.0697,-23.4303,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=715284' target='other'> <mi>dwc_moreinfo</mi></a>,NY00402784,NY00402784_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.033333,-24.366667,"18",2021-02-08 11:07:42-03,UNESP-IBB,BOTU,"7542",PreservedSpecimen,Plantae,NA,NA,Bignoniaceae,Tabebuia,cassinoides,Tabebuia cassinoides,(Lam.) DC.,"Paschoal, M.E.S.","Castellani, M.R.","50","1979","11","02",NA,Brasil,São Paulo,Peruibe,Praia do Guarau,-47.033333,-24.366667,NA,"Árvore com 7 m de altura, possuindo flores brancas com o tubo da corola amarela internamente",BOTU007542,NA,NA,NA,"2007","11",47°02'w,24°22's,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.033333,-24.366667,"19",2021-02-08 11:07:42-03,UNESP-IBB,BOTU,"7544",PreservedSpecimen,Plantae,NA,NA,Bignoniaceae,Tabebuia,cassinoides,Tabebuia cassinoides,(Lam.) DC.,"Assis, M.A.","Oliveira, J.A.","50","1979","11","02",NA,Brasil,São Paulo,Peruibe,Praia do Guarau,-47.033333,-24.366667,NA,"Árvore com 7 m de altura, possuindo flores brancas com o tubo da corola amarela internamente",BOTU007544,NA,NA,NA,"1997","04",47°02'w,24°22's,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.033333,-24.366667,"20",2021-02-08 11:07:42-03,UNESP-IBB,BOTU,"7547",PreservedSpecimen,Plantae,NA,NA,Bignoniaceae,Tabebuia,cassinoides,Tabebuia cassinoides,(Lam.) DC.,"Paschoal, M.E.S.","Ferreira Neto, J.P.","50","1979","11","02",NA,Brasil,São Paulo,Peruibe,Praia do Guarau,-47.033333,-24.366667,NA,"Árvore com 7 m de altura, possuindo flores brancas com o tubo da corola amarela internamente",BOTU007547,NA,NA,NA,"2007","11",47°02'w,24°22's,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.033333,-24.366667,"21",2021-02-08 11:07:42-03,UNESP-IBB,BOTU,"7543",PreservedSpecimen,Plantae,NA,NA,Bignoniaceae,Tabebuia,cassinoides,Tabebuia cassinoides,(Lam.) DC.,"Assis, M.A.","Souza, M.M.S.","2","1979","11","02",NA,Brasil,São Paulo,Peruibe,Praia do Guarau,-47.033333,-24.366667,NA,"Árvore com 7 m de altura, possuindo flores brancas com o tubo da corola amarela internamente",BOTU007543,NA,NA,NA,"1997","04",47°02'w,24°22's,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.033333,-24.366667,"22",2021-02-08 11:07:42-03,UNESP-IBB,BOTU,"7545",PreservedSpecimen,Plantae,NA,NA,Bignoniaceae,Tabebuia,cassinoides,Tabebuia cassinoides,(Lam.) DC.,"Assis, M.A.","Kanthack, R.A.D.","50","1979","11","02",NA,Brasil,São Paulo,Peruibe,Praia do Guarau,-47.033333,-24.366667,NA,"Árvore com 7 m de altura, possuindo flores brancas com o tubo da corola amarela internamente",BOTU007545,NA,NA,NA,"1997","04",47°02'w,24°22's,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
