X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,barcode,imagecode,phylum,order,continentOcean,preparationType,typeStatus,coordinatePrecision,geoFlag,class,relatedCatalogItem,infraspecificEpithet,individualCount,fieldNumber,previousCatalogNumber,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.43,-23.58,"11",2021-03-15 16:37:00-03,NY,NYBG,"776896",PreservedSpecimen,Plantae,Meliaceae,Trichilia,silvatica,Trichilia silvatica,C.DC.,T. D. Pennington,NA,NA,NA,L. Rossi,"2195","2000","09","21",Brazil,São Paulo,Caraguatatuba,"Parque Estadual da Serra do Mar, Núcleo Caraguatatuba, Trilha do Poçao",-45.43,-23.58,NA,NA,"60","85",<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125062' target='other'> <mi>dwc_moreinfo</mi></a>,NY00776896,NY00776896_01,Magnoliophyta,Sapindales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.618358,-23.646109,"17",2021-03-15 16:37:00-03,NY,NYBG,"01023587",PreservedSpecimen,Plantae,Meliaceae,Trichilia,silvatica,Trichilia silvatica,C.DC.,F. C. Hoehne,NA,NA,NA,F. C. Hoehne,"27314","1932","01","14",Brazil,São Paulo,NA,Jardim Botanico.,-46.618358,-23.646109,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1196381' target='other'> <mi>dwc_moreinfo</mi></a>,NY01023587,NY01023587_01,Magnoliophyta,Sapindales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.4097,-23.6203,"18",2021-03-15 16:37:00-03,NY,NYBG,"776895",PreservedSpecimen,Plantae,Meliaceae,Trichilia,silvatica,Trichilia silvatica,C.DC.,T. D. Pennington,NA,NA,NA,I. Cordeiro,"2335","2000","09","28",Brazil,São Paulo,Caraguatatuba,"Parque Estadual da Serra do Mar, Núcleo Caraguatatuba, Trilha da Captaçao",-45.4097,-23.6203,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125064' target='other'> <mi>dwc_moreinfo</mi></a>,NY00776895,NY00776895_01,Magnoliophyta,Sapindales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.618358,-23.646109,"26",2021-03-15 16:37:00-03,NY,NYBG,"01023586",PreservedSpecimen,Plantae,Meliaceae,Trichilia,silvatica,Trichilia silvatica,C.DC.,F. C. Hoehne,NA,NA,NA,F. C. Hoehne,"27314","1932","01","14",Brazil,São Paulo,NA,Jardim Botanico.,-46.618358,-23.646109,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1196378' target='other'> <mi>dwc_moreinfo</mi></a>,NY01023586,NY01023586_01,Magnoliophyta,Sapindales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.82393,-22.7782,"45",2020-11-04 10:56:11-03,ESALQ,ESA,"133071",PreservedSpecimen,Plantae,Meliaceae,Trichilia,silvatica,Trichilia silvatica,C.DC.,"Flores, T. B.","2015","07","15","Orlandini, P.; Volet; Lima, K.; Mansur, A.L.; Santini-Jr., L.; Gios, B.R.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.; Ivanauskas, N.M.","122.0","2015","07","03",Brasil,São Paulo,Piracicaba,"Estação Ecológica de Ibicatu. Floresta Estacional Semidecidual, próxima à área de agropecuária.",-47.82393,-22.7782,"-47.82393","-22.7782","553","553",Árvore.,ESA133071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5400009155273,-24.7399997711182,"47",2020-11-04 11:14:06-03,ESALQ,ESA,"104653",PreservedSpecimen,Plantae,Meliaceae,Trichilia,silvatica,Trichilia silvatica,NA,NA,NA,NA,NA,"Carrasco, P.G.",NA,"1999","07","25",Brasil,São Paulo,Ilha Comprida,NA,-47.5400009155273,-24.7399997711182,NA,NA,NA,NA,NA,ESA104653,ESA104653,Magnoliophyta,NA,NA,NA,NA,"49747",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8800010681152,-24.7099990844727,"48",2020-11-04 11:14:06-03,ESALQ,ESA,"76165",PreservedSpecimen,Plantae,Meliaceae,Trichilia,silvatica,Trichilia silvatica,NA,"Sztutman, M.",NA,NA,NA,"Sztutman, M. ; Valmir","331.0","1999","07","21",Brasil,São Paulo,Pariquera-Açu,NA,-47.8800010681152,-24.7099990844727,NA,NA,NA,NA,NA,ESA076165,NA,Magnoliophyta,NA,NA,NA,NA,"17990",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.0999984741211,-24.5200004577637,"49",2020-11-04 11:14:06-03,ESALQ,ESA,"25643",PreservedSpecimen,Plantae,Meliaceae,Trichilia,silvatica,Trichilia silvatica,C. DC.,"Souza, V.C.",NA,NA,NA,"Souza, V.C.; Rodrigues, R.R.; Arzolla, F.A.R.P.; Ivanauskas, N.M.; Souza, J.P.; Scalon, V.R.; Farah, F.T.; Mazine, F.F.; Sanches, I.D.; Paiva, G.A.; L. M.Campos, Dias, A.S.; V.Pereira, Cordeiro, L.E.; Rodrigues, A.G.; Guskuma, M.","9141.0","1995","09","04",Brasil,São Paulo,Eldorado,"Parque Estadual de Jacupiranga, Núcleo da Caverna do Diabo. Arredores do alojamento e da Caverna do Diabo.",-48.0999984741211,-24.5200004577637,NA,NA,NA,NA,"Arbusto, ca. 2 m alt.; botões verdes. Beira de Mata Atlântica.",ESA025643,ESA025643,Magnoliophyta,NA,NA,NA,NA,"38804",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5499992370605,-24.7000007629395,"53",2020-11-04 11:14:06-03,ESALQ,ESA,"70698",PreservedSpecimen,Plantae,Meliaceae,Trichilia,silvatica,Trichilia silvatica,C. DC.,"Camargo, P.C.C.E.",NA,NA,NA,"Moraes, P. L. R. de","2433.0","2001","05","08",Brasil,São Paulo,Iguape,NA,-47.5499992370605,-24.7000007629395,NA,NA,NA,NA,NA,ESA070698,ESA070698,Magnoliophyta,NA,NA,NA,NA,"55628",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8800010681152,-24.7099990844727,"54",2020-11-04 11:14:06-03,ESALQ,ESA,"29327",PreservedSpecimen,Plantae,Meliaceae,Trichilia,silvatica,Trichilia silvatica,C. DC.,"Ivanauskas, N.M.",NA,NA,NA,"Ivanauskas, N.M. ; Gomes, A.","882.0","1996","09","12",Brasil,São Paulo,Pariquera-Açu,NA,-47.8800010681152,-24.7099990844727,NA,NA,NA,NA,NA,ESA029327,ESA029327,Magnoliophyta,NA,NA,NA,NA,"17990",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
