X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,barcode,monthIdentified,continentOcean,coordinatePrecision,geoFlag,dayIdentified,imagecode,class,typeStatus,fieldNumber,preparationType,order,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.6300010681152,-23.5400009155273,"2",2021-02-08 21:32:50-03,UFBA,ALCB,"125315",PreservedSpecimen,Plantae,Dicotyledon,Myrtaceae,Plinia,phitrantha,Plinia phitrantha,(Kiaersk.) Sobral,"Stadnik, A","2015","Mattos, J",s/n,"1964","01","15",Brasil,São Paulo,São Paulo,"Cultivada na estação experimental de criação, Água Funda.",-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,ca. 3m alt. Flores brancas com cálice branco-esverdeado. Frutos maduros verde-claros costado.,ALCB060571,"09",Southern America,"53584",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.06,-22.9,"4",2015-07-02 14:03:24-03,JBP,HPL,"11453",S,Plantae,NA,Myrtaceae,Plinia,phitrantha,Plinia phitrantha,(Kiaersk.) Sobral,V.C. Souza,"2012",M. Lacerda,"1002","2007","11","01",Brasil,SP,Campinas,"Coletado no Instituto Agronômico de Campinas (IAC), Fazenda Santa Eliza; 7° fileira a partir da estradinha.",-47.06,-22.9,NA,NA,NA,NA,NA,NA,"06",NA,"23900",auto,"04",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.4,-22.56,"5",2015-07-02 14:03:24-03,JBP,HPL,"13064",S,Plantae,NA,Myrtaceae,Plinia,phitrantha,Plinia phitrantha,(Kiaersk.) Sobral,V.C. Souza,"2012",H. Lorenzi,"6133","2006","09","11",Brasil,SP,Limeira,Coletado em cultivo no viveiro de mudas Dierberger. Material anterior e erroneamente tombado como HPL-6626.,-47.4,-22.56,NA,NA,NA,NA,NA,NA,"06",NA,"20999",auto,"04",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.64,-22.72,"6",2015-07-02 14:03:24-03,JBP,HPL,"6482",S,Plantae,NA,Myrtaceae,Plinia,phitrantha,Plinia phitrantha,(Kiaersk.) Sobral,V.C. Souza,"2012",H. Lorenzi,"6182","2006","10","04",Brasil,SP,Piracicaba,Coletado e cultivado na Escola Superior de Agronomia Luiz de Queiroz (ESALQ).,-47.64,-22.72,NA,NA,NA,NA,NA,NA,"06",NA,"44778",auto,"04",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.64,-22.72,"10",2015-07-02 14:03:24-03,JBP,HPL,"10497",S,Plantae,NA,Myrtaceae,Plinia,phitrantha,Plinia phitrantha,(Kiaersk.) Sobral,V.C. Souza,"2012",R. Tsuji,"2167","2007","09","17",Brasil,NA,Piracicaba,"Coletado na Escola Superior de Agricultura Luiz de Queiroz (ESALQ); departamento de Horticultura.",-47.64,-22.72,NA,NA,NA,NA,NA,NA,"06",NA,"44778",auto,"04",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.06,-22.9,"11",2015-07-02 14:03:24-03,JBP,HPL,"11456",S,Plantae,NA,Myrtaceae,Plinia,phitrantha,Plinia phitrantha,(Kiaersk.) Sobral,V.C. Souza,"2012",M. Lacerda,"1005","2007","11","01",Brasil,SP,Campinas,"Coletado no Instituto Agronômico de Campinas (IAC), Fazenda Santa Eliza.",-47.06,-22.9,NA,NA,NA,NA,NA,NA,"06",NA,"23900",auto,"04",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.06,-22.9,"12",2015-07-02 14:03:24-03,JBP,HPL,"6479",S,Plantae,NA,Myrtaceae,Plinia,phitrantha,Plinia phitrantha,(Kiaersk.) Sobral,V.C. Souza,"2012",H. Lorenzi,"6179","2006","10","04",Brasil,SP,Campinas,Coletado e cultivado na Fazenda Santa Elisa (floricultura).,-47.06,-22.9,NA,NA,NA,NA,NA,NA,"06",NA,"23900",auto,"04",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"29",2021-03-15 18:29:03-03,USP,SPF,"83006",PreservedSpecimen,Plantae,NA,Myrtaceae,Plinia,phitrantha,Plinia phitrantha,(Kiaersk.) Sobral,"Stadnik, A","2015","Mattos, J",s.n.,"1964","01","15",Brasil,São Paulo,São Paulo,"Cultivada na Estação Experimental de Criação; Água Funda.",-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,"Árvore pequena; de 3 m alt. Flores brancas com cálice branco-esverdeado. Frutos maduros verde-claros; costados.",SPF00083006,"11",NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.077171,-22.870251,"32",2020-11-23 11:39:25-03,IAC,IAC,"55340",S,Plantae,NA,Myrtaceae-2.Myrtoideae,Plinia,phitrantha,Plinia phitrantha,(Kiaersk.) Sobral,L.B. Évora et al.,"2014","L.B. Évora; L.C. Bernacci & F.D.M. Carvalho","57","2014","05","07",Brasil,São Paulo,Campinas,"IAC, Fazenda Santa Elisa, Quadra do Café, L3, P12",-47.077171,-22.870251,"-47.077171","-22.870251",NA,NA,NA,NA,"05",NA,NA,NA,"07",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"34",2020-12-01 09:01:50-03,MCN-FZBRS,HAS,"87614",PreservedSpecimen,Plantae,Magnoliophyta,Myrtaceae,Myrciaria,aureana,Myrciaria aureana,Mattos,"Mattos, J.","1964","Bordo, A.",s.n.,"1963","01",NA,Brasil,São Paulo,São Paulo,Água Funda,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,"Cultivada na Água Funda. Pequena árvore. Casca amarelada, soltando plaquinhas. Fl. br. Fr. costado.",HAS0087614,NA,NA,"53584",auto,NA,NA,NA,Isotypus,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"35",2019-11-21 10:12:30-03,IBt,SP,"79375",S,Plantae,NA,Myrtaceae,Myrciaria,aureana,Myrciaria aureana,Mattos,"Mattos, J","1964","Mattos, J",s.n.,"1964","01","15",Brasil,São Paulo,São Paulo,"Cultivada na Estação Experimental de Criação, Água Funda",-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,"Árvore pequena 3 m alt., flores brancas com cálice branco-esverdeado. Frutos maduros verde-claro, costados",SP001370,"01",NA,"53584",auto,NA,SP001370,NA,Holotype,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"36",2019-11-21 10:12:30-03,IBt,SP,79375a,Extra,Plantae,NA,Myrtaceae,Myrciaria,aureana,Myrciaria aureana,Mattos,"Mattos, J","1964","Mattos, J",s.n.,"1964","01","15",Brasil,São Paulo,São Paulo,"Cultivada na Estação Experimental de Criação, Água Funda",-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,"Árvore pequena 3 m alt., flores brancas com cálice branco-esverdeado. Frutos maduros verde-claro, costados",SP001371,"01",NA,"53584",auto,NA,SP001371,NA,Holotype,NA,NA,NA,"35",São Paulo,SP,Sudeste
