X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,barcode,phylum,order,continentOcean,fieldNumber,preparationType,imagecode,typeStatus,class,dayIdentified,coordinatePrecision,geoFlag,previousCatalogNumber,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.381,-23.3251,"1",2019-12-12 15:31:31-03,UFABC,HUFABC,"001686",PreservedSpecimen,Plantae,Dicranaceae,Atractylocarpus,brasiliensis,Atractylocarpus brasiliensis,(Müll. Hal.) R.S. Willians,"Peralta, DF","2017","08","Yano, O; Marcelli, MP; Resende, A","16736","1922","05","18",Brasil,São Paulo,São Paulo,Parque Estadual da Cantareira,-46.381,-23.3251,"-46.381","-23.3251","1","1",Sobre pedra encharcada exposta ao sol,HUFABC001686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.3199996948242,-22.6800003051758,"14",2020-12-27 13:39:09-03,MN,R-BRYOPHYTA,"225941",PreservedSpecimen,Plantae,Calymperaceae,Atractylocarpus,brasiliensis,Atractylocarpus brasiliensis,(Müll. Hal.) R.S. Williams,"Dias, M.S.","2019","06","Neves, B.F.S. 319; Kessous, I.M.",NA,NA,NA,NA,Brasil,São Paulo,Bananal,Serra da Bocaina,-44.3199996948242,-22.6800003051758,NA,NA,NA,NA,NA,R000225941,Bryophyta,Bryales,NA,NA,NA,NA,NA,Bryopsida,"14","26795",auto,NA,"35",São Paulo,SP,Sudeste
