X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,year,month,day,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,identifiedBy,recordNumber,stateProvince,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,imagecode,county,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,class,infraspecificEpithet,typeStatus,individualCount,fieldNumber,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-44.661444,-22.638611,"229",2019-11-13 11:23:21-03,USP,SPF,"200414",PreservedSpecimen,Plantae,Leguminosae,Tachigali,rugosa,Tachigali rugosa,"Freitas, HS","2008","01","17",NA,Brasil,NA,NA,NA,SPF00200414,NA,NA,(Mart. ex Benth.) Zarucchi & Pipoly,"Freitas, HS; Lima, HC","37",São Paulo,NA,-44.661444,-22.638611,"482","482",NA,São José do Barreiro,NA,NA,"2008",NA,NA,"-44.661444","-22.638611",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.75,-22.466667,"284",2020-07-23 12:02:28-03,CEPLAC,CEPEC,"132673",PreservedSpecimen,Plantae,Caesalpiniaceae,Tachigali,rugosa,Tachigali rugosa,J. M. A. Braga,"1995","11","17",NA,Brasil,NA,NA,<ll>dwc_commonname:</ll> Gameleira,NA,NA,NA,NA,M. P. Morim,"2111",Rio de Janeiro,"Parque Nacional do Itatiaia, estrad apara Mirantão.",-44.75,-22.466667,NA,NA,NA,ITATIAIA,NA,NA,NA,NA,NA,44W45'0,22S28'0,NA,NA,NA,NA,NA,30/12/2007,"35",São Paulo,SP,Sudeste
