X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,year,month,day,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,typeStatus,recordNumber,stateProvince,locality,phylum,order,scientificNameAuthorship,identifiedBy,imagecode,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,county,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,class,fieldNumber,individualCount,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.9900016784668,-23.8700008392334,"63",2020-11-04 11:11:50-03,ESALQ,ESA,"12922",PreservedSpecimen,Plantae,Lauraceae,Aiouea,trinervis,Aiouea trinervis,"Moraes, P.L.R. ; Capellari Jr., L.","1993","10","29",NA,Brasil,NA,NA,NA,ESA012922,NA,"829.0",São Paulo,NA,Magnoliophyta,NA,NA,NA,NA,-47.9900016784668,-23.8700008392334,NA,NA,São Miguel Arcanjo,NA,NA,"27904",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-50.4099998474121,-22.6599998474121,"76",2020-11-04 11:11:50-03,ESALQ,ESA,"96355",PreservedSpecimen,Plantae,Lauraceae,Aiouea,trinervis,Aiouea trinervis,"Medri, C. et al.","1997","08","07",NA,Brasil,NA,NA,NA,ESA096355,NA,"325.0",São Paulo,NA,Magnoliophyta,NA,Meisn.,"Estevan, D.A. & Vieira, A.O.S.",NA,-50.4099998474121,-22.6599998474121,NA,NA,Assis,NA,NA,"23972",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9900016784668,-23.8700008392334,"77",2020-11-04 11:11:50-03,ESALQ,ESA,"9112",PreservedSpecimen,Plantae,Lauraceae,Aiouea,trinervis,Aiouea trinervis,"Moraes, P.L.R.","1992","09","09",NA,Brasil,NA,NA,NA,ESA009112,NA,"708.0",São Paulo,NA,Magnoliophyta,NA,NA,NA,NA,-47.9900016784668,-23.8700008392334,NA,NA,São Miguel Arcanjo,NA,NA,"27904",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.783333,-21.916667,"80",2020-11-19 10:24:00-03,CPAP,CPAP,"16460",PreserverdSpecimen,Plantae,Lauraceae,Aiouea,trinervis,Aiouea trinervis,"Gomes Jr., J. C.","1996","06","23",NA,Brasil,NA,NA,Arbusto 3m de altura. FLOR: verde-amarelado. Raquis da inflorescência vermelho. FRUTO: . INTERESSE: . FREQUÊNCIA: Frequente. AMBIENTE: Cerrado. SUBSTRATO: . RELEVO: .,NA,NA,"1992",SP,Fazenda Retiro dos Telhados. Margem do rio Campo Triste,NA,NA,Meisn.,F. Bucci,NA,-48.783333,-21.916667,NA,NA,Itaju,48°47' W,21°55'00'' S,NA,NA,"1996","06","25",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-50.4099998474121,-22.6599998474121,"161",2021-03-01 16:32:18-03,UNICAMP,UEC,"145093",S,Plantae,Lauraceae,Aiouea,trinervis,Aiouea trinervis,"Medri, C; et al.","1997","08","07",NA,Brazil,NA,NA,"Arbusto, ramos da inflorescência vermelho, botões florais verdes, interior.",UEC005647,NA,"325",São Paulo,Reserva Instituto Florestal,Magnoliopsida,NA,Meisn.,"Vieira, AOS; Estevan, DA",UEC005647,-50.4099998474121,-22.6599998474121,NA,NA,Assis,NA,NA,"23972",auto,"2004",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9900016784668,-23.8700008392334,"162",2021-03-01 16:32:18-03,UNICAMP,UEC,"88181",S,Plantae,Lauraceae,Aiouea,trinervis,Aiouea trinervis,"Moraes, PLR; Capellari Jr, L","1993","10","29",NA,Brazil,NA,NA,Árvore +ou- 17m de altura.,UEC005649,NA,"829",São Paulo,"Parque Estadual Carlos Botelho, Bord de mata.",Magnoliopsida,NA,Meisn.,"Moraes, PLR",UEC005649,-47.9900016784668,-23.8700008392334,NA,NA,São Miguel Arcanjo,NA,NA,"27904",auto,"1993",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-50.4099998474121,-22.6599998474121,"204",2020-12-21 16:30:42-03,MBM,MBM,"305096",PreservedSpecimen,Plantae,Lauraceae,Aiouea,trinervis,Aiouea trinervis,"Medri, C.; et al.; et al.","1997","08",NA,Southern America,Brazil,NA,NA,NA,MBM305096,NA,"325",São Paulo,REserva do Instituto Florestal,NA,NA,Meisn.,"et al.; Estevan, D.A.",MBM305096,-50.4099998474121,-22.6599998474121,NA,NA,Assis,NA,NA,"23972",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-51.3800010681152,-22.1200008392334,"205",2020-12-21 16:30:42-03,MBM,MBM,"54719",PreservedSpecimen,Plantae,Lauraceae,Aiouea,trinervis,Aiouea trinervis,"Gibbs, P.E.; et al.; et al.",NA,NA,NA,Southern America,Brazil,NA,NA,NA,MBM054719,NA,"5479",São Paulo,Estrada para Campo Grande,NA,NA,Meisn.,"Werff, H. van der",MBM054719,-51.3800010681152,-22.1200008392334,NA,NA,Presidente Prudente,NA,NA,"45175",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49,-22,"308",2020-08-31 09:10:57-03,INPA,INPA,"204396",S,Plantae,Lauraceae,Aiouea,trinervis,Aiouea trinervis,"Gomes Junior, JC","1964","09","18",Southern America,Brasil,NA,NA,NA,INPA0204396,NA,"2157",Mato Grosso do Sul,Faz. do Servo do Dr. Saide Saior.,Dicotyledon Magnoliids,Laurales,Meisn.,"Moraes, PLR de",INPA0204396 INPA0204396_e INPA0204396_e1,-49,-22,NA,NA,Três Lagoas,"-49","-22",NA,NA,"2004","01","26",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49,-22,"309",2020-08-31 09:10:57-03,INPA,INPA,"204397",S,Plantae,Lauraceae,Aiouea,trinervis,Aiouea trinervis,"Gomes Junior, JC","1964","09","21",Southern America,Brasil,NA,NA,NA,INPA0204397,NA,"2210",Mato Grosso do Sul,"Retiro das telhas, margem esquerda do Rio Campo Triste.",Dicotyledon Magnoliids,Laurales,Meisn.,"Moraes, PLR de",INPA0204397 INPA0204397_e INPA0204397_e1,-49,-22,NA,NA,Três Lagoas,"-49","-22",NA,NA,"2004","01","26",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
