X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,preparationType,occurrenceRemarks,barcode,imagecode,recordedBy,county,decimalLongitude,decimalLatitude,yearIdentified,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,class,monthIdentified,minimumElevationInMeters,maximumElevationInMeters,dayIdentified,individualCount,infraspecificEpithet,fieldNumber,typeStatus,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.56,-22.41,"3",2021-03-15 16:37:00-03,NY,NYBG,"687473",PreservedSpecimen,Plantae,Magnoliophyta,Gentianales,Apocynaceae,Oxypetalum,arnottianum,Oxypetalum arnottianum,H.Buek,M. A. Farinaccio,"490","2001","12","27",South America,Brazil,São Paulo,Jardim Floridiana. Terrenos baldios próximos ao SESI.,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=875783' target='other'> <mi>dwc_moreinfo</mi></a>,NY00687473,NY00687473_01,M. A. Farinaccio,Rio Claro,-47.56,-22.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.166667,-22,"40",2021-03-01 16:22:11-03,UNICAMP,UEC,"187420",S,Plantae,Magnoliopsida,NA,Apocynaceae,Oxypetalum,arnottianum,Oxypetalum arnottianum,H.Buek,"Durigan, G","4253","2015","09","27",NA,Brazil,São Paulo,"coletada na margem da rodovia presidente castelo branco km 258, onde ocorre uma população agregada com cerca de 100 individuos, que tem sido roçada com alta frequencia. na região ocorrem fisionomias campestres do cerrado",NA,"subarbusto latescente, caule unico, sistema radicular muito ramificado, 40 cm, inflorescência globosa geralmente terminal, com cerca de 3 cm de diametro. flores vináceas, quase negra , corona amarela, frutos fusiformes de coloração ver",UEC115835,UEC115835,"Durigan, G",Iaras,-49.166667,-22,"2015","-49.166667","-22",NA,NA,NA,"09","660","660","27",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.827944,-22.09725,"41",2021-03-01 16:22:11-03,UNICAMP,UEC,"132116",S,Plantae,Magnoliopsida,NA,Apocynaceae,Oxypetalum,arnottianum,Oxypetalum arnottianum,H.Buek,"Farinaccio, MA","480","2001","12","21",NA,Brazil,São Paulo,"SP 310, km 221. Rod. Washington Luis, São Carlos, sentido Rio Claro.",NA,"Planta ereta, latescente em cerrado. Flores de corola atro-purpurea. Corona amarela a esverdeada, Ginostégio amarelo, vináceo no ápice.",UEC053167,UEC053167,"Farinaccio, MA; Magenta, MAG; Magenta, E",São Carlos,-47.827944,-22.09725,"2001","-47.827944","-22.09725",NA,NA,NA,"12","761","761",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.560001373291,-22.4099998474121,"49",2020-12-21 16:12:47-03,MBM,MBM,"287274",PreservedSpecimen,Plantae,NA,NA,Apocynaceae,Oxypetalum,arnottianum,Oxypetalum arnottianum,H. Buek,"Farinaccio, M.A.","490","2001","12","27",Southern America,Brazil,São Paulo,Jardim Floridiana,NA,NA,MBM287274,MBM287274,"Farinaccio, M.A.; et al.; et al.",Rio Claro,-47.560001373291,-22.4099998474121,NA,NA,NA,"21773",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.560001373291,-22.4099998474121,"55",2020-12-17 17:32:06-03,UFMG,BHCB,"89076",PreservedSpecimen,Plantae,Dicotyledon,NA,Apocynaceae,Oxypetalum,arnottianum,Oxypetalum arnottianum,H.Buek ex E.Fourn.,NA,"489","2001","12","26",Southern America,Brasil,São Paulo,"Jardim Floridiana, Terrenos baldios próximos ao SESI.",NA,"Planta ereta, latescente. Botões vináceos. Flores de corola atroporpurea. Corona amarela. Inflorescências eretas. Frutos maduros amarelos com máculas vináceas. Sementes castanhas.; Área degradada, anteriormente ocupada por Cerrado.",NA,NA,"Farinaccio, MA; Farinaccio, FC",Rio Claro,-47.560001373291,-22.4099998474121,"2001",NA,NA,"21773",auto,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.560001373291,-22.4099998474121,"100",2010-08-09 13:42:00-03,MO,MOBOT,"100295539",PreservedSpecimen,Plantae,NA,NA,Apocynaceae,Oxypetalum,arnottianum,Oxypetalum arnottianum,H. Buek ex E. Fourn.,M.A. Farinaccio,Farinaccio 490,"2001","12","27",South America,Brazil,São Paulo,"Rio Claro, Jardim Floridiana",NA,NA,NA,NA,M.A. Farinaccio|A.A. Araújo,Rio Claro,-47.560001373291,-22.4099998474121,NA,NA,NA,"21773",auto,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.560001373291,-22.4099998474121,"102",2020-06-15 15:28:29-03,UNESP-RC,HRCB,"43066",PreservedSpecimen,Plantae,NA,NA,Apocynaceae,Oxypetalum,arnottianum,Oxypetalum arnottianum,Buek.,"Farinaccio, M.A.","490","2001","12","27",NA,Brasil,São Paulo,Jardim Floridiana,NA,"Planta ereta, latescente. Botões vináceos. Pedúnculos e pedicelos vináceos a verdes. Flores de corola atro-pupúrea, menos frequentemente coral. Corona amarela. Inflorescências eretas. Frutos maduros,",NA,NA,"Farinaccio, M.A.",Rio Claro,-47.560001373291,-22.4099998474121,"2001",NA,NA,"21773",auto,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.560001373291,-22.4099998474121,"104",2020-06-15 15:28:29-03,UNESP-RC,HRCB,"53759",PreservedSpecimen,Plantae,NA,NA,Apocynaceae,Oxypetalum,arnottianum,Oxypetalum arnottianum,Buek.,"Farinaccio, M.A.","599","2004","01","04",NA,Brasil,São Paulo,Jardim Floridiana,NA,"Planta ereta, latescente. Inflorescência ereta. Corola atro-purpúrea. Corona amarela",NA,NA,"Farinaccio, M.A.",Rio Claro,-47.560001373291,-22.4099998474121,"2003",NA,NA,"21773",auto,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.827777,-22.097222,"116",2020-09-02 16:20:07-03,Cenargen,CEN,"51692",PreservedSpecimen,Plantae,NA,NA,Apocynaceae,Oxypetalum,arnottianum,Oxypetalum arnottianum,H.Buek,M. A. Farinaccio,"480","2001","12","21",NA,Brasil,SP,"SP-310, km 221. Rodovia Washington Luis, são Carlos, sentido Rio Claro.",Exsicatas,"Planta ereta, latescente em cerrado. Flores de corola atro-purpurea. Corona amarela a esverdeada. Ginostégio amarelo, vináceo no ápice. Doação da Universidade de São Paulo - Herbário SPF.",CEN00051692,CEN00051692,Maria Ana Farinaccio,SAO CARLOS,-47.827777,-22.097222,"2001","-47.827777","-22.097222",NA,NA,NA,"12","761","761",NA,"1",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.827944,-22.09725,"117",2021-03-15 18:24:52-03,USP,SPF,"157025",PreservedSpecimen,Plantae,NA,NA,Apocynaceae,Oxypetalum,arnottianum,Oxypetalum arnottianum,H.Buek,"Farinaccio, MA","480","2001","12","21",NA,Brasil,São Paulo,"SP 310, km 221. Rodovia Washington Luis, São Carlos, sentido Rio Claro.",NA,"Planta ereta, latescente em cerrado. Flores de corola atro-purpurea. Corona amarela a esverdeada. Ginostégio amarelo, vináceo no ápice.",SPF00157025,NA,"Farinaccio, MA",São Carlos,-47.827944,-22.09725,"2001","-47.827944","-22.09725",NA,NA,NA,"12","761","761",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
