X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,occurrenceRemarks,barcode,coordinatePrecision,geoFlag,phylum,order,typeStatus,continentOcean,preparationType,imagecode,minimumElevationInMeters,maximumElevationInMeters,infraspecificEpithet,class,relatedCatalogItem,relationshipType,fieldNumber,individualCount,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-50.69713,-20.359378,"33",2021-03-15 16:37:00-03,NY,NYBG,"644583",PreservedSpecimen,Plantae,Loranthaceae,Struthanthus,rhynchophyllus,Struthanthus rhynchophyllus,Eichler,K. Krause,NA,NA,NA,A. Löfgren,"12828","1896","12","22",Brazil,São Paulo,NA,Sao Francisco dos Campos,-50.69713,-20.359378,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=576799' target='other'> <mi>dwc_moreinfo</mi></a>,NY00644583,NA,NA,Magnoliophyta,Santalales,NA,South America,sheet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.724373,-23.565521,"35",2021-03-15 16:37:00-03,NY,NYBG,"644621",PreservedSpecimen,Plantae,Loranthaceae,Struthanthus,vulgaris,Struthanthus vulgaris,(Vell.) Mart.,K. Krause,NA,NA,NA,F. C. Hoehne,"97","1917","05","02",Brazil,São Paulo,Sao Paulo,Butantan,-46.724373,-23.565521,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240368' target='other'> <mi>dwc_moreinfo</mi></a>,NY00644621,NA,NA,Magnoliophyta,Santalales,NA,South America,sheet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.733333,-22.816667,"48",2021-02-08 11:09:10-03,UNESP-IBB,BOTU,"23627",PreservedSpecimen,Plantae,Loranthaceae,Struthanthus,marginatus,Struthanthus marginatus,(Desr.) Blume,NA,NA,NA,NA,"Ferreira, R.C.C.","116","1997","09","23",Brasil,São Paulo,Botucatu,NA,-49.733333,-22.816667,49° 44' w,22°49's,Árvore 4m.,BOTU023627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.416667,-22.75,"52",2021-02-08 11:09:10-03,UNESP-IBB,BOTU,"10842",PreservedSpecimen,Plantae,Loranthaceae,Struthanthus,vulgaris,Struthanthus vulgaris,Eichler in Martius,"Gottsberger, I.S.","1975",NA,NA,"Gottsberger, I.S.",73r,"1971","03","15",Brasil,São Paulo,Botucatu,"18km north of Botucatu (14 km east of São Manuel). Along the São Manuel- Piracicaba highway. Near ex-RR station, 13 de Maio",-48.416667,-22.75,48°25'w,22°45's,"Alt. ca 550m . Cerrado vegetation, xeromorphic tree & scrub woodland form, on gentle slope. Half-parasite.; Coleção: Cerrado Estação 13 de Maio",BOTU010842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.416667,-22.75,"53",2021-02-08 11:09:10-03,UNESP-IBB,BOTU,"10837",PreservedSpecimen,Plantae,Loranthaceae,Struthanthus,vulgaris,Struthanthus vulgaris,Eichler in Martius,"Rizzini, C.T.","1974",NA,NA,"Gottsberger, I.S.","59","1970","03","24",Brasil,São Paulo,Botucatu,"18km north of Botucatu (14 km east of São Manuel). Along the São Manuel- Piracicaba highway. Near ex-RR station, 13 de Maio",-48.416667,-22.75,48°25'w,22°45's,"Alt. ca 550m . Cerrado vegetation, xeromorphic tree & scrub woodland form, on gentle slope. Semi-parasite of Eugenia aurata. Ind. Masculo.; Coleção: Cerrado Estação 13 de Maio",BOTU010837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.916667,-22.916667,"54",2021-02-08 11:09:10-03,UNESP-IBB,BOTU,"31003",PreservedSpecimen,Plantae,Loranthaceae,Struthanthus,vulgaris,Struthanthus vulgaris,(Vell.) Mart.,NA,NA,NA,NA,"Bicudo, L.R.H.","1871","1996","12","12",Brasil,São Paulo,Botucatu,"Mata do Moro da Igreja de Santo Antonio Rubião, distrito de Rubião Júnior",-48.916667,-22.916667,48°55'w,22°55's,NA,BOTU031003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.416667,-22.75,"55",2021-02-08 11:09:10-03,UNESP-IBB,BOTU,"10843",PreservedSpecimen,Plantae,Loranthaceae,Struthanthus,vulgaris,Struthanthus vulgaris,Eichler in Martius,"Gottsberger, I.S.","1975",NA,NA,"Gottsberger, I.S.","21375","1975","03","21",Brasil,São Paulo,Botucatu,"18km north of Botucatu (14 km east of São Manuel). Along the São Manuel- Piracicaba highway. Near ex-RR station, 13 de Maio",-48.416667,-22.75,48°25'w,22°45's,"Alt. ca 550m . Cerrado vegetation, xeromorphic tree & scrub woodland form, on gentle slope. Half-parasite.; Coleção: Cerrado Estação 13 de Maio",BOTU010843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"91",2021-03-30 12:43:17-03,EAO,IAN,"154992",PreservedSpecimen,Plantae,Loranthaceae,Struthanthus,marginatus,Struthanthus marginatus,(Desr.) Blume,"Caires, CS","2009","12","07","Leitão Filho, HFP; Stubblebine, WH","8640","1978","11","14",Brasil,São Paulo,Campinas,Souzas.,-47.060001373291,-22.8999996185303,NA,NA,"Flores cremes, esverdadas. Leguminosae.",IAN154992,"23900",auto,Dicotiledônea,NA,NA,Southern America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"101",2020-01-20 14:40:34-03,UPM,MACK,"2256",PreservedSpecimen,Plantae,Loranthaceae,Struthanthus,marginatus,Struthanthus marginatus,(Desr.) Blume,I. S. Yacar,"2015",NA,NA,M. Fascina,"26","2011","10","26",Brasil,SP,Campos do Jordão,NA,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"103",2019-12-12 15:31:44-03,UFABC,HUFABC,"000617",PreservedSpecimen,Plantae,Loranthaceae,Struthanthus,martianus,Struthanthus martianus,Dettke & Waechter  ,NA,NA,NA,NA,"Moraes, A P; Amorim, F","166","2017","12","28",Brasil,São Paulo,Ubatuba,Praia do Prumirim,-45.0699996948242,-23.4300003051758,NA,NA,NA,HUFABC000617,"34265",auto,Angiospermas,NA,NA,NA,NA,HUFABC000617,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
