X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,coordinatePrecision,geoFlag,class,yearIdentified,monthIdentified,dayIdentified,fieldNumber,verbatimLongitude,verbatimLatitude,typeStatus,individualCount,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.560001373291,-23.6900005340576,"109",2021-02-08 12:52:16-03,UFRGS,ICN,"046266",S,Plantae,Monocotyledon,NA,Orchidaceae,Habenaria,armata,Habenaria armata,Rchb.f.,"(BHCB) Batista, JAN","Brade, AC","15710","1937","03",NA,América do Sul,Brasil,SP,São Bernardo do Campo,Villa Emma,-46.560001373291,-23.6900005340576,NA,NA,NA,Flor verdeada.,ICN00040048,NA,"31119",auto,NA,"2016","03","04",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"112",2019-11-21 10:13:23-03,IBt,SP,"42635",S,Plantae,NA,NA,Orchidaceae,Habenaria,armata,Habenaria armata,Rchb.f.,"Batista, JAN","Brade, AC","16244","1940","03",NA,NA,Brasil,São Paulo,São Paulo,Campos entre V. Ema e S. Bernardo,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,"53584",auto,NA,"1998","09",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"113",2019-11-21 10:13:23-03,IBt,SP,"28887",S,Plantae,NA,NA,Orchidaceae,Habenaria,elegantula,Habenaria elegantula,Hoehne,"Hoehne, FC","Brade, AC","6196","1913","05",NA,NA,Brasil,São Paulo,São Paulo,Vila Emma,-46.6300010681152,-23.5400009155273,NA,NA,NA,Campo. Flores amareladas,SP002118,SP002118,"53584",auto,NA,"1937",NA,NA,NA,NA,NA,Holotype,NA,NA,"35",São Paulo,SP,Sudeste
