X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,class,fieldNumber,typeStatus,individualCount,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.63,-24.32,"11",2021-03-15 16:37:00-03,NY,NYBG,"1921336",PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Myrtaceae,Eugenia,zuccarinii,Eugenia zuccarinii,O.Berg,M. Sobral,J. R. Mattos,"8872","1961","04","04",South America,Brazil,São Paulo,Juquiá,"Juquiá, ca. de 8 km NE de cidade",-47.63,-24.32,NA,NA,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2271717' target='other'> <mi>dwc_moreinfo</mi></a>,NY01921336,NY01921336_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6300010681152,-24.3199996948242,"28",2020-11-04 11:14:42-03,ESALQ,ESA,"97525",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Eugenia,zuccarinni,Eugenia zuccarinni,Berg.,"Sobral, M.","Mattos, J. Handro, O.","8872.0","1961","04","04",NA,Brasil,São Paulo,Juquiá,NA,-47.6300010681152,-24.3199996948242,NA,NA,NA,NA,ESA097525,ESA097525,NA,NA,NA,NA,NA,"32505",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.138599395752,-23.8544006347656,"97",2019-11-01 15:28:29-03,PUC-RIO,FCAB,"5128",PreservedSpecimen,Plantae,NA,Angiospermae,Myrtaceae,Eugenia,rostrata,Eugenia rostrata,O.Berg,M.C. Souza,"J.Y. Tamashiro; R.R. Rodrigues; H.F. Leitão Filho","18713","1986","11","04",NA,Brasil,São Paulo,Bertioga,Moji das Cruzes,-46.138599395752,-23.8544006347656,NA,NA,NA,"Arvoreta até 5m de altura, flores brancas.","005128",NA,"2016","05","25",NA,NA,"37616",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8800010681152,-24.7099990844727,"151",2019-11-13 11:26:50-03,USP,SPF,"96628",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Eugenia,rostrata,Eugenia rostrata,O.Berg,"Giaretta, A","Bernacci, LC","964","1995","01","10",NA,Brasil,São Paulo,Pariquera-Açu,Estação Experimental do IAC,-47.8800010681152,-24.7099990844727,NA,NA,NA,NA,SPF00096628,NA,"2016","06",NA,NA,NA,"17990",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6300010681152,-24.3199996948242,"153",2019-11-13 11:26:52-03,USP,SPF,"41509",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Eugenia,zuccarinii,Eugenia zuccarinii,O.Berg,"Mazine, FF","Mattos, J","8872","1961","04","04",NA,Brasil,São Paulo,Juquiá,NA,-47.6300010681152,-24.3199996948242,NA,NA,NA,NA,SPF00041509,NA,"2018","06",NA,NA,NA,"32505",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"211",2020-07-23 12:15:57-03,CEPLAC,CEPEC,"118828",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Eugenia,zuccarinii,Eugenia zuccarinii,NA,M. Sobral,J. Mattos,"8873","2001","03","05",NA,Brasil,São Paulo,SÃO PAULO,Jupia. Ca. Ca. 8Km da cidade.,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,30/12/1992,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"236",2020-08-26 10:50:00-03,MCN-FZBRS,HAS,"74441",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Eugenia,rostrata,Eugenia rostrata,Berg.,NA,"Mattos, J.","28391","1984","12",NA,NA,Brasil,São Paulo,Piracicaba,Na rodovia Tietê-Piracicaba,-47.6399993896484,-22.7199993133545,NA,NA,NA,"No cerrado degradado, subarbusto com 20cm, inflorescência nova",HAS0074441,NA,NA,NA,NA,NA,NA,"44778",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6300010681152,-24.3199996948242,"239",2019-11-21 10:11:46-03,IBt,SP,"64496",S,Plantae,NA,NA,Myrtaceae,Eugenia,zuccarinii,Eugenia zuccarinii,O.Berg,"Giaretta, A","Mattos, J; Handro, O","8872","1961","04","04",NA,Brasil,São Paulo,Juquiá,Ca. 8km NE da cidade. Na mata secundária.,-47.6300010681152,-24.3199996948242,NA,NA,NA,"PLanta 2malt., botões e frutos imaturos.",SP057152,SP057152,"2017","10",NA,NA,NA,"32505",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6300010681152,-24.3199996948242,"240",2019-11-21 10:11:46-03,IBt,SP,"64497",S,Plantae,NA,NA,Myrtaceae,Eugenia,zuccarinii,Eugenia zuccarinii,O.Berg,"Giaretta, A","Mattos, J; Handro, O","8873","1961","04","04",NA,Brasil,São Paulo,Juquiá,Ca.8km NE da cidade. Na mata secundária.,-47.6300010681152,-24.3199996948242,NA,NA,NA,"Planta 3m alt., botões e frutos imaturos.",SP057153,SP057153,"2017","10",NA,NA,NA,"32505",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8800010681152,-24.7099990844727,"241",2019-11-21 10:11:46-03,IBt,SP,"321771",S,Plantae,NA,NA,Myrtaceae,Eugenia,zuccarinii,Eugenia zuccarinii,O.Berg,"Giaretta, A","Bernacci, LC; Andrade, PRP; Belinello, R; Falivene, SMP; Silva, AMC","964","1995","01","10",NA,Brasil,São Paulo,Pariquera-Açu,Estação Experimental do IAC,-47.8800010681152,-24.7099990844727,NA,NA,NA,NA,SP057149,SP057149,"2017","10",NA,NA,NA,"17990",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
