X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,barcode,imagecode,phylum,order,coordinatePrecision,individualCount,geoFlag,continentOcean,preparationType,relationshipType,relatedCatalogItem,class,infraspecificEpithet,typeStatus,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.8800010681152,-23.1800003051758,"3",2019-06-10 10:10:32-03,FZB-BH,CVJBFZB,"1361",S,Plantae,Cactaceae,Rhipsalis,paradoxa,Rhipsalis paradoxa,(Salm-Dyck ex Pfeiff.) Salm-Dyck,Nygel Taylor,NA,NA,NA,"Juliana Ordones Rego;",NA,NA,NA,NA,Brasil,São Paulo,Jundiaí,Serra do Japi,-46.8800010681152,-23.1800003051758,NA,NA,NA,NA,"254",NA,NA,Magnoliophyta,Caryophyllales,"17840","2",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.63,-23.5403,"9",2021-03-15 16:37:00-03,NY,NYBG,"645709",PreservedSpecimen,Plantae,Cactaceae,Rhipsalis,paradoxa,Rhipsalis paradoxa,(Salm-Dyck) Salm-Dyck ex Pfeiff.,NA,NA,NA,NA,J. N. Rose,"20848","1915","08","14",Brazil,São Paulo,Sao Paulo,"Garden of Museu Paulista, Sao Paulo",-46.63,-23.5403,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=149691' target='other'> <mi>dwc_moreinfo</mi></a>,NY00645709,NY00645709_01,Magnoliophyta,Caryophyllales,NA,NA,NA,South America,sheet,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.0999984741211,-24.5200004577637,"14",2020-11-04 11:04:12-03,ESALQ,ESA,"95194",PreservedSpecimen,Plantae,Cactaceae,Rhipsalis,paradoxa,Rhipsalis paradoxa,(Salm.-Dyck) Salm.-Dyck,NA,NA,NA,NA,"Carboni, M. et al.","155.0","2005","03","28",Brasil,São Paulo,Eldorado,NA,-48.0999984741211,-24.5200004577637,NA,NA,NA,NA,NA,ESA095194,ESA095194,Magnoliophyta,NA,"38804",NA,auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.0999984741211,-24.5200004577637,"15",2020-11-04 11:04:12-03,ESALQ,ESA,"95216",PreservedSpecimen,Plantae,Cactaceae,Rhipsalis,paradoxa,Rhipsalis paradoxa,NA,"Calvente, A.M.","2010",NA,NA,"Braidotti, J.C. et al.","62.0","2005","03","25",Brasil,São Paulo,Eldorado,NA,-48.0999984741211,-24.5200004577637,NA,NA,NA,NA,NA,ESA095216,ESA095216,Magnoliophyta,NA,"38804",NA,auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"16",2020-11-04 11:04:12-03,ESALQ,ESA,"16543",PreservedSpecimen,Plantae,Cactaceae,Rhipsalis,paradoxa,Rhipsalis paradoxa,(Pfeiff.) Salm.-Dyck,"Taylor, N.P.",NA,NA,NA,"Souza, V.C. et al.","4971.0","1993","12","03",Brasil,São Paulo,Piracicaba,NA,-47.6399993896484,-22.7199993133545,NA,NA,NA,NA,NA,ESA016543,ESA016543,Magnoliophyta,NA,"44778",NA,auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"17",2020-11-04 11:04:12-03,ESALQ,ESA,"11000",PreservedSpecimen,Plantae,Cactaceae,Rhipsalis,paradoxa,Rhipsalis paradoxa,(Pfeiff.) Salm.-Dyck,"Taylor, N.P.",NA,NA,NA,"Barreto, K.D. et al.","1186.0","1993","09","14",Brasil,São Paulo,Piracicaba,NA,-47.6399993896484,-22.7199993133545,NA,NA,NA,NA,NA,ESA011000,ESA011000,Magnoliophyta,NA,"44778",NA,auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.37897,-24.03882,"18",2020-11-04 11:04:12-03,ESALQ,ESA,"125477",PreservedSpecimen,Plantae,Cactaceae,Rhipsalis,paradoxa,Rhipsalis paradoxa,NA,"Kuntz, J.","2013","04","01","Polisel, R.T.","1201.0","2013","03","30",Brasil,São Paulo,Tapiraí,"Reserva Particular da Votorantim (CBA). Trilha do Chagas, UHE da Fumaça. Floresta Ombrófila Densa à margem esquerda do Rio Juquiá.",-47.37897,-24.03882,"-47.37897","-24.03882",NA,NA,Epífita. Botões.,ESA125477,NA,Magnoliophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.37897,-24.03882,"19",2020-11-04 11:04:12-03,ESALQ,ESA,"124139",PreservedSpecimen,Plantae,Cactaceae,Rhipsalis,paradoxa,Rhipsalis paradoxa,NA,"Kuntz, J.","2013","04","01","Polisel, R.T. ; Diogo, I.","1201.0","2013","03","30",Brasil,São Paulo,Tapiraí,"Reserva Particular da Votorantim (CBA). Trilha do Chagas, UHE da Fumaça. Floresta Ombrófila Densa à margem esquerda do Rio Juquiá.",-47.37897,-24.03882,"-47.37897","-24.03882","324","324",Epífita. Botões.,ESA124139,ESA124139,Magnoliophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.0999984741211,-24.5200004577637,"20",2020-11-04 11:04:12-03,ESALQ,ESA,"96527",PreservedSpecimen,Plantae,Cactaceae,Rhipsalis,paradoxa,Rhipsalis paradoxa,(Salm.-Dyck) Salm.-Dyck,NA,NA,NA,NA,"Oriani, A. et al.","548.0","2005","03","23",Brasil,São Paulo,Eldorado,NA,-48.0999984741211,-24.5200004577637,NA,NA,NA,NA,NA,ESA096527,ESA096527,Magnoliophyta,NA,"38804",NA,auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.641583,-24.0745,"29",2021-03-01 16:27:18-03,UNICAMP,UEC,"193152",S,Plantae,Cactaceae,Rhipsalis,paradoxa,Rhipsalis paradoxa,(Salm-Dyck) Salm-Dyck ex Pfeiff.,"Kuntz, J","2013","04",NA,"Polisel, RT; Diogo, IJS; Oliveira Neto, MA; Campos-Rocha, A; Souza, VC; et al.","1201","2013","03","30",Brazil,São Paulo,Tapiraí,"Reserva Particular do Votorantim (CBA). Trilha do Chagas,UHE da Fumaça",-47.641583,-24.0745,"-47.641583","-24.0745","324","324","Epífita. Botões; Floresta Ombrófila Densa à margem esquerda do Rio Juquiá",UEC128895,UEC128895,Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
