X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,minimumElevationInMeters,maximumElevationInMeters,class,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,fieldNumber,individualCount,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-49.3400001525879,-24.1100006103516,"16",2020-11-04 11:04:28-03,ESALQ,ESA,"8954",PreservedSpecimen,Plantae,Magnoliophyta,NA,Campanulaceae,Siphocampylus,lycioides,Siphocampylus lycioides,(Cham.) G. Don.,"Godoy, S.A.P.","Scaramuzza, C.A.M. ; Souza, V.C.",NA,"1989","09","24",NA,Brasil,São Paulo,Itararé,NA,-49.3400001525879,-24.1100006103516,NA,NA,ESA008954,ESA008954,NA,NA,NA,NA,NA,"27729",auto,"2003","01","01",NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"17",2020-11-04 11:04:28-03,ESALQ,ESA,"16667",PreservedSpecimen,Plantae,Magnoliophyta,NA,Campanulaceae,Siphocampylus,lycioides,Siphocampylus lycioides,(Cham.) G. Don.,"Godoy, S.A.P.","Souza, V.C. et al.","4001.0","1993","04","21",NA,Brasil,São Paulo,Itararé,NA,-49.3400001525879,-24.1100006103516,NA,NA,ESA016667,ESA016667,NA,NA,NA,NA,NA,"27729",auto,"2003","01","01",NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.84,-23.53,"18",2015-07-02 14:01:21-03,JBP,HPL,"8045",S,Plantae,NA,NA,Campanulaceae,Siphocampylus,lycioides,Siphocampylus lycioides,NA,R. Tsuji,H. Lorenzi,"3228","2002","03","11",NA,Brasil,SP,Salesópolis,"Coletado na beira da estrada da Petrobrás (km 39); na descida da serra.",-45.84,-23.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18032",auto,"2004","05","25",NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.160833,-24.274444,"24",2021-03-01 16:27:43-03,UNICAMP,UEC,"098176",S,Plantae,Magnoliopsida,NA,Campanulaceae,Siphocampylus,lycioides,Siphocampylus lycioides,G.Don,NA,"Torezan, JMD; Arima, LIA; Pimenta, JA; Resende, JCF; Sifuentes, DVO; et al.","526","1997","12","11",NA,Brazil,São Paulo,Bom Sucesso de Itararé,"Descida da serra, 10Km de Bom Sucesso. Beira de estrada.",-49.160833,-24.274444,NA,"Erva do solo, 0,5m de alt.; caule avermelhado, flores com corola vermelha e extremidade esverdeada no início da antese, com látex.; Floresta Estacional Transição Montana-Submontana.",UEC094623,UEC094623,NA,NA,NA,"-49.160833","-24.274444",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.205278,-24.268333,"25",2021-03-01 16:27:43-03,UNICAMP,UEC,"173905",S,Plantae,Magnoliopsida,NA,Campanulaceae,Siphocampylus,lycioides,Siphocampylus lycioides,G.Don,"Tannus, JLS","Tannus, JLS","899","2005","10","20",NA,Brazil,São Paulo,Itararé,Unidade de Pesquisa e Desenvolvimento de Itararé.,-49.205278,-24.268333,NA,"Erva flexuosa, ca. 1,5m, cálice verde, corola vermelha na base c/ lobos amarelados, em solo arenoso alagadiço.; Campo úmido altimontano.",UEC089455,UEC089455,NA,NA,NA,"-49.205278","-24.268333",NA,NA,"2007","05",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"61",2020-12-21 16:19:58-03,MBM,MBM,"225947",PreservedSpecimen,Plantae,NA,NA,Campanulaceae,Siphocampylus,lycioides,Siphocampylus lycioides,(Cham.) D. Don,"Souza, V.C.","Souza, V.C.; et al.; et al.","4001","1993","07","15",Southern America,Brazil,São Paulo,Itararé,Estrada Itararé - Bonsucesso,-49.3400001525879,-24.1100006103516,NA,NA,MBM225947,MBM225947,NA,NA,NA,NA,NA,"27729",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"106",2020-06-15 15:29:47-03,UNESP-RC,HRCB,"54253",PreservedSpecimen,Plantae,NA,NA,Campanulaceae,Siphocampylus,lycioides,Siphocampylus lycioides,(Cham.) G.Don,"Tannus, J.L.S.","Tannus, J.L.S.","899","2005","10","20",NA,Brasil,São Paulo,Itararé,Unidade de Pesquisa e Desenvolvimento de Itararé,-49.3400001525879,-24.1100006103516,NA,"erva flexuosa, ca. 1,5m, cálice verde, corola vermelha na base com lobos amarelados, em solo arenoso alagadiço",NA,NA,NA,NA,NA,NA,NA,"27729",auto,"2007","05",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49,-22,"132",2019-06-11 13:49:44-03,F,FMNH-SEEDPLANTS,V0356278F,PreservedSpecimen,Plantae,Spermatophyta,NA,Campanulaceae,Siphocampylus,lycioides,Siphocampylus lycioides,NA,RRC ID Flag,J. R. Mattos,"10694","1962","11","20",South America,Brazil,São Paulo,NA,NA,-49,-22,NA,NA,V0356278F,V0356278F_01 V0356278F_02,NA,NA,Dicotyledoneae,NA,NA,NA,NA,NA,NA,NA,"10694",NA,NA,"35",São Paulo,SP,Sudeste
-49.3317,-24.1125,"134",2019-01-25 15:39:10-02,IAC,IAC,"49757",S,Plantae,NA,NA,Campanulaceae,Siphocampylus,lycioides,Siphocampylus lycioides,(Cham.) G.Don,J.L.S. Tannus,J.L.S. Tannus,"899","2005","10","20",NA,Brasil,São Paulo,Itararé,Unidade de Pesquisa e Desenvolvimento de Itararé,-49.3317,-24.1125,NA,"Coordenadas do material: 24°16#?#06#?#S, 49°12#?#19#?#W",NA,NA,NA,NA,NA,"-49.3317","-24.1125",NA,NA,"2007","05","20",NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"163",2021-03-04 15:42:44-03,IF,SPSF,"22551",PreservedSpecimen,Plantae,Magnoliophyta,Campanulales,Campanulaceae,Siphocampylus,lycioides,Siphocampylus lycioides,NA,NA,J.M.Torezan,"526","1997","12","11",América do Sul,Brasil,SP,Itararé,floresta estacional transiçao,-49.3400001525879,-24.1100006103516,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,NA,Magnoliopsida,NA,NA,"27729",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
