X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,identifiedBy,locality,minimumElevationInMeters,maximumElevationInMeters,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,class,relatedCatalogItem,verbatimLongitude,verbatimLatitude,fieldNumber,individualCount,typeStatus,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.8400001525879,-24.5,"8",2020-11-04 11:03:57-03,ESALQ,ESA,"37554",PreservedSpecimen,Plantae,Magnoliophyta,NA,Bromeliaceae,Tillandsia,linearis,Tillandsia linearis,Vell.,"Chung, F.; Matos, J.; Schmidt, M.; Gandara, F.; Ivanauskas, N.M.; Vanini, A.; Souza, J.P.; Souza, V.C.; Tamashiro, J.Y.; Rodrigues, R.R.","109.0","1997","12","13",NA,Brasil,São Paulo,Apiaí,-48.8400001525879,-24.5,NA,"Flor roxa, epífita",ESA037554,ESA037554,"Elias, S.I.",BLOQUEADO,NA,NA,"37738",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.077222,-24.335278,"13",2021-03-01 16:19:09-03,UNICAMP,UEC,"68619",S,Plantae,Liliopsida,NA,Bromeliaceae,Tillandsia,linearis,Tillandsia linearis,Vell.,"Chung, F; Matos, J; Schmidt, M; Gandara, F; Ivanauskas, NM; Vanini, A; Souza, JP","109","1997","12","13",NA,Brazil,São Paulo,Apiaí,-49.077222,-24.335278,NA,"Flor roxa. Epíita.; Floresta Ombrófila Mista. Floresta de Araucária.",UEC043629,UEC043629,"Elias, SI",Estrada do Pinhalzinho. 11 Km de Bom Sucesso de Itararé.,NA,NA,NA,NA,"1998","01",NA,NA,NA,"-49.077222","-24.335278",NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"56",2015-10-22 10:02:39-02,UNIOESTE,UNOP,"5920",S,Plantae,NA,NA,Bromeliaceae,Tillandsia,linearis,Tillandsia linearis,Vell.,"Bianchini, R.S.; Kiyama, C.Y.; Proença, S.; Fozzar, R.C.; Ferreira, C.; Kiyama, C.Y.; Proença, S.; Fozzar, R.C.; Ferreira, C.","765","1995","09","26",NA,Brasil,São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,NA,Epífita muito frequente. Pétalas azul celeste.,NA,NA,NA,Embu Guaçu Mata de Varzea do rio Embu Guaçu.,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.077222,-24.335278,"72",2019-01-25 15:39:07-02,IAC,IAC,"36641",S,Plantae,NA,NA,Bromeliaceae,Tillandsia,linearis,Tillandsia linearis,Vell.,"F. Chung; J. Matos; M. Schmidt; F.B. Gandara; N.M. Ivanauskas; A. Vanini; J. Paula-Souza; J.Y. Tamashiro & R.R. Rodrigues","109","1997","12","13",NA,Brasil,São Paulo,Apiaí,-49.077222,-24.335278,NA,"coordenadas originais: 24°20#?#07S, 49°04#?#38W",NA,NA,S.I. Elias,"Estrada do pinhalzinho, 11 Km de Bom Sucesso de Itararé",NA,NA,NA,NA,"1998","01","13",NA,NA,"-49.077222","-24.335278",NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.8400001525879,-24.5,"77",2021-03-04 15:41:58-03,IF,SPSF,"23014",PreservedSpecimen,Plantae,Magnoliophyta,Bromeliales,Bromeliaceae,Tillandsia,linearis,Tillandsia linearis,NA,F.Chung,"109","1997","12","13",América do Sul,Brasil,SP,Apiaí,-48.8400001525879,-24.5,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,estrada para Pinhalzinho,NA,NA,"37738",auto,NA,NA,NA,Liliopsida,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9099998474121,-23.6000003814697,"82",2019-11-21 10:02:47-03,IBt,SP,"44425",S,Plantae,NA,NA,Bromeliaceae,Tillandsia,linearis,Tillandsia linearis,Vell.,"Kuhlmann, M",s.n.,"1940","10","14",NA,Brasil,São Paulo,Cotia,-46.9099998474121,-23.6000003814697,NA,NA,SP053010,SP053010,"Gehrt, A",Cultivado na capital de SP.,NA,NA,"23869",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.8499984741211,-23.6399993896484,"83",2019-11-21 10:02:47-03,IBt,SP,"426109",S,Plantae,NA,NA,Bromeliaceae,Tillandsia,linearis,Tillandsia linearis,Vell.,"Shirasuna, RT; et al.","313","2007","09","20",NA,Brasil,São Paulo,Embu,-46.8499984741211,-23.6399993896484,NA,NA,NA,NA,"Wanderley, MGL","Lote 5 Rodoanel Mário Covas, Trecho Sul",NA,NA,"6851",auto,"2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.810001373291,-23.8299999237061,"84",2019-11-21 10:02:47-03,IBt,SP,"453345",S,Plantae,NA,NA,Bromeliaceae,Tillandsia,linearis,Tillandsia linearis,Vell.,"Wanderley, MGL; Simão Bianchini, R; Catharino, ELM",2089-A,"1993","09","03",NA,Brasil,São Paulo,Embu-Guaçu,-46.810001373291,-23.8299999237061,NA,NA,NA,NA,NA,NA,NA,NA,"15311",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.810001373291,-23.8299999237061,"85",2019-11-21 10:02:47-03,IBt,SP,"337822",S,Plantae,NA,NA,Bromeliaceae,Tillandsia,linearis,Tillandsia linearis,Vell.,"Simão Bianchini, R; et al.","765","1995","09","26",NA,Brasil,São Paulo,Embu-Guaçu,-46.810001373291,-23.8299999237061,NA,NA,SP053007,SP053007,"Wanderley, MGL",NA,NA,NA,"15311",auto,"2006","11","22",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.8400001525879,-23.7099990844727,"86",2019-11-21 10:02:47-03,IBt,SP,"44418",S,Plantae,NA,NA,Bromeliaceae,Tillandsia,linearis,Tillandsia linearis,Vell.,"Gehrt, G",s.n.,"1940","10","15",NA,Brasil,São Paulo,Itapecerica da Serra,-46.8400001525879,-23.7099990844727,NA,NA,SP053009,SP053009,"Gehrt, G",Paiol do Meio.,NA,NA,"12011",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
