X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,class,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,year,month,day,continentOcean,country,locality,occurrenceRemarks,barcode,imagecode,identifiedBy,stateProvince,relatedCatalogItem,typeStatus,recordNumber,fieldNumber,preparationType,decimalLongitude,decimalLatitude,individualCount,county,minimumElevationInMeters,yearIdentified,monthIdentified,coordinatePrecision,geoFlag,dayIdentified,verbatimLongitude,verbatimLatitude,phylum,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-51.2599983215332,-21.5599994659424,"38",2020-09-02 16:37:07-03,Cenargen,CEN,"25977",PreservedSpecimen,Plantae,NA,NA,Poaceae,Paspalum,arundinellum,Paspalum arundinellum,Mez,Wilson Hoehne,"1948","11","11",NA,Brasil,NA,Doação Herbário SPF 11.901,CEN00025977,CEN00025977 CEN00025977_1,R. C. Oliveira,SP,NA,NA,"2848",NA,Exsicatas,-51.2599983215332,-21.5599994659424,"1",PACAEMBU,NA,"1999",NA,"26864",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3199996948242,-23,"40",2020-11-12 17:02:36-03,UEL,FUEL,"10721",PreservedSpecimen,Plantae,NA,Poales,Poaceae,Paspalum,arundinellum,Paspalum arundinellum,Mez,"Assini Filho, JL","1992","10","18",NA,Brasil,Sítio São José,NA,NA,NA,"Longhi-Wagner, HM",São Paulo,NA,NA,s.n.,NA,NA,-49.3199996948242,-23,NA,Manduri,NA,"2008","10","17514",auto,"16",NA,NA,Tracheophyta,"35",São Paulo,SP,Sudeste
