X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,recordNumber,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,year,month,day,stateProvince,county,locality,decimalLongitude,decimalLatitude,imagecode,identifiedBy,yearIdentified,monthIdentified,coordinatePrecision,geoFlag,class,infraspecificEpithet,dayIdentified,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,individualCount,fieldNumber,typeStatus,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-44.9599990844727,-23.0699996948242,"11",2021-03-30 12:43:59-03,EAO,IAN,"35561",PreservedSpecimen,Plantae,Malvaceae,Pavonia,distinguenda,Pavonia distinguenda,"Viégas, AP; Kiehl, J","5805",Southern America,Brasil,NA,NA,Arbusto.,IAN035561,Dicotiledônea,NA,A.St.-Hil. & Naudin,"1940","10","03",São Paulo,Cunha,"Brejo, Sertão Cunha.",-44.9599990844727,-23.0699996948242,IAN035561 IAN035561_e,"Monteiro, H","1970","06","38855",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"220",2021-01-21 15:29:39-03,IBt,SP,"489756",S,Plantae,Malvaceae,Pavonia,distinguenda,Pavonia distinguenda,"Hashimoto, G",s.n.,NA,Brasil,NA,NA,NA,NA,NA,NA,A.St.-Hil. & Naudin,"1949","01","06",São Paulo,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
