X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,coordinatePrecision,geoFlag,individualCount,class,typeStatus,fieldNumber,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.724373,-23.565521,"2",2021-03-15 16:37:00-03,NY,NYBG,"414899",PreservedSpecimen,Plantae,Magnoliophyta,Asparagales,Orchidaceae,Cyrtopodium,lissochiloides,Cyrtopodium lissochiloides,Hoehne & Schltr.,F. C. Hoehne,A. Gehrt,"819","1917","10","30",South America,Brazil,São Paulo,Sao Paulo,"Butantan, Sao Paulo",-46.724373,-23.565521,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=668353' target='other'> <mi>dwc_moreinfo</mi></a>,NY00414899,NY00414899_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"10",2019-11-21 10:13:06-03,IBt,SP,"819",S,Plantae,NA,NA,Orchidaceae,Cyrtopodium,lissochiloides,Cyrtopodium lissochiloides,Hoehne & Schltr.,"Hoehne, FC","Hoehne, FC",s.n.,"1917","10","30",NA,Brasil,São Paulo,São Paulo,Butantã,-46.6300010681152,-23.5400009155273,NA,Brejos. Flores amarelas,SP002032,SP002032,"1921",NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,Isotype,NA,NA,"35",São Paulo,SP,Sudeste
