X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,occurrenceRemarks,barcode,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,imagecode,coordinatePrecision,geoFlag,preparationType,class,order,minimumElevationInMeters,individualCount,maximumElevationInMeters,typeStatus,fieldNumber,dayIdentified,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.8400001525879,-23.5300006866455,"17",2021-03-15 18:27:02-03,USP,SPF,"99198",PreservedSpecimen,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,"Caruzo, MBR","2001","12","Simão-Bianchini, R","513","1994","09","05",NA,Brasil,São Paulo,"Estação Biológica de Boracéia, Estrada para barragem da SABESP no Rio Guaratuba.","Arvoreta, 2.5 m alt. Folha discolores, flores masculinas e femininas verdes.",SPF00099198,Salesópolis,-45.8400001525879,-23.5300006866455,NA,NA,SPF00099198,"18032",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"18",2021-03-15 18:27:02-03,USP,SPF,"64975",PreservedSpecimen,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,NA,NA,NA,"Hoehne, FC",s.n.,"1918","12","05",NA,Brasil,São Paulo,Alto da Serra,"Árvore da mata, de 2-4 m de alt.",SPF00064975,Santo André,-46.5299987792969,-23.6599998474121,NA,NA,NA,"27258",auto,NA,NA,NA,NA,NA,NA,isotype,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49,-22,"19",2019-07-09 13:23:03-03,F,FMNH-SEEDPLANTS,V0192619F,PreservedSpecimen,Plantae,Spermatophyta,Euphorbiaceae,Croton,priscus,Croton priscus,NA,RRC ID Flag,NA,NA,A. Custodio Filho,"1720","1983","10","21",South America,Brazil,São Paulo,NA,NA,V0192619F,NA,-49,-22,NA,NA,V0192619F_01 V0192619F_02,NA,NA,NA,Dicotyledoneae,NA,NA,NA,NA,NA,"1720",NA,NA,"35",São Paulo,SP,Sudeste
-47.067583,-22.862639,"20",2020-01-27 18:24:44-03,IAC,IAC,"46970",S,Plantae,NA,Euphorbiaceae-3.Crotonoideae,Croton,priscus,Croton priscus,Croizat,L.C. Bernacci et al.,"2006","04","L.C. Bernacci; M.D. Soares-Scott; G.S. Pasquali & J.F. Benedito","4161","2006","04","28",NA,Brasil,São Paulo,"IAC, Fazenda Santa Elisa, mata.",Vegetativo na ocasião.,NA,Campinas,-47.067583,-22.862639,"-47.067583","-22.862639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28",NA,"35",São Paulo,SP,Sudeste
-45.8400001525879,-23.5300006866455,"21",2021-03-04 15:44:37-03,IF,SPSF,"12543",PreservedSpecimen,Plantae,Magnoliophyta,Euphorbiaceae,Croton,priscus,Croton priscus,NA,NA,NA,NA,G.A.D.C. Franco & A.Custodio Filho,"703","1988","09","28",América do Sul,Brasil,SP,"Reserva Florestal, Guaratuba","COLETA: XLS: SPSFAntigo;",NA,Salesópolis,-45.8400001525879,-23.5300006866455,NA,NA,NA,"18032",auto,NA,Magnoliopsida,Malpighiales,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.8400001525879,-23.5300006866455,"27",2021-03-04 15:44:37-03,IF,SPSF,"11866",PreservedSpecimen,Plantae,Magnoliophyta,Euphorbiaceae,Croton,priscus,Croton priscus,NA,NA,NA,NA,G.A.D.C. Franco & A.Custodio Filho,"471","1988","02","04",América do Sul,Brasil,SP,R.F.Guaratuba,"COLETA: XLS: SPSFAntigo;",NA,Salesópolis,-45.8400001525879,-23.5300006866455,NA,NA,NA,"18032",auto,NA,Magnoliopsida,Malpighiales,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.3,-23.75,"28",2019-11-21 10:04:04-03,IBt,SP,"178651",S,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,"Kirizawa, M","1986","02","Rosa, NA; Murça Pires, J","3894","1980","11","26",NA,Brasil,São Paulo,E.B. do Alto da Serra de Paranapiacaba,"Árvore de 7m alt., 30cm de circ., flor verde",NA,Santo André,-45.3,-23.75,"-45.3","-23.75",NA,NA,NA,NA,NA,NA,"750",NA,"890",NA,NA,"28",NA,"35",São Paulo,SP,Sudeste
-45.866667,-23.633333,"29",2019-11-21 10:04:04-03,IBt,SP,"194733",S,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,"Cordeiro, I",NA,NA,"Custodio Filho, A","1715","1983","10","21",NA,Brasil,São Paulo,Estação Biológica de Boracéia,NA,NA,Biritiba-Mirim,-45.866667,-23.633333,"-45.866667","-23.633333",NA,NA,NA,NA,NA,NA,"890",NA,"950",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.866667,-23.633333,"30",2019-11-21 10:04:04-03,IBt,SP,"194742",S,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,"Cordeiro, I",NA,NA,"Custodio Filho, A","1720","1983","10","21",NA,Brasil,São Paulo,Estação Biológica de Boracéia,NA,NA,Biritiba-Mirim,-45.866667,-23.633333,"-45.866667","-23.633333",NA,NA,NA,NA,NA,NA,"890",NA,"950",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.866667,-23.633333,"31",2019-11-21 10:04:04-03,IBt,SP,"195683",S,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,"Custodio Filho, A",NA,NA,"Custodio Filho, A","1862","1983","11","14",NA,Brasil,São Paulo,Estação Biológica de Boracéia,NA,NA,Biritiba-Mirim,-45.866667,-23.633333,"-45.866667","-23.633333",NA,NA,NA,NA,NA,NA,"890",NA,"950",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.333333,-23.783333,"32",2019-11-21 10:04:04-03,IBt,SP,"175198",S,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,"Sugiyama, M","1986","03","Kirizawa, M; Lopes, EA; Custodio Filho, A","579","1981","11","20",NA,Brasil,São Paulo,E.B. do Alto da Serra de Paranapiacaba,"Árvore +-5,0m alt., flores masculinas verde amareladas",NA,Santo André,-46.333333,-23.783333,"-46.333333","-23.783333",NA,NA,NA,NA,NA,NA,"850",NA,"850",NA,NA,"25",NA,"35",São Paulo,SP,Sudeste
-46.316667,-23.783333,"33",2019-11-21 10:04:04-03,IBt,SP,"185113",S,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,"Sugiyama, M","1985","10","Custodio Filho, A; Carra, M","1052","1982","11","30",NA,Brasil,São Paulo,E.B. do Alto da Serra de Paranapiacaba,"Árvore 10m., frutos",NA,Santo André,-46.316667,-23.783333,"-46.316667","-23.783333",NA,NA,NA,NA,NA,NA,"750",NA,"900",NA,NA,"25",NA,"35",São Paulo,SP,Sudeste
