X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,continentOcean,country,stateProvince,locality,preparationType,occurrenceRemarks,barcode,imagecode,identifiedBy,day,county,decimalLongitude,decimalLatitude,coordinatePrecision,geoFlag,class,yearIdentified,monthIdentified,fieldNumber,individualCount,typeStatus,dayIdentified,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.63,-23.5403,"3",2021-03-15 16:37:00-03,NY,NYBG,"797776",PreservedSpecimen,Plantae,Magnoliophyta,Asterales,Asteraceae,Gochnatia,rotundifolia,Gochnatia rotundifolia,Less.,W. Hoehne,NA,"1942","01",South America,Brazil,São Paulo,Pr. Sao Miguel,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325848' target='other'> <mi>dwc_moreinfo</mi></a>,NY00797776,NY00797776_01,W. Hoehne,"14",Sao Paulo,-46.63,-23.5403,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"5",2019-10-09 11:10:30-03,UFBA,ALCB,"039807",PreservedSpecimen,Plantae,Dicotyledon,NA,Asteraceae,Gochnatia,rotundifolia,Gochnatia rotundifolia,Less.,"Hoehne, W",s/n,"1942","01",Southern America,Brasil,São Paulo,Pr. São Miguel,NA,NA,NA,NA,"Hoehne, W","14",São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"7",2020-11-04 11:01:41-03,ESALQ,ESA,"39919",PreservedSpecimen,Plantae,Magnoliophyta,NA,Asteraceae,Gochnatia,rotundifolia,Gochnatia rotundifolia,Less.,"Hoehne, W.",NA,"1942","01",NA,Brasil,São Paulo,NA,NA,NA,ESA039919,ESA039919,"Hoehne, W.","14",São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"9",2019-07-26 11:39:27-03,IPA,IPA,"63616",S,Plantae,Plantae,NA,Asteraceae,Gochnatia,rotundifolia,Gochnatia rotundifolia,Less.,"Hoehne, W.","63616","1942","01",Southern America,Brasil,São Paulo,"Pr. São Miguel, campo seco.",NA,NA,IPA0063616,IPA0063616,"Hoehne, W.","14",São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"10",2021-03-01 16:26:12-03,UNICAMP,UEC,"177439",S,Plantae,Magnoliopsida,NA,Asteraceae,Vickia,rotundifolia,Vickia rotundifolia,(Less.) Roque & G.Sancho,"Pickel, DBJ",s.n.,"1942","02",NA,Brazil,São Paulo,"Bairro de Vila Prudente, campo alto.",NA,"Arbusto até 50 cm altura; inflorescências brancas.",UEC125672,UEC125672,"Roque, N","02",São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,"2020","08",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"11",2021-03-01 16:26:12-03,UNICAMP,UEC,"181746",S,Plantae,Magnoliopsida,NA,Asteraceae,Vickia,rotundifolia,Vickia rotundifolia,(Less.) Roque & G.Sancho,"Joly, AB",s.n.,"1947","11",NA,Brazil,São Paulo,Campos de Vila Esperança (Penha),NA,Flores brancas,UEC036318,UEC036318,"Roque, N","22",São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,"2020","08",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"12",2021-03-01 16:26:12-03,UNICAMP,UEC,"132032",S,Plantae,Magnoliopsida,NA,Asteraceae,Vickia,rotundifolia,Vickia rotundifolia,(Less.) Roque & G.Sancho,"Handro, O","157","1950","01",NA,Brazil,São Paulo,Jabaquara.,NA,"Arbusto do campo seco. Folhas novas vilosas, flores alvas.",UEC065870,UEC065870,"Roque, N","12",São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,"2020","08",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"13",2020-11-06 13:19:16-03,UNICAMP,UEC,"86794",S,Plantae,Magnoliopsida,NA,Asteraceae,Vickia,rotundifolia,Vickia rotundifolia,(Less.) Roque & G.Sancho,"Hoehne, W","10964","1942","01",NA,Brazil,São Paulo,Pr. São Miguel.,NA,NA,UEC084468,UEC084468,"Roque, N","14",São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,"2020","08",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"15",2020-12-21 16:16:00-03,MBM,MBM,"201149",PreservedSpecimen,Plantae,NA,NA,Asteraceae,Gochnatia,rotundifolia,Gochnatia rotundifolia,Less.,"Hoehne, W.",s.n.,"1942","01",Southern America,Brazil,São Paulo,Praça São Miguel,NA,NA,MBM201149,MBM201149,"Hoehne, W.","14",São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"27",2020-12-11 11:32:58-03,UFMG,BHCB,"36801",PreservedSpecimen,Plantae,Dicotyledon,NA,Asteraceae,Gochnatia,rotundifolia,Gochnatia rotundifolia,Less.,"Hoehne, W",s.n.,"1942","01",Southern America,Brasil,São Paulo,Pr. São Miguel.,NA,Campo seco.,NA,NA,NA,"14",São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"34",2020-08-26 09:32:16-03,UEFS,HUEFS,"25547",PreservedSpecimen,Plantae,Angiospermae,Asterales,Asteraceae,Vickia,rotundifolia,Vickia rotundifolia,(Less.) Roque & G.Sancho,"Hoehne, W.",SPF10964,"1942","01",NA,Brasil,São Paulo,Praça São Miguel.,NA,Seco.,HUEFS0025547,HUEFS0025547 HUEFS0025547_e1,N.Roque,"14",São Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,Asteranae,"2020","08",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"36",2020-07-23 11:59:06-03,CEPLAC,CEPEC,"79504",PreservedSpecimen,Plantae,NA,NA,Asteraceae,Gochnatia,rotundifolia,Gochnatia rotundifolia,NA,W. Hoehne,NA,"1942","01",NA,Brasil,São Paulo,Praça São Pedro.,NA,NA,NA,NA,W. Hoehne,"14",SÃO PAULO,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
