X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,coordinatePrecision,occurrenceRemarks,barcode,imagecode,geoFlag,verbatimLongitude,verbatimLatitude,order,minimumElevationInMeters,maximumElevationInMeters,continentOcean,individualCount,class,typeStatus,fieldNumber,sex,preparationType,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-49.6345,-23.231639,"2",2021-03-01 16:39:42-03,UNICAMP,UEC,"25581",S,Plantae,Magnoliopsida,Rubiaceae,Manettia,tweedieana,Manettia tweedieana,K.Schum.,"Macias, L","1999","09","23","Tamashiro, JY; Rodrigues, RR; Goldenberg, R; Ivanauskas, NM; Belinello, R; Galvão, JC","1276","1995","06","14",Brazil,São Paulo,Timburi,"Fazenda Domiciana,",-49.6345,-23.231639,NA,"Liana, flores vermelhas.",UEC110397,UEC110397,NA,"-49.6345","-23.231639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.6345,-23.231639,"3",2021-03-01 16:39:42-03,UNICAMP,UEC,"71874",S,Plantae,Magnoliopsida,Rubiaceae,Manettia,tweedieana,Manettia tweedieana,K.Schum.,"Macias, L","1999","09","23","Tamashiro, JY; Rodrigues, RR; Goldenberg, R; Ivanauskas, NM; Belinello, R; Galvão, JC","1276","1995","06","14",Brazil,São Paulo,Timburi,"Fazenda Domiciana,",-49.6345,-23.231639,NA,"Liana, flores vermelhas.",UEC046111,UEC046111,NA,"-49.6345","-23.231639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.63445,-23.231414,"52",2019-11-21 10:18:05-03,IBt,SP,"289348",S,Plantae,NA,Rubiaceae,Manettia,tweedieana,Manettia tweedieana,K.Schum.,"Macias, L","2001","08","15","Tamashiro, JY; et al.","1276","1995","06","14",Brasil,São Paulo,Timburi,Fazenda Domiciana,-49.63445,-23.231414,NA,NA,NA,NA,NA,"-49.63445","-23.231414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
