X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,occurrenceRemarks,barcode,imagecode,minimumElevationInMeters,maximumElevationInMeters,yearIdentified,monthIdentified,dayIdentified,typeStatus,continentOcean,preparationType,previousCatalogNumber,phylum,order,infraspecificEpithet,coordinatePrecision,geoFlag,class,relatedCatalogItem,relationshipType,individualCount,eventTime,fieldNumber,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.621883,-23.654505,"84",2021-03-15 16:37:00-03,NY,NYBG,"1522783",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,guianensis,Myrcia guianensis,(Aubl.) DC.,M. L. Kawasaki,O. Handro,s.n.,"1950","09",NA,Brazil,São Paulo,NA,"Capital, Sao Paulo. Nativa no Parque do Estado e Jardim Botanico",-46.621883,-23.654505,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1777394' target='other'> <mi>dwc_moreinfo</mi></a>,NY01522783,NY01522783_01,NA,NA,NA,NA,NA,NA,South America,sheet,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.42,-23.45,"168",2021-03-15 16:37:00-03,NY,NYBG,"1522741",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,guianensis,Myrcia guianensis,(Aubl.) DC.,B. S. Amorim,J. A. Ratter,R.4818,"1983","11","10",Brazil,São Paulo,Angatuba,Floresta de Angatuba. Instituto Florestal de SP,-48.42,-23.45,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1776755' target='other'> <mi>dwc_moreinfo</mi></a>,NY01522741,NY01522741_01,NA,NA,NA,NA,NA,NA,South America,sheet,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.164784,-22.242395,"199",2021-03-15 16:37:00-03,NY,NYBG,"687440",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,guianensis,Myrcia guianensis,(Aubl.) DC.,NA,W. Mantovani,"945","1980","09","15",Brazil,São Paulo,Moji-Guaçu,"Martinho Prado, Reserva Biologica da Fazenda Campininha",-47.164784,-22.242395,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=875192' target='other'> <mi>dwc_moreinfo</mi></a>,NY00687440,NY00687440_01,NA,NA,NA,NA,NA,NA,South America,sheet,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.0497,-23.5903,"225",2021-03-15 16:37:00-03,NY,NYBG,"1144811",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,guianensis,Myrcia guianensis,(Aubl.) DC.,B. S. Amorim,B. Maguire,"44544","1959","11","27",Brazil,São Paulo,Itapetininga,10 miles south of Itapetininga on road to Sao Paulo,-48.0497,-23.5903,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299292' target='other'> <mi>dwc_moreinfo</mi></a>,NY01144811,NY01144811_01,"600","600",NA,NA,NA,NA,South America,sheet,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.47,-20.25,"233",2021-03-15 16:37:00-03,NY,NYBG,"1181642",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,guianensis,Myrcia guianensis,(Aubl.) DC.,NA,J. Tannus,"778","2004","11","18",Brazil,São Paulo,Pedregulho,Condominio Estreito,-47.47,-20.25,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386913' target='other'> <mi>dwc_moreinfo</mi></a>,NY01181642,NY01181642_01,NA,NA,NA,NA,NA,NA,South America,sheet,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8197,-23.64,"246",2021-03-15 16:37:00-03,NY,NYBG,"1522786",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,guianensis,Myrcia guianensis,(Aubl.) DC.,M. L. Kawasaki,T. Yano,"9","1977","10","30",Brazil,São Paulo,Sarapuí,NA,-47.8197,-23.64,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1777397' target='other'> <mi>dwc_moreinfo</mi></a>,NY01522786,NY01522786_01,NA,NA,NA,NA,NA,NA,South America,sheet,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.59,-22.73,"248",2021-03-15 16:37:00-03,NY,NYBG,"1144813",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,guianensis,Myrcia guianensis,(Aubl.) DC.,B. S. Amorim,Collector unspecified,s.n.,"1949","11","23",Brazil,São Paulo,Campos do Jordão,Umuarama.,-45.59,-22.73,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299294' target='other'> <mi>dwc_moreinfo</mi></a>,NY01144813,NY01144813_01,NA,NA,NA,NA,NA,NA,South America,sheet,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9239,-22.2161,"253",2021-03-15 16:37:00-03,NY,NYBG,"1181597",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,guianensis,Myrcia guianensis,(Aubl.) DC.,NA,Disciplina Princípios e Métodos em Taxonomia Vegetal,"180","2003","09","19",Brazil,São Paulo,Brotas,Estação Ecologica de Itirapina.,-47.9239,-22.2161,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386827' target='other'> <mi>dwc_moreinfo</mi></a>,NY01181597,NY01181597_01,NA,NA,NA,NA,NA,NA,South America,sheet,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.88,-23.1703,"283",2021-03-15 16:37:00-03,NY,NYBG,"616155",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,guianensis,Myrcia guianensis,(Aubl.) DC.,B. K. Holst,I. Mimura,"78","1961","11","14",Brazil,São Paulo,Sao José dos Campos,"Uma área disjuntiva de cerrado, de várias centenas de km2, rodeada antigamente por mata. Parte superior da encosta leste do vale do Córrego da Ressaca, 6-6.5 km ao SW (ao longo da Rodovia Pres. Dutra) da saída para Sao José dos Campos, 100-500 m. ao lado SE da rodovia",-45.88,-23.1703,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98253' target='other'> <mi>dwc_moreinfo</mi></a>,NY00616155,NY00616155_01,"600","600",NA,NA,NA,NA,South America,sheet,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.9599990844727,-23.0699996948242,"305",2021-03-15 16:37:00-03,NY,NYBG,"1522767",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,guianensis,Myrcia guianensis,(Aubl.) DC.,M. L. Kawasaki,A. Custodio Filho,"266","1980","07","07",Brazil,São Paulo,Cunha,Reserva Florestal.,-44.9599990844727,-23.0699996948242,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1776781' target='other'> <mi>dwc_moreinfo</mi></a>,NY01522767,NY01522767_01,"1000","1000",NA,NA,NA,NA,South America,sheet,NA,Magnoliophyta,Myrtales,NA,"38855",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
