X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,typeStatus,recordedBy,fieldNumber,country,locality,preparationType,occurrenceRemarks,barcode,imagecode,kingdom,recordNumber,continentOcean,stateProvince,county,decimalLongitude,decimalLatitude,coordinatePrecision,individualCount,geoFlag,phylum,class,year,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.8800010681152,-23.1700000762939,"4",2012-08-17 09:41:00-03,MO,MOBOT,"100510019",PreservedSpecimen,Lamiaceae,Hyptis,lobata,Hyptis lobata,A. St.-Hil. ex Benth.,NA,Holotype,A. Saint-Hilaire,NA,Brazil,[São Jozé],NA,NA,NA,NA,Plantae,Saint-Hilaire 664,South America,São Paulo,São José dos Campos,-45.8800010681152,-23.1700000762939,"39297","1",auto,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49,-22,"6",2019-09-05 17:48:10-03,F,FMNH-SEEDPLANTS,V0061012F,PreservedSpecimen,Lamiaceae,Hyptis,lobata,Hyptis lobata,NA,NA,Isotype,A. Saint-Hilaire,NA,Brazil,NA,NA,NA,V0061012F,V0061012F_01,Plantae,"D, 664",South America,São Paulo,NA,-49,-22,NA,NA,NA,Spermatophyta,Dicotyledoneae,"1816","35",São Paulo,SP,Sudeste
