X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,continentOcean,country,locality,minimumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,stateProvince,county,decimalLongitude,decimalLatitude,maximumElevationInMeters,identifiedBy,infraspecificEpithet,typeStatus,yearIdentified,coordinatePrecision,geoFlag,class,relatedCatalogItem,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,fieldNumber,individualCount,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.79,-21.96,"5",2021-03-15 16:37:00-03,NY,NYBG,"559697",PreservedSpecimen,Plantae,Magnoliophyta,Piperales,Piperaceae,Peperomia,quadrifolia,Peperomia quadrifolia,(L.) Kunth,C. W. Mosén,"1654","1874","04","01",South America,Brazil,Serra de Caracol,NA,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=526498' target='other'> <mi>dwc_moreinfo</mi></a>,NY00559697,NY00559697_01 NY00559697_02,São Paulo,Sao Joao da Boa Vista,-46.79,-21.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"67",2021-03-01 16:37:49-03,UNICAMP,UEC,"12753",S,Plantae,Magnoliopsida,NA,Piperaceae,Peperomia,quadrifolia,Peperomia quadrifolia,(L.) Kunth,"Davis, PH; et al.","2970","1976","09","28",NA,Brazil,"Estrada desde Monteiro Lobato, perto do Hotel Toriba.","1700",NA,"Epífita. Inflorescências verdes.; beira da mata de araucária",UEC149538,UEC149538,São Paulo,Campos do Jordão,-45.5900001525879,-22.7299995422363,"1700","Carvalho-Silva, M",NA,NA,"2008","21048",auto,NA,NA,"10",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"68",2021-03-01 16:37:49-03,UNICAMP,UEC,"12722",S,Plantae,Magnoliopsida,NA,Piperaceae,Peperomia,quadrifolia,Peperomia quadrifolia,(L.) Kunth,"Davis, PH","2988","1976","09","29",NA,Brazil,"Reserva do Instituto Florestal. S. José dos Alpes, ao lado de Guaratinguetá.",NA,NA,Epífita. Inflorescência verde.,UEC149536,UEC149536,São Paulo,Campos do Jordão,-45.5900001525879,-22.7299995422363,NA,"Carvalho-Silva, M",NA,NA,"2008","21048",auto,NA,NA,"10",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.78194444,-23.43916667,"208",2014-09-23 11:02:07-03,G,G-DC,G00320329,S,Plantae,NA,NA,Piperaceae,Peperomia,quadrifolia,Peperomia quadrifolia,(L.) Kunth,"Usteri, A.","1","1907","05","05",AMERIQUE DU SUD,Brazil,NA,NA,NA,Coordinate uncertainty: Precision undefined Image URL: No picture available on the institution's web site,G00320329,NA,São Paulo,Jaraguá,-46.78194444,-23.43916667,NA,CAT.HERB.PRODR.,NA,NA,"2012",NA,NA,NA,NA,"01","01","-46.78194444","-23.43916667",NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.65972222,-22.40444444,"209",2014-09-23 11:02:07-03,G,G-DC,G00320328,S,Plantae,NA,NA,Piperaceae,Peperomia,quadrifolia,Peperomia quadrifolia,(L.) Kunth,"Usteri, A.","2","1907","04","26",AMERIQUE DU SUD,Brazil,NA,NA,NA,Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site,G00320328,NA,São Paulo,NA,-48.65972222,-22.40444444,NA,CAT.HERB.PRODR.,NA,NA,"2012",NA,NA,NA,NA,"01","01","-48.65972222","-22.40444444",NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.78194444,-23.43916667,"210",2014-09-23 11:02:07-03,G,G-DC,G00320327,S,Plantae,NA,NA,Piperaceae,Peperomia,quadrifolia,Peperomia quadrifolia,(L.) Kunth,"Usteri, A.","4","1907","05","05",AMERIQUE DU SUD,Brazil,NA,NA,NA,Coordinate uncertainty: Precision undefined Image URL: No picture available on the institution's web site,G00320327,NA,São Paulo,Jaraguá,-46.78194444,-23.43916667,NA,CAT.HERB.PRODR.,NA,NA,"2012",NA,NA,NA,NA,"01","01","-46.78194444","-23.43916667",NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"214",2019-11-21 10:14:15-03,IBt,SP,"155817",S,Plantae,NA,NA,Piperaceae,Peperomia,quadrifolia,Peperomia quadrifolia,(L.) Kunth,"Mattos, J","15906","1974","10","25",NA,Brasil,"Parque Estadual de Campos do Jordão, Fazenda da Gaurda. Pedra Chroma.",NA,NA,NA,NA,NA,São Paulo,Campos do Jordão,-45.5900001525879,-22.7299995422363,NA,"Callejas, R",NA,NA,"1984","21048",auto,NA,NA,"01","06",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9421997070312,-22.372200012207,"215",2019-11-21 10:14:15-03,IBt,SP,"12574",S,Plantae,NA,NA,Piperaceae,Peperomia,quadrifolia,Peperomia quadrifolia,(L.) Kunth,"Loefgren, A",CGG1266,"1889","07","09",NA,Brasil,"Em tronco velho, mata virgem.",NA,NA,"Herbacea, epifita, espiga terminal e axilar.",SP007619,SP007619,São Paulo,Mogi Guaçu,-46.9421997070312,-22.372200012207,NA,"Yuncker, TG",NA,NA,"1960","39309",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.4599990844727,-22.9200000762939,"216",2019-11-21 10:14:15-03,IBt,SP,"356704",S,Plantae,NA,NA,Piperaceae,Peperomia,quadrifolia,Peperomia quadrifolia,(L.) Kunth,"Nicolau, SA; Braz, SA; et al.","2500","2000","06","29",NA,Brasil,"Bairro do Ribeirão Grande, Fazenda São Sebastião do Rio Grande, trilha dos romeiros, sentido Campos do Jordão.",NA,NA,NA,NA,NA,São Paulo,Pindamonhangaba,-45.4599990844727,-22.9200000762939,NA,"Nicolau, SA",NA,NA,NA,"24176",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.5699996948242,-22.6399993896484,"217",2019-11-21 10:14:15-03,IBt,SP,"288827",S,Plantae,NA,NA,Piperaceae,Peperomia,quadrifolia,Peperomia quadrifolia,(L.) Kunth,"Rossi, L; Catharino, ELM","1578","1994","07","18",NA,Brasil,"Parque Nacional da Bocaina, Sítio do Sr. Sebastião Arantes.",NA,NA,NA,NA,NA,São Paulo,São José do Barreiro,-44.5699996948242,-22.6399993896484,NA,NA,NA,NA,"1998","30784",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
