X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,minimumElevationInMeters,maximumElevationInMeters,typeStatus,identifiedBy,yearIdentified,monthIdentified,dayIdentified,coordinatePrecision,geoFlag,class,verbatimLongitude,verbatimLatitude,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-44.3423,-22.713676,"1",2021-03-15 16:37:00-03,NY,NYBG,"558907",PreservedSpecimen,Plantae,Magnoliophyta,Piperales,Piperaceae,Peperomia,clivicola,Peperomia clivicola,Yunck.,A. C. Brade,"15302","1936","05","21",South America,Brazil,São Paulo,Bananal,"Bananal; Serra da Bocaina",-44.3423,-22.713676,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238618' target='other'> <mi>dwc_moreinfo</mi></a>,NY00558907,NY00558907_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5297,-23.66,"3",2021-03-15 16:37:00-03,NY,NYBG,"558909",PreservedSpecimen,Plantae,Magnoliophyta,Piperales,Piperaceae,Peperomia,clivicola,Peperomia clivicola,Yunck.,F. C. Hoehne,s.n.,"1934","09","12",South America,Brazil,São Paulo,Santo André,"Alto da Serra, Estacao Biologica",-46.5297,-23.66,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238620' target='other'> <mi>dwc_moreinfo</mi></a>,NY00558909,NY00558909_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.3423,-22.713676,"4",2021-03-15 16:37:00-03,NY,NYBG,"1085703",PreservedSpecimen,Plantae,Magnoliophyta,Piperales,Piperaceae,Peperomia,clivicola,Peperomia clivicola,Yunck.,A. C. Brade,"15302","1936","05","21",South America,Brazil,São Paulo,Bananal,"Bananal. Sertão do Rio Vermelho, Serra da Bocaina",-44.3423,-22.713676,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250409' target='other'> <mi>dwc_moreinfo</mi></a>,NY01085703,NY01085703_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"33",2020-09-02 16:35:43-03,Cenargen,CEN,"45024",PreservedSpecimen,Plantae,NA,NA,Piperaceae,Peperomia,clivicola,Peperomia clivicola,Yuncker,Osmar dos Santos Ribas,"2724","1998","09","08",NA,Brasil,SP,UBATUBA,Morro Corcovado.,-45.0699996948242,-23.4300003051758,Exsicatas,Espiga creme. Doação da Prefeitura Municipal de Curitiba - Museu Botânico Municipal.,CEN00045024,CEN00045024,NA,NA,NA,M. Carvalho-Silva,"2002","09",NA,"34265",auto,NA,NA,NA,"1","35",São Paulo,SP,Sudeste
-45.866667,-23.633333,"34",2019-11-13 11:28:17-03,USP,SPF,"163139",PreservedSpecimen,Plantae,NA,NA,Piperaceae,Peperomia,clivicola,Peperomia clivicola,Yunck.,"Custódio-Filho, A","2404","1984","05","10",NA,Brasil,São Paulo,Biritiba-Mirim,Estação Biológica de Boracéia,-45.866667,-23.633333,NA,"23°38' - 23°39'S, 45°52' - 45°53'W.",SPF00163139,SPF00163139,"890","950",NA,"Simão-Bianchini, R",NA,NA,NA,NA,NA,NA,"-45.866667","-23.633333",NA,"35",São Paulo,SP,Sudeste
-45,-23,"41",2019-11-21 10:14:14-03,IBt,SP,"203944",S,Plantae,NA,NA,Piperaceae,Peperomia,clivicola,Peperomia clivicola,Yunck.,"Custodio Filho, A","2404","1984","05","10",NA,Brasil,São Paulo,Biritiba-Mirim,"Estação Biológica de Boracéia, 23°38'-23°39' S, 45°52'-45°53' W.",-45,-23,NA,NA,NA,NA,"890","950",NA,"Simão Bianchini, R",NA,NA,NA,NA,NA,NA,"-45","-23",NA,"35",São Paulo,SP,Sudeste
-45,-23,"42",2019-11-21 10:14:14-03,IBt,SP,"197589",S,Plantae,NA,NA,Piperaceae,Peperomia,clivicola,Peperomia clivicola,Yunck.,"Custodio Filho, A","1983","1983","07","08",NA,Brasil,São Paulo,Biritiba-Mirim,"Estação Biológica de Boracéia, 23°38'-23°49' S, 45°52'-45°53' W.",-45,-23,NA,NA,NA,NA,"890","950",NA,"Simão Bianchini, R","1998",NA,NA,NA,NA,NA,"-45","-23",NA,"35",São Paulo,SP,Sudeste
-45.4099998474121,-23.6200008392334,"44",2019-11-21 10:14:14-03,IBt,SP,"350701",S,Plantae,NA,NA,Piperaceae,Peperomia,clivicola,Peperomia clivicola,Yunck.,"Simão Bianchini, R; Bianchini, S; Rosário, RPG","1465","2000","09","10",NA,Brasil,São Paulo,Caraguatatuba,"Parque Estadual da Serra do Mar, Núcleo Caraguatatuba. Trilha da Lagoa",-45.4099998474121,-23.6200008392334,NA,NA,NA,NA,NA,NA,NA,"Sugiyama, M","2000","11",NA,"30093",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"45",2019-11-21 10:14:14-03,IBt,SP,"32049",S,Plantae,NA,NA,Piperaceae,Peperomia,clivicola,Peperomia clivicola,Yunck.,"Hoehne, FC",s.n.,"1934","09","12",NA,Brasil,São Paulo,Santo André,"E.B. do Alto da Serra de Paranapiacaba, Alto da Serra",-46.5299987792969,-23.6599998474121,NA,NA,NA,NA,NA,NA,NA,"Yuncker, TG","1961",NA,NA,"27258",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.4099998474121,-23.7600002288818,"46",2019-11-21 10:14:14-03,IBt,SP,"129961",S,Plantae,NA,NA,Piperaceae,Peperomia,clivicola,Peperomia clivicola,Yunck.,"Mattos, J; Mattos, N","15679","1972","12","27",NA,Brasil,São Paulo,São Sebastião,NA,-45.4099998474121,-23.7600002288818,NA,NA,NA,NA,NA,NA,NA,"Handro, O","1972",NA,NA,"41977",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
