X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,year,month,day,country,stateProvince,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,barcode,imagecode,recordNumber,locality,occurrenceRemarks,infraspecificEpithet,coordinatePrecision,geoFlag,phylum,order,continentOcean,preparationType,typeStatus,class,relatedCatalogItem,relationshipType,individualCount,fieldNumber,previousCatalogNumber,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.724373,-23.565521,"28",2021-03-15 16:37:00-03,NY,NYBG,"521938",PreservedSpecimen,Plantae,Melastomataceae,Miconia,cinerascens,Miconia cinerascens cinerascens,NA,NA,NA,NA,NA,F. C. Hoehne,"1919","03","17",Brazil,São Paulo,Sao Paulo,-46.724373,-23.565521,NA,NA,NA,NA,NY00521938,NY00521938_01,"3079",Butantan,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589717' target='other'> <mi>dwc_moreinfo</mi></a>,cinerascens,NA,NA,Magnoliophyta,Myrtales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.88,-24.71,"46",2021-03-15 16:37:00-03,NY,NYBG,"685416",PreservedSpecimen,Plantae,Melastomataceae,Miconia,cinerascens,Miconia cinerascens robusta,Wurdack,R. Goldenberg,NA,NA,NA,R. Goldenberg,"2005","10","21",Brazil,São Paulo,Pariquera-Açu,-47.88,-24.71,NA,NA,NA,NA,NY00685416,NY00685416_01,"782",Estação Experimental do IAC,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=894818' target='other'> <mi>dwc_moreinfo</mi></a>,robusta,NA,NA,Magnoliophyta,Myrtales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.715991,-23.599038,"72",2021-03-15 16:37:00-03,NY,NYBG,"521932",PreservedSpecimen,Plantae,Melastomataceae,Miconia,cinerascens,Miconia cinerascens cinerascens,NA,NA,NA,NA,NA,P. A. Munz,"1939","01","03",Brazil,São Paulo,Sao Paulo,-46.715991,-23.599038,NA,NA,NA,NA,NY00521932,NY00521932_01,"15401",Morunby,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589718' target='other'> <mi>dwc_moreinfo</mi></a>,cinerascens,NA,NA,Magnoliophyta,Myrtales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.4597,-22.9203,"103",2021-03-15 16:37:00-03,NY,NYBG,"02591392",PreservedSpecimen,Plantae,Melastomataceae,Miconia,cinerascens,Miconia cinerascens,Miq.,R. Goldenberg,NA,NA,NA,S. A. Nicolau,"1995","12","20",Brazil,São Paulo,Pindamonhangaba,-45.4597,-22.9203,NA,NA,"1940","1940",NY02591392,NY02591392_01,"1021","São Jose dos Alpes, talhão 12.",<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2855915' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,NA,Magnoliophyta,Myrtales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.622423,-22.796043,"107",2021-03-15 16:37:00-03,NY,NYBG,"521934",PreservedSpecimen,Plantae,Melastomataceae,Miconia,cinerascens,Miconia cinerascens cinerascens,NA,NA,NA,NA,NA,F. Segadas-Vianna,"1951","03","09",Brazil,São Paulo,Sao José do Barreiro,-44.622423,-22.796043,NA,NA,"1600","1600",NY00521934,NY00521934_01,"2880",Barreiro Co. Serra da Bocaina. Lageado Farm,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589712' target='other'> <mi>dwc_moreinfo</mi></a>,cinerascens,NA,NA,Magnoliophyta,Myrtales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.88,-24.71,"111",2021-03-15 16:37:00-03,NY,NYBG,"685417",PreservedSpecimen,Plantae,Melastomataceae,Miconia,cinerascens,Miconia cinerascens robusta,Wurdack,R. Goldenberg,NA,NA,NA,R. Goldenberg,"2005","10","21",Brazil,São Paulo,Pariquera-Açu,-47.88,-24.71,NA,NA,NA,NA,NY00685417,NY00685417_01,"782",Estação Experimental do IAC,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=894820' target='other'> <mi>dwc_moreinfo</mi></a>,robusta,NA,NA,Magnoliophyta,Myrtales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.375,-22.875,"118",2021-02-08 11:09:26-03,UNESP-IBB,BOTU,"2676",PreservedSpecimen,Plantae,Melastomataceae,Miconia,cinerascens,Miconia cinerascens,Miq.,"Goldenberg, R.","1996",NA,NA,"Doi, T.","1972","09","09",Brasil,São Paulo,Botucatu,-48.375,-22.875,48°22'30w,22°52'30s,NA,NA,BOTU002676,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5,-22.75,"120",2021-02-08 11:09:26-03,UNESP-IBB,BOTU,"12842",PreservedSpecimen,Plantae,Melastomataceae,Miconia,cinerascens,Miconia cinerascens,Miq.,"Goldenberg, R.","1996",NA,NA,"Amaral Jr., A.","1985","05","17",Brasil,São Paulo,Campos do Jordão,-45.5,-22.75,45°30'w,22°45's,NA,NA,BOTU012842,NA,"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.5,-22.875,"121",2021-02-08 11:09:26-03,UNESP-IBB,BOTU,"2675",PreservedSpecimen,Plantae,Melastomataceae,Miconia,cinerascens,Miconia cinerascens,Miq.,"Goldenberg, R.","1996",NA,NA,"Vannucci, L.","1972","09","05",Brasil,São Paulo,Botucatu,-48.5,-22.875,48°30'00w,22°52'30s,NA,NA,BOTU002675,NA,"31",NA,Árvore de 4 m de altura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.590278,-24.580556,"123",2021-02-19 11:35:14-03,UFPI-MRV,HDELTA,"4919",PreservedSpecimen,Plantae,Melastomataceae,Miconia,cinerascens,Miconia cinerascens,Miq.,"De Oliveira, F.C.B.",NA,NA,NA,"De Oliveira, F.C.B.","2018","04","14",Brasil,São Paulo,Iporanga,-48.590278,-24.580556,"48°35'25,00''W","24°34'50,00''S",NA,NA,HDELTA004919,NA,"13",Canhambora,<ll>dwc_commonname:</ll> Pixiricão (melastomaceae),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
