X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,country,stateProvince,barcode,phylum,identifiedBy,yearIdentified,monthIdentified,county,locality,decimalLongitude,decimalLatitude,coordinatePrecision,occurrenceRemarks,imagecode,geoFlag,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,dayIdentified,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-44.5699996948242,-22.6399993896484,"2",2021-03-01 16:27:13-03,UNICAMP,UEC,"104902",S,Plantae,Cactaceae,Hatiora,epiphylloides,NA,Hatiora epiphylloides,(Porto) Werderm. & P.V.Heath,"Freitas, L; Ravetta, AL","453","1998","11","06",Brazil,São Paulo,UEC041373,Magnoliopsida,"Zappi, DC","1998","12",São José do Barreiro,Atrás do Posto de Fiscalização do IBAMA.,-44.5699996948242,-22.6399993896484,"30784","Erva. Ca. 40 cm de altura. Flores corola amarelo vivo.; Floresta Ombrófila Densa Altomontana.",UEC041373,auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.637944,-22.705833,"4",2019-11-13 11:17:20-03,USP,SPF,"190107",PreservedSpecimen,Plantae,Cactaceae,Hatiora,epiphylloides,NA,Hatiora epiphylloides,(Porto & Werderm.) P.V.Heath,"Calvente, AM","363","2007","10","13",Brasil,São Paulo,SPF00190107,NA,"Calvente, AM","2008",NA,São José do Barreiro,NA,-44.637944,-22.705833,NA,NA,NA,NA,"-44.637944","-22.705833","1692","1692",NA,"35",São Paulo,SP,Sudeste
-44.5699996948242,-22.6399993896484,"7",2020-12-23 08:47:57-03,IBt,SP,"412327",S,Plantae,Cactaceae,Hatiora,epiphylloides,NA,Hatiora epiphylloides,(Porto & Werderm.) P.V.Heath,"Catharino, ELM","2814","2008","03","12",Brasil,São Paulo,NA,NA,NA,NA,NA,São José do Barreiro,Serra da Bocaina,-44.5699996948242,-22.6399993896484,"30784",NA,NA,auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
