X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,typeStatus,recordedBy,recordNumber,year,month,continentOcean,country,stateProvince,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,identifiedBy,county,day,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,class,fieldNumber,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.7353,-23.9853,"4",2021-03-15 16:37:00-03,NY,NYBG,"886038",PreservedSpecimen,Plantae,Pteridophyta,Polypodiales,Dryopteridaceae,Elaphoglossum,itatiayense,Elaphoglossum itatiayense,Rosenst.,NA,A. Salino,"6529","2001","04",South America,Brazil,São Paulo,"Parque Estadual da Serra do Mar, Núcleo de Curucutu, Trilha para o Rio Branco",-46.7353,-23.9853,"800","800",sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=975305' target='other'> <mi>dwc_moreinfo</mi></a>,NY00886038,NY00886038_02,R. C. Moran,São Paulo,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"21",2019-08-27 13:35:17-03,IAP,PACA-AGP,"79064",PreservedSpecimen,Plantae,Pteridophyta,Polypodiales,Dryopteridaceae,Elaphoglossum,itatiayense,Elaphoglossum itatiayense,Rosenst.,NA,J. Mattos,NA,"1967","07",NA,Brasil,SP,Fazenda da Guarda,-45.5900001525879,-22.7299995422363,NA,NA,NA,"Habitat: na mata virgem, sobre tronco de Araucária",PACA079064,NA,A. Sehnem SJ,Campos do Jordão,"26","1971",NA,NA,NA,NA,"21048",auto,Filicopsida,NA,NA,"35",São Paulo,SP,Sudeste
-44.993333,-23.245833,"43",2021-01-12 15:24:05-03,UFMG,BHCB-SL,"33267",PreservedSpecimen,Plantae,NA,NA,Dryopteridaceae,Elaphoglossum,itatiayense,Elaphoglossum itatiayense,Rosenst.,NA,"Salino, A","2908","1996","12",América,Brasil,São Paulo,"Parque Estadual da Serra do Mar; Núcleo de Cunha, Trilha da Casa de Pedra ao Indaiá.",-44.993333,-23.245833,"1070","1070",NA,Terrestre interior da floresta.,NA,NA,"Melo, LCN",Cunha,"16","2009","11",NA,"-44.993333","-23.245833",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.088611,-23.324167,"53",2021-03-04 15:47:00-03,IF,SPSF,"31969",PreservedSpecimen,Plantae,Pteridophyta,Polypodiales,Dryopteridaceae,Elaphoglossum,itatiayense,Elaphoglossum itatiayense,Rosenst.,NA,A. Salino et al.,"7390","2001","08",América do Sul,Brasil,SP,"Parque Estadual da Serra do Mar, Núcleo Santa Virgínia",-45.088611,-23.324167,"800","900",NA,"COLETA: Planta terrestre e epífita baixa, em floresta.; GEOGRAFIA: Trilha para a nascente do Rio Itamambuca.;",NA,NA,A.Salino,São Luis do Paraitinga,"09",NA,NA,NA,NA,NA,NA,NA,Polypodiopsida,NA,NA,"35",São Paulo,SP,Sudeste
-44.5699996948242,-22.6399993896484,"56",2021-02-08 12:46:32-03,UFRGS,ICN,"173702",S,Plantae,Fern,NA,Dryopteridaceae,Elaphoglossum,itatiayense,Elaphoglossum itatiayense,Rosenst.,NA,"Brade, AC","21116","1951","05",América do Sul,Brasil,SP,"Parque Nacional da Serra da Bocaina, Morro do Matão.",-44.5699996948242,-22.6399993896484,NA,NA,NA,"Doação RB 73806; Epífita.; Mata sombria.",NA,NA,"Kieling-Rubio, MA",São José do Barreiro,"16",NA,NA,NA,NA,NA,"30784",auto,NA,NA,NA,"35",São Paulo,SP,Sudeste
