X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,typeStatus,recordedBy,recordNumber,continentOcean,country,locality,preparationType,occurrenceRemarks,barcode,imagecode,identifiedBy,year,month,day,stateProvince,decimalLongitude,decimalLatitude,county,verbatimLongitude,verbatimLatitude,yearIdentified,monthIdentified,dayIdentified,coordinatePrecision,geoFlag,class,relatedCatalogItem,minimumElevationInMeters,maximumElevationInMeters,fieldNumber,individualCount,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.660488,-23.627973,"5",2021-03-15 16:37:00-03,NY,NYBG,"800957",PreservedSpecimen,Plantae,Magnoliophyta,Asterales,Asteraceae,Mikania,rufescens,Mikania rufescens,Sch.Bip. ex Baker,NA,F. C. Hoehne,s.n.,South America,Brazil,Campo Congonhas.,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547899' target='other'> <mi>dwc_moreinfo</mi></a>,NY00800957,NY00800957_01,NA,"1946","03","29",São Paulo,-46.660488,-23.627973,Sao Paulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.621883,-23.654505,"7",2021-03-15 16:37:00-03,NY,NYBG,"800956",PreservedSpecimen,Plantae,Magnoliophyta,Asterales,Asteraceae,Mikania,rufescens,Mikania rufescens,Sch.Bip. ex Baker,NA,W. Hoehne,"6037",South America,Brazil,"Capital, Parque do Estado",sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547898' target='other'> <mi>dwc_moreinfo</mi></a>,NY00800956,NY00800956_01,NA,"1965","07","26",São Paulo,-46.621883,-23.654505,Sao Paulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"13",2020-05-19 10:29:39-03,UFBA,ALCB,"56052",PreservedSpecimen,Plantae,Dicotyledon,NA,Asteraceae,Mikania,rufescens,Mikania rufescens,Sch. Bip. ex Baker,NA,"Hoehne, W","6037",Southern America,Brasil,Parque do Estado,NA,"Floresta alvas, à beira de capoeirão, junto ao prédio novo.",NA,NA,"Hoehne, W","1965","07","26",São Paulo,-46.6300010681152,-23.5400009155273,São Paulo,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.8800010681152,-23.1800003051758,"15",2020-11-04 11:01:57-03,ESALQ,ESA,"7213",PreservedSpecimen,Plantae,Magnoliophyta,NA,Asteraceae,Mikania,rufescens,Mikania rufescens,NA,NA,"Leitão Filho, H.F. et al.","16191.0",NA,Brasil,NA,NA,NA,ESA007213,ESA007213,"Hind, N.","1984","08","01",São Paulo,-46.8800010681152,-23.1800003051758,Jundiaí,NA,NA,NA,NA,NA,"17840",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"18",2020-11-04 11:01:57-03,ESALQ,ESA,"75744",PreservedSpecimen,Plantae,Magnoliophyta,NA,Asteraceae,Mikania,rufescens,Mikania rufescens,Sch.Bip.ex Baker,NA,"Romão, G.O.; Herrerias, C.; Pereira, M.; Zevallos, P.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Nave, A.G.; Furlan, E.","601.0",NA,Brasil,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Campo. 23o59'S, 46o44'W. Ca. 800 m.s.m. Floresta ribeirinha altomontana com campo adjacente.",NA,"Liana, capítulos creme. Campo.",ESA075744,ESA075744,"Oliveira, C.T.","2001","04","11",São Paulo,-46.6300010681152,-23.5400009155273,São Paulo,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"19",2020-11-04 11:01:57-03,ESALQ,ESA,"71400",PreservedSpecimen,Plantae,Magnoliophyta,NA,Asteraceae,Mikania,rufescens,Mikania rufescens,Sch.Bip. ex Baker,NA,"Hoehne, W.","6037.0",NA,Brasil,NA,NA,NA,ESA071400,ESA071400,"Oliveira, C.T.","1965","07","26",São Paulo,-46.6300010681152,-23.5400009155273,São Paulo,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"23",2019-11-21 14:32:04-03,UFJF,CESJ,36733A,PreservedSpecimen,Plantae,Angiosperma,NA,Asteraceae,Mikania,rufescens,Mikania rufescens,Sch.Bip. ex Baker,NA,W. Hoehne,"6037",América do Sul,Brasil,Parque do Estado,NA,"Planta escandente, de flores alvas, à beira de capoeirão, junto ao prédio novo.",CESJ36733A,NA,L.C.Pereira,"1965","07","26",São Paulo,-46.6300010681152,-23.5400009155273,São Paulo,NA,NA,"2012","02",NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.852789,-23.3525,"24",2021-03-01 16:24:47-03,UNICAMP,UEC,"103931",S,Plantae,Magnoliopsida,NA,Asteraceae,Mikania,rufescens,Mikania rufescens,Sch.Bip. ex Baker,NA,"Moraes, MD","54",NA,Brazil,"Planície litorânea de Picinguaba, trilha da casa da farinha.",NA,"Liana. Tubo da corola esverdeado, limbo creme.; Local encharcado. Levemente fragrante.",UEC128565,UEC128565,"Moraes, MD","1995","06","27",São Paulo,-44.852789,-23.3525,Ubatuba,"-44.852789","-23.3525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.775417,-23.989083,"25",2021-03-01 16:24:47-03,UNICAMP,UEC,"121311",S,Plantae,Magnoliopsida,NA,Asteraceae,Mikania,rufescens,Mikania rufescens,Sch.Bip. ex Baker,NA,"Souza, FM; Duarte, AR; Sampaio, D; Bernhardt, R; Rodrigues, RR; Souza, VC; et al.","124",NA,Brazil,"Parque Estadual da Serra do Mar, Núcleo Curucutu.",NA,"Liana, capítulos alvos.; Floresta ribeirinha ao longo do rio Mambu.",UEC128563,UEC128563,NA,"2001","04","13",São Paulo,-46.775417,-23.989083,São Paulo,"-46.775417","-23.989083",NA,NA,NA,NA,NA,NA,NA,"750","750",NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.733333,-23.983333,"26",2021-03-01 16:24:47-03,UNICAMP,UEC,"121441",S,Plantae,Magnoliopsida,NA,Asteraceae,Mikania,rufescens,Mikania rufescens,Sch.Bip. ex Baker,NA,"Romão, GO; Herrerias, C; Pereira, M; Zevallos, P; Rodrigues, RR; Souza, VC; et al.","601",NA,Brazil,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Campo.",NA,"Liana, capítulos creme.; Floresta ribeirinha altomontana com campo adjacente.",UEC128566,UEC128566,"Oliveira, CT","2001","04","11",São Paulo,-46.733333,-23.983333,São Paulo,"-46.733333","-23.983333","2015","05",NA,NA,NA,NA,NA,"800","800",NA,NA,NA,"35",São Paulo,SP,Sudeste
