X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,yearIdentified,monthIdentified,coordinatePrecision,geoFlag,minimumElevationInMeters,maximumElevationInMeters,infraspecificEpithet,dayIdentified,typeStatus,verbatimLongitude,verbatimLatitude,individualCount,class,fieldNumber,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-44.576908,-22.645185,"6",2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0057863,PreservedSpecimen,Plantae,Magnoliophyta,Asterales,Asteraceae,Heterocondylus,amphidyctius,Heterocondylus amphidyctius,(DC.) R.M.King & H.Rob.,E. Barbosa,"J. Cordeiro; J. M. Silva","3508","2010","3","6",NA,Brazil,Sao Paulo,NA,Serra da Bocaina (Mun. Sao José do Barreiro).,-44.576908,-22.645185,NA,"Arbusto, 1.30 m, capítulos vinosos.",NA,NA,NA,NA,NA,NA,"1640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"20",2019-11-01 15:28:01-03,PUC-RIO,FCAB,"0916",PreservedSpecimen,Plantae,NA,Angiospermae,Asteraceae,Eupatorium,amphidictyum,Eupatorium amphidictyum,DC.,G.M. Barroso,P.E. Leite S.J.,s.n.,"1945","02",NA,NA,Brasil,São Paulo,Campos do Jordão,NA,-45.5900001525879,-22.7299995422363,NA,NA,"000916",NA,NA,NA,"21048",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
